t_center,S,nA,nB,nM,S_null_mean,S_null_sd,z_S_t,S_excess,episode
3.5,0.7368421052631579,10,9,7,0.433634489788565,0.17045298280569018,1.7788343183189572,0.30320761547459285,0
4.5,0.7619047619047619,11,10,8,0.4715315010074803,0.16823985955401372,1.725948070017597,0.29037326089728155,0
5.5,0.6956521739130435,12,11,8,0.48396673719133204,0.1585253702126349,1.3353410652047133,0.21168543672171142,0
6.5,0.6956521739130435,11,12,8,0.4886112845360469,0.1557523321491634,1.329295597183831,0.20704088937699655,0
7.5,0.6363636363636364,12,10,7,0.473241449815272,0.16347002814246414,0.997872138409393,0.16312218654836436,0
8.5,0.6363636363636364,12,10,7,0.4853361829967194,0.16507775261128307,0.9148867789746868,0.15102745336691697,0
9.5,0.6086956521739131,13,10,7,0.4811869650264185,0.1679261589746499,0.7593140218656658,0.12750868714749458,0
10.5,0.56,14,11,7,0.4548843909175582,0.15719623942803193,0.6686903545842532,0.10511560908244183,0
11.5,0.6153846153846154,15,11,8,0.48046339683498923,0.15784246291140305,0.8547840426524353,0.1349212185496262,0
12.5,0.6153846153846154,13,13,8,0.4839527046275242,0.1560183432342995,0.8424131934263281,0.1314319107570912,0
13.5,0.64,12,13,8,0.4838824520177528,0.15174703553656768,1.0288013036315713,0.1561175479822472,0
14.5,0.6666666666666666,11,13,8,0.48019434005089945,0.15061310835735883,1.238088295564058,0.18647232661576718,0
15.5,0.782608695652174,11,12,9,0.5251756909464057,0.1506946459365114,1.708308899137839,0.25743300470576824,0
16.5,0.75,12,12,9,0.5247922875100549,0.1521501669279247,1.4801673704152332,0.2252077124899451,0
17.5,0.8,13,12,10,0.5134300203147087,0.15258644768159266,1.8780827789063328,0.2865699796852913,1
18.5,0.88,13,12,11,0.5156930317578804,0.1497665469501086,2.4324989502727896,0.3643069682421196,1
19.5,0.8461538461538461,14,12,11,0.5041765364313675,0.15515726524832452,2.204068943694994,0.34197730972247864,1
20.5,0.7692307692307693,14,12,10,0.4849800723622409,0.1605467407545173,1.7705167699614632,0.2842506968685284,1
21.5,0.6956521739130435,12,11,8,0.4800085590847584,0.16282420441611628,1.3243953231743273,0.21564361482828504,1
22.5,0.6,12,8,6,0.46078838157027013,0.16559918748272381,0.8406539944180169,0.13921161842972984,0
23.5,0.42105263157894735,13,6,4,0.37889104478253083,0.164604939568609,0.2561380412210725,0.04216158679641652,0
24.5,0.35294117647058826,12,5,3,0.3560899293602854,0.1577581426904819,-0.019959368410383177,-0.003148752889697126,0
25.5,0.26666666666666666,11,4,2,0.3220513021292433,0.17611980385347928,-0.3144713669375491,-0.05538463546257666,0
