n_A,n_B,n_matched,z_S,p_S,ETR,Max_episode,T_overlap,timeline_csv,file_a,file_b,condition
227,202,142,0.393203817,0.387461254,0.028089888,5,178,out/pair_20170705_01_02_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_01_B.csv,invisible_pair_Human
248,223,164,0.732694408,0.259774023,0.022396417,4,178.6,out/pair_20170705_01_02_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_02_B.csv,invisible_pair_Human
226,240,158,0.044735978,0.538246175,0.039171796,4,178.7,out/pair_20170705_01_02_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_03_B.csv,invisible_pair_Human
247,261,178,1.782424745,0.04389561,0.022371365,4,178.8,out/pair_20170705_03_04_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_01_B.csv,invisible_pair_Human
290,273,205,1.56818471,0.069393061,0,0,178.6,out/pair_20170705_03_04_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_02_B.csv,invisible_pair_Human
280,299,224,3.010070315,0.00429957,0,0,177.8,out/pair_20170705_03_04_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_03_B.csv,invisible_pair_Human
259,267,189,2.017932495,0.03619638,0.050647158,9,177.7,out/pair_20170707_01_02_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_01_B.csv,invisible_pair_Human
254,283,193,2.2678368,0.02559744,0,0,173.2,out/pair_20170707_01_02_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_02_B.csv,invisible_pair_Human
274,316,216,2.144576478,0.01659834,0.033594625,6,178.6,out/pair_20170707_01_02_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_03_B.csv,invisible_pair_Human
294,216,167,-0.040628941,0.557944206,0,0,178.9,out/pair_20170707_03_04_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_01_B.csv,invisible_pair_Human
