t_center,S,nA,nB,nM,S_null_mean,S_null_sd,z_S_t,S_excess,episode
3.5,1.0,6,6,6,0.5802641549111363,0.1626059711768879,2.581306467720437,0.41973584508886375,1
4.5,0.9230769230769231,7,6,6,0.5779735089042365,0.15838804447596821,2.178847622713394,0.34510341417268664,1
5.5,0.875,9,7,7,0.586332314125503,0.15593759793236134,1.8511743780977563,0.288667685874497,1
6.5,0.8888888888888888,10,8,8,0.5992472602474925,0.14487863196588963,1.9992018471681168,0.2896416286413963,1
7.5,0.7619047619047619,12,9,8,0.6320857920802968,0.13841758204707424,0.9378791906675201,0.12981896982446506,1
8.5,0.6666666666666666,13,11,8,0.6065110592545307,0.13593992809004235,0.44251610440966754,0.06015560741213588,0
9.5,0.64,13,12,8,0.6303060664252367,0.12119627894440023,0.07998540598107394,0.009693933574763336,0
10.5,0.6666666666666666,12,12,8,0.6611478099430818,0.11593542994743389,0.04760284863813566,0.005518856723584875,0
11.5,0.6666666666666666,12,12,8,0.6743642860203616,0.11288212043148865,-0.06819166156935237,-0.007697619353694951,0
12.5,0.6956521739130435,12,11,8,0.6494687234663005,0.12335674729853058,0.3743893338479194,0.04618345044674299,0
13.5,0.8181818181818182,12,10,9,0.7058335882884409,0.11540501523808593,0.9735125432945674,0.11234822989337734,0
14.5,0.8695652173913043,13,10,10,0.6927552640977126,0.12017146562025392,1.4713139461269236,0.17680995329359173,0
15.5,0.782608695652174,13,10,9,0.6584245256904296,0.12791195497320426,0.9708566332815344,0.1241841699617443,0
16.5,0.6363636363636364,13,9,7,0.6584427005742794,0.14496967102367303,-0.15230126449716275,-0.022079064210643096,0
17.5,0.6363636363636364,12,10,7,0.6802463231668946,0.13009158155122966,-0.33732149521125915,-0.04388268680325824,0
18.5,0.5,11,9,5,0.6766732949283258,0.13498771040680677,-1.308810219803662,-0.17667329492832584,0
19.5,0.4444444444444444,9,9,4,0.7150204000505859,0.13253865261221728,-2.0414871456238117,-0.27057595560614145,0
20.5,0.25,9,7,2,0.7418099839788694,0.13566900173573906,-3.625072622977167,-0.49180998397886944,0
21.5,0.47058823529411764,9,8,4,0.7802357794510272,0.11931996325601368,-2.595102577198484,-0.30964754415690954,0
22.5,0.47058823529411764,10,7,4,0.7431418185787382,0.13958900824241585,-1.9525433034905806,-0.27255358328462054,0
23.5,0.5263157894736842,12,7,5,0.7154461125905398,0.14730888154210878,-1.2839030555180206,-0.18913032311685563,0
24.5,0.5555555555555556,12,6,5,0.6378677153857494,0.15606524210541273,-0.5274214727107325,-0.0823121598301938,0
25.5,0.7058823529411765,11,6,6,0.6623355745991196,0.1474988104656383,0.29523477650148006,0.04354677834205689,0
26.5,0.5333333333333333,11,4,4,0.5449312919107037,0.1552088016323873,-0.0747248767814093,-0.011597958577370338,0
27.5,0.6153846153846154,9,4,4,0.5474078524416759,0.13470567661712532,0.5046317620017622,0.06797676294293953,0
28.5,0.6666666666666666,8,4,4,0.5443997628188805,0.14794477441970447,0.8264361098752108,0.12226690384778616,0
29.5,0.5454545454545454,6,5,3,0.5625989623121976,0.15193062295805454,-0.112843721192307,-0.017144416857652223,0
30.5,0.36363636363636365,7,4,2,0.5506843259681495,0.15943824069649337,-1.173168754965444,-0.1870479623317859,0
31.5,0.6153846153846154,7,6,4,0.6792766716599533,0.14257278516663435,-0.4481364111717603,-0.0638920562753379,0
32.5,0.6153846153846154,7,6,4,0.6773485586223204,0.1513670263226627,-0.409362228637689,-0.06196394323770493,0
33.5,0.7142857142857143,7,7,5,0.7216835931869988,0.15251638547772034,-0.04850546961306791,-0.007397878901284516,0
