t_center,t_center_abs,S,S_null_mean,S_null_sd,z_S_t,S_excess,nA,nB,nM,dt,episode
6.5,6.5,0.9473684210526315,0.7545793225436415,0.14734188072354126,1.3084473848322988,0.19278909850899006,10.0,9.0,9.0,0.0,0
6.5,6.5,0.9473684210526315,0.7545793225436415,0.14734188072354126,1.3084473848322988,0.19278909850899006,10.0,9.0,9.0,-0.10000000000000053,0
6.5,6.5,0.9473684210526315,0.7545793225436415,0.14734188072354126,1.3084473848322988,0.19278909850899006,10.0,9.0,9.0,0.09999999999999964,0
6.5,6.5,0.9473684210526315,0.7545793225436415,0.14734188072354126,1.3084473848322988,0.19278909850899006,10.0,9.0,9.0,0.09999999999999964,0
6.5,6.5,0.9473684210526315,0.7545793225436415,0.14734188072354126,1.3084473848322988,0.19278909850899006,10.0,9.0,9.0,0.0,0
6.5,6.5,0.9473684210526315,0.7545793225436415,0.14734188072354126,1.3084473848322988,0.19278909850899006,10.0,9.0,9.0,-0.10000000000000053,0
6.5,6.5,0.9473684210526315,0.7545793225436415,0.14734188072354126,1.3084473848322988,0.19278909850899006,10.0,9.0,9.0,0.0,0
6.5,6.5,0.9473684210526315,0.7545793225436415,0.14734188072354126,1.3084473848322988,0.19278909850899006,10.0,9.0,9.0,-0.1999999999999993,0
6.5,6.5,0.9473684210526315,0.7545793225436415,0.14734188072354126,1.3084473848322988,0.19278909850899006,10.0,9.0,9.0,0.20000000000000107,0
7.5,7.5,0.9473684210526315,0.761378508471233,0.14256611641861938,1.3045870733777518,0.18598991258139852,10.0,9.0,9.0,0.09999999999999964,0
7.5,7.5,0.9473684210526315,0.761378508471233,0.14256611641861938,1.3045870733777518,0.18598991258139852,10.0,9.0,9.0,0.09999999999999964,0
7.5,7.5,0.9473684210526315,0.761378508471233,0.14256611641861938,1.3045870733777518,0.18598991258139852,10.0,9.0,9.0,0.0,0
7.5,7.5,0.9473684210526315,0.761378508471233,0.14256611641861938,1.3045870733777518,0.18598991258139852,10.0,9.0,9.0,-0.10000000000000053,0
7.5,7.5,0.9473684210526315,0.761378508471233,0.14256611641861938,1.3045870733777518,0.18598991258139852,10.0,9.0,9.0,0.0,0
7.5,7.5,0.9473684210526315,0.761378508471233,0.14256611641861938,1.3045870733777518,0.18598991258139852,10.0,9.0,9.0,-0.1999999999999993,0
7.5,7.5,0.9473684210526315,0.761378508471233,0.14256611641861938,1.3045870733777518,0.18598991258139852,10.0,9.0,9.0,0.20000000000000107,0
7.5,7.5,0.9473684210526315,0.761378508471233,0.14256611641861938,1.3045870733777518,0.18598991258139852,10.0,9.0,9.0,0.0,0
7.5,7.5,0.9473684210526315,0.761378508471233,0.14256611641861938,1.3045870733777518,0.18598991258139852,10.0,9.0,9.0,-0.10000000000000142,0
8.5,8.5,0.8421052631578947,0.752797013693221,0.13876522291388596,0.6435924476559662,0.08930824946467364,9.0,10.0,8.0,0.09999999999999964,0
8.5,8.5,0.8421052631578947,0.752797013693221,0.13876522291388596,0.6435924476559662,0.08930824946467364,9.0,10.0,8.0,0.0,0
8.5,8.5,0.8421052631578947,0.752797013693221,0.13876522291388596,0.6435924476559662,0.08930824946467364,9.0,10.0,8.0,-0.10000000000000053,0
8.5,8.5,0.8421052631578947,0.752797013693221,0.13876522291388596,0.6435924476559662,0.08930824946467364,9.0,10.0,8.0,0.0,0
8.5,8.5,0.8421052631578947,0.752797013693221,0.13876522291388596,0.6435924476559662,0.08930824946467364,9.0,10.0,8.0,-0.1999999999999993,0
8.5,8.5,0.8421052631578947,0.752797013693221,0.13876522291388596,0.6435924476559662,0.08930824946467364,9.0,10.0,8.0,0.20000000000000107,0
8.5,8.5,0.8421052631578947,0.752797013693221,0.13876522291388596,0.6435924476559662,0.08930824946467364,9.0,10.0,8.0,0.0,0
8.5,8.5,0.8421052631578947,0.752797013693221,0.13876522291388596,0.6435924476559662,0.08930824946467364,9.0,10.0,8.0,-0.10000000000000142,0
9.5,9.5,0.8,0.7107956145076114,0.15639178262573247,0.5703904897987336,0.08920438549238863,7.0,8.0,6.0,0.0,0
9.5,9.5,0.8,0.7107956145076114,0.15639178262573247,0.5703904897987336,0.08920438549238863,7.0,8.0,6.0,-0.1999999999999993,0
9.5,9.5,0.8,0.7107956145076114,0.15639178262573247,0.5703904897987336,0.08920438549238863,7.0,8.0,6.0,0.20000000000000107,0
9.5,9.5,0.8,0.7107956145076114,0.15639178262573247,0.5703904897987336,0.08920438549238863,7.0,8.0,6.0,0.0,0
