t_center,t_center_abs,S,S_null_mean,S_null_sd,z_S_t,S_excess,nA,nB,nM,dt,episode
7.5,7.5,0.625,0.7111825644943292,0.14131857234619485,-0.6098459888428791,-0.08618256449432915,8.0,8.0,5.0,-0.09999999999999964,0
7.5,7.5,0.625,0.7111825644943292,0.14131857234619485,-0.6098459888428791,-0.08618256449432915,8.0,8.0,5.0,0.20000000000000018,0
7.5,7.5,0.625,0.7111825644943292,0.14131857234619485,-0.6098459888428791,-0.08618256449432915,8.0,8.0,5.0,-0.20000000000000018,0
7.5,7.5,0.625,0.7111825644943292,0.14131857234619485,-0.6098459888428791,-0.08618256449432915,8.0,8.0,5.0,-0.20000000000000107,0
7.5,7.5,0.625,0.7111825644943292,0.14131857234619485,-0.6098459888428791,-0.08618256449432915,8.0,8.0,5.0,0.10000000000000142,0
8.5,8.5,0.625,0.6992765853427618,0.141273113206314,-0.5257658988111132,-0.07427658534276183,9.0,7.0,5.0,0.20000000000000018,0
8.5,8.5,0.625,0.6992765853427618,0.141273113206314,-0.5257658988111132,-0.07427658534276183,9.0,7.0,5.0,-0.20000000000000018,0
8.5,8.5,0.625,0.6992765853427618,0.141273113206314,-0.5257658988111132,-0.07427658534276183,9.0,7.0,5.0,-0.20000000000000107,0
8.5,8.5,0.625,0.6992765853427618,0.141273113206314,-0.5257658988111132,-0.07427658534276183,9.0,7.0,5.0,0.10000000000000142,0
8.5,8.5,0.625,0.6992765853427618,0.141273113206314,-0.5257658988111132,-0.07427658534276183,9.0,7.0,5.0,0.09999999999999964,0
9.5,9.5,0.5882352941176471,0.6789476894021012,0.14069442549516079,-0.6447476150188634,-0.09071239528445407,10.0,7.0,5.0,-0.20000000000000018,0
9.5,9.5,0.5882352941176471,0.6789476894021012,0.14069442549516079,-0.6447476150188634,-0.09071239528445407,10.0,7.0,5.0,-0.20000000000000107,0
9.5,9.5,0.5882352941176471,0.6789476894021012,0.14069442549516079,-0.6447476150188634,-0.09071239528445407,10.0,7.0,5.0,0.10000000000000142,0
9.5,9.5,0.5882352941176471,0.6789476894021012,0.14069442549516079,-0.6447476150188634,-0.09071239528445407,10.0,7.0,5.0,0.09999999999999964,0
9.5,9.5,0.5882352941176471,0.6789476894021012,0.14069442549516079,-0.6447476150188634,-0.09071239528445407,10.0,7.0,5.0,0.0,0
10.5,10.5,0.625,0.6548108809491161,0.16391575789996043,-0.1818670842330486,-0.029810880949116103,9.0,7.0,5.0,-0.20000000000000107,0
10.5,10.5,0.625,0.6548108809491161,0.16391575789996043,-0.1818670842330486,-0.029810880949116103,9.0,7.0,5.0,0.10000000000000142,0
10.5,10.5,0.625,0.6548108809491161,0.16391575789996043,-0.1818670842330486,-0.029810880949116103,9.0,7.0,5.0,0.09999999999999964,0
10.5,10.5,0.625,0.6548108809491161,0.16391575789996043,-0.1818670842330486,-0.029810880949116103,9.0,7.0,5.0,0.0,0
10.5,10.5,0.625,0.6548108809491161,0.16391575789996043,-0.1818670842330486,-0.029810880949116103,9.0,7.0,5.0,0.09999999999999964,0
11.5,11.5,0.5882352941176471,0.6601093272740332,0.163618485265876,-0.4392781967122636,-0.07187403315638607,9.0,8.0,5.0,0.10000000000000142,0
11.5,11.5,0.5882352941176471,0.6601093272740332,0.163618485265876,-0.4392781967122636,-0.07187403315638607,9.0,8.0,5.0,0.09999999999999964,0
11.5,11.5,0.5882352941176471,0.6601093272740332,0.163618485265876,-0.4392781967122636,-0.07187403315638607,9.0,8.0,5.0,0.0,0
11.5,11.5,0.5882352941176471,0.6601093272740332,0.163618485265876,-0.4392781967122636,-0.07187403315638607,9.0,8.0,5.0,0.09999999999999964,0
11.5,11.5,0.5882352941176471,0.6601093272740332,0.163618485265876,-0.4392781967122636,-0.07187403315638607,9.0,8.0,5.0,-0.20000000000000107,0
12.5,12.5,0.6666666666666666,0.7120137141066707,0.15227574249778453,-0.29779560878295386,-0.04534704744000406,9.0,9.0,6.0,0.09999999999999964,0
12.5,12.5,0.6666666666666666,0.7120137141066707,0.15227574249778453,-0.29779560878295386,-0.04534704744000406,9.0,9.0,6.0,0.0,0
12.5,12.5,0.6666666666666666,0.7120137141066707,0.15227574249778453,-0.29779560878295386,-0.04534704744000406,9.0,9.0,6.0,0.09999999999999964,0
12.5,12.5,0.6666666666666666,0.7120137141066707,0.15227574249778453,-0.29779560878295386,-0.04534704744000406,9.0,9.0,6.0,-0.20000000000000107,0
12.5,12.5,0.6666666666666666,0.7120137141066707,0.15227574249778453,-0.29779560878295386,-0.04534704744000406,9.0,9.0,6.0,0.09999999999999964,0
12.5,12.5,0.6666666666666666,0.7120137141066707,0.15227574249778453,-0.29779560878295386,-0.04534704744000406,9.0,9.0,6.0,0.0,0
13.5,13.5,0.7777777777777778,0.7434258202925386,0.15445730174649513,0.2224042314400894,0.034351957485239226,9.0,9.0,7.0,0.0,0
13.5,13.5,0.7777777777777778,0.7434258202925386,0.15445730174649513,0.2224042314400894,0.034351957485239226,9.0,9.0,7.0,0.09999999999999964,0
13.5,13.5,0.7777777777777778,0.7434258202925386,0.15445730174649513,0.2224042314400894,0.034351957485239226,9.0,9.0,7.0,-0.20000000000000107,0
13.5,13.5,0.7777777777777778,0.7434258202925386,0.15445730174649513,0.2224042314400894,0.034351957485239226,9.0,9.0,7.0,0.09999999999999964,0
13.5,13.5,0.7777777777777778,0.7434258202925386,0.15445730174649513,0.2224042314400894,0.034351957485239226,9.0,9.0,7.0,0.0,0
13.5,13.5,0.7777777777777778,0.7434258202925386,0.15445730174649513,0.2224042314400894,0.034351957485239226,9.0,9.0,7.0,0.09999999999999964,0
13.5,13.5,0.7777777777777778,0.7434258202925386,0.15445730174649513,0.2224042314400894,0.034351957485239226,9.0,9.0,7.0,0.0,0
14.5,14.5,0.8421052631578947,0.767556960420041,0.15095491931845645,0.4938448052864423,0.07454830273785373,10.0,9.0,8.0,0.09999999999999964,0
14.5,14.5,0.8421052631578947,0.767556960420041,0.15095491931845645,0.4938448052864423,0.07454830273785373,10.0,9.0,8.0,-0.20000000000000107,0
14.5,14.5,0.8421052631578947,0.767556960420041,0.15095491931845645,0.4938448052864423,0.07454830273785373,10.0,9.0,8.0,0.09999999999999964,0
14.5,14.5,0.8421052631578947,0.767556960420041,0.15095491931845645,0.4938448052864423,0.07454830273785373,10.0,9.0,8.0,0.0,0
14.5,14.5,0.8421052631578947,0.767556960420041,0.15095491931845645,0.4938448052864423,0.07454830273785373,10.0,9.0,8.0,0.09999999999999964,0
14.5,14.5,0.8421052631578947,0.767556960420041,0.15095491931845645,0.4938448052864423,0.07454830273785373,10.0,9.0,8.0,0.0,0
14.5,14.5,0.8421052631578947,0.767556960420041,0.15095491931845645,0.4938448052864423,0.07454830273785373,10.0,9.0,8.0,-0.09999999999999787,0
