dv,delta,n_sessions,n_dyads,estimate_satt,se_satt,df_satt,t_satt,p_satt,df_kr,t_kr,p_kr,estimate_dyadmean,t_dyadmean,df_dyadmean,p_dyadmean,kr_equals_satt,dyadmean_df_is_18
z_S,0.1,60,20,0.6706537358933331,0.27766995980528975,18.002923774819543,2.415290931592366,0.026576708139912517,17.999999999999993,2.4152909315923665,0.026578607531510437,0.6706537358933329,2.415299008063987,18,0.02657816605104075,FALSE,TRUE
z_S,0.2,60,20,0.5355665472923704,0.30851912748715704,18.000000052347325,1.7359265587663275,0.09966262443066716,18.000000000000092,1.7359265587663275,0.09966262448019952,0.5355665472923701,1.7359265556073267,18,0.09966262505145022,TRUE,TRUE
z_S,0.3,60,20,0.2537225741195968,0.2901261091856904,17.999999567126828,0.8745251326457003,0.39335161548143904,17.99999999999998,0.8745251326457003,0.3933516152080503,0.2537225741195967,0.8745251439518267,18,0.393351609216382,TRUE,TRUE
z_S,0.5,60,20,0.004523872498208862,0.23908654287531286,57.999999999709146,0.018921485265559795,0.9849686821487825,18.000000000000064,0.018921485265559788,0.9851119041678054,0.004523872498208792,0.0216747322167844,18,0.9829458871197465,FALSE,TRUE
z_S,1,60,20,0.3368177106557273,0.2812234227754163,17.999999916059668,1.1976872599431676,0.2465730009776133,17.999999999999993,1.197687259943167,0.2465730009062828,0.33681771065572735,1.1976872477305276,18,0.24657300554472536,TRUE,TRUE
STR,0.1,60,20,0.002129696243415686,0.0072164612359790934,18.000000046012346,0.2951164253190559,0.7712819066959175,17.99999999999998,0.2951164253190559,0.7712819067044776,0.0021296962434156526,0.29511642484057804,18,0.7712819070641097,TRUE,TRUE
STR,0.2,60,20,0.0017201644363960412,0.00340875280059813,57.9999999980224,0.5046316166118605,0.6157295292151375,18.000000000000036,0.5046316166118604,0.6199393726627653,0.0017201644363960458,0.5080873327824226,18,0.617562017027409,FALSE,TRUE
STR,0.3,60,20,0.002118586360754358,0.002327668993962928,57.99999999824088,0.9101751006045748,0.3664972585345333,18.00000000000005,0.9101751006045748,0.3747576660596068,0.0021185863607543582,1.3042686505287804,18,0.20857420577655889,FALSE,TRUE
STR,0.5,60,20,0.0017265915051083195,0.0025160317096643713,58.0000000000542,0.6862359875975649,0.49529858084016076,18.00000000000002,0.6862359875975649,0.5013090834457586,0.0017265915051083176,0.8013917007336688,18,0.433357167650681,FALSE,TRUE
STR,1,60,20,0.0040362491126492974,0.0023601836711439456,57.9999999984116,1.7101419529324122,0.0925846122980439,18.00000000000002,1.710141952932412,0.10442061801757811,0.004036249112649297,1.887607144405542,18,0.07530998586049326,FALSE,TRUE
Max_episode,0.1,60,20,0.7666666666666674,0.7235884476965482,18.000000088941693,1.0595341441771953,0.3033680894617147,17.99999999999998,1.0595341441771955,0.30336808952992445,0.7666666666666666,1.0595341388411983,18,0.30336809189321434,TRUE,TRUE
Max_episode,0.2,60,20,0.2333333333333338,0.49149860755250724,57.99999999845459,0.4747385440118599,0.6367560714720819,18.000000000000007,0.4747385440118598,0.6406822830335871,0.2333333333333334,0.4761672169616442,18,0.6396837731904024,FALSE,TRUE
Max_episode,0.3,60,20,0.2666666666666669,0.37242088825368386,57.99999999815562,0.7160357409518345,0.4768423783214625,18.00000000000002,0.7160357409518346,0.4831560295602565,0.2666666666666667,1.0327955589886446,18,0.3153774759030045,FALSE,TRUE
Max_episode,0.5,60,20,0.3000000000000002,0.436329166756535,57.999999999618026,0.6875543118743552,0.49447389202850056,17.999999999999964,0.6875543118743552,0.5004977877382963,0.30000000000000016,0.8035571933447462,18,0.43213693381545937,FALSE,TRUE
Max_episode,1,60,20,0.5000000000000002,0.34313184579915146,58.0000000000415,1.4571658274256183,0.15046372120670726,18.00000000000002,1.457165827425618,0.16229560452633252,0.5,1.4892826327233644,18,0.15372584103350348,FALSE,TRUE
