pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left,STR,Max_episode
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,10.0,15,11,1,4.0,0.3076923076923077,0.4044692307692307,0.1144605510860033,-0.8455046053745348,0.8837116288371163,0.3041695830416958,,
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,44,1,20.0,0.404040404040404,0.3639717171717171,0.0593196355070018,0.6754708879483481,0.3057694230576942,0.8017198280171983,,
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,119.0,140,133,1,54.0,0.3956043956043956,0.328359706959707,0.0353258067277446,1.9035570556942163,0.036996300369963,0.9785021497850216,,
20170705_01_02_02,invisible,0.1,P1,0.0,20.0,12.8,18,16,1,5.0,0.2941176470588235,0.3753470588235293,0.1013628946191764,-0.8013722582596644,0.8646135386461354,0.3063693630636936,,
20170705_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,54,42,1,13.0,0.2708333333333333,0.3510229166666666,0.0572696353794538,-1.4002111730241995,0.9453054694530548,0.1100889911008899,,
20170705_01_02_02,invisible,0.1,P3,60.0,180.0,119.6,151,149,1,41.0,0.2733333333333333,0.3764613333333333,0.0338964675600763,-3.0424409215273376,0.9992000799920008,0.001999800019998,,
20170705_01_02_03,invisible,0.1,P1,0.0,20.0,14.0,19,18,1,9.0,0.4864864864864865,0.3934702702702703,0.099058876005488,0.9389993099766538,0.2514748525147485,0.8887111288871112,,
20170705_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,44,58,1,17.0,0.3333333333333333,0.3462156862745097,0.0570692602806281,-0.2257319067713465,0.6512348765123488,0.4822517748225177,,
20170705_01_02_03,invisible,0.1,P3,60.0,180.0,119.7,144,150,1,52.0,0.3537414965986394,0.3545340136054422,0.0342418609353205,-0.0231446827116013,0.5503449655034497,0.5249475052494751,,
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,16.8,22,23,1,14.0,0.6222222222222222,0.3906133333333333,0.093344292092789,2.4812324749183143,0.011998800119988,0.9974002599740026,,
20170705_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,49,61,1,23.0,0.4181818181818181,0.3523745454545455,0.0528774958426836,1.2445232452583714,0.1414858514148585,0.9216078392160784,,
20170705_03_04_01,invisible,0.1,P3,60.0,180.0,119.8,160,153,1,68.0,0.4345047923322683,0.3718364217252396,0.0308577340813215,2.0308805060629016,0.0286971302869713,0.9828017198280172,,
20170705_03_04_02,invisible,0.1,P1,0.0,20.0,16.2,30,26,1,18.0,0.6428571428571429,0.4573214285714285,0.0756757312754847,2.451720137467886,0.0115988401159884,0.9968003199680032,,
20170705_03_04_02,invisible,0.1,P2,20.0,60.0,40.0,66,54,1,26.0,0.4333333333333333,0.4271066666666667,0.050728989835277,0.1227437543480625,0.5155484451554845,0.6118388161183882,,
20170705_03_04_02,invisible,0.1,P3,60.0,180.0,119.6,175,170,1,74.0,0.4289855072463768,0.3910289855072464,0.0302148911159918,1.2562190475358417,0.1195880411958804,0.9134086591340866,,
20170705_03_04_03,invisible,0.1,P1,0.0,20.0,16.7,30,31,1,19.0,0.6229508196721312,0.4761803278688524,0.0768235046564459,1.91048940632994,0.0453954604539546,0.9847015298470152,,
20170705_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,57,62,1,34.0,0.5714285714285714,0.3967932773109244,0.0536344990915144,3.25602545144821,0.0006999300069993,0.9997000299970004,,
20170705_03_04_03,invisible,0.1,P3,60.0,180.0,118.8,181,181,1,89.0,0.4917127071823204,0.4212486187845304,0.0301952130715464,2.333617856275034,0.0113988601139886,0.9935006499350064,,
20170707_01_02_01,invisible,0.1,P1,0.0,20.0,16.1,27,28,1,20.0,0.7272727272727273,0.42048,0.0790779815379816,3.8796226371227336,9.999000099990002e-05,1.0,,
20170707_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,64,59,1,24.0,0.3902439024390244,0.411809756097561,0.0497788500148243,-0.4332332637679294,0.7271272872712728,0.394960503949605,,
20170707_01_02_01,invisible,0.1,P3,60.0,180.0,118.7,152,158,1,61.0,0.3935483870967742,0.3757322580645161,0.0321930361849279,0.5534156185181172,0.3243675632436756,0.7463253674632536,,
20170707_01_02_02,invisible,0.1,P1,0.0,20.0,14.7,29,15,1,9.0,0.4090909090909091,0.3893727272727273,0.0762160195232265,0.2587144007458007,0.5243475652434757,0.706029397060294,,
