delta,condition,pair_id,n_matched,median_abs_dt
0.3,vis,20170710_07_08_03,81,0.1
0.3,vis,20170714_01_02_01,200,0.1
0.3,vis,20170714_01_02_02,201,0.1
0.3,vis,20170714_01_02_03,209,0.1
0.3,vis,20170714_03_04_01,148,0.2
0.3,vis,20170714_03_04_02,166,0.2
0.3,vis,20170714_03_04_03,182,0.1
0.3,vis,20170714_05_06_01,139,0.1
0.3,vis,20170714_05_06_02,158,0.2
0.3,vis,20170714_05_06_03,177,0.1
0.3,vis,20170714_07_08_01,99,0.2
0.3,vis,20170714_07_08_02,115,0.1
0.3,vis,20170714_07_08_03,125,0.2
0.3,invis,20170705_01_02_01,138,0.1
0.3,invis,20170705_01_02_02,160,0.2
0.3,invis,20170705_01_02_03,159,0.2
0.3,invis,20170705_03_04_01,169,0.1
0.3,invis,20170705_03_04_02,194,0.1
0.3,invis,20170705_03_04_03,215,0.1
0.3,invis,20170707_01_02_01,180,0.1
0.3,invis,20170707_01_02_02,177,0.1
0.3,invis,20170707_01_02_03,202,0.1
0.3,invis,20170707_03_04_01,162,0.1
0.3,invis,20170707_03_04_02,171,0.2
0.3,invis,20170707_03_04_03,184,0.2
0.3,invis,20170707_05_06_01,103,0.1
0.3,invis,20170707_05_06_02,120,0.2
0.3,invis,20170707_05_06_03,115,0.2
0.3,invis,20170707_07_08_01,176,0.1
0.3,invis,20170707_07_08_02,186,0.15000000000000002
0.3,invis,20170707_07_08_03,169,0.1
0.3,invis,20170707_09_10_01,154,0.1
0.3,invis,20170707_09_10_02,192,0.1
0.3,invis,20170707_09_10_03,176,0.1
0.3,invis,20170707_11_12_01,191,0.2
0.3,invis,20170707_11_12_02,237,0.1
0.3,invis,20170707_11_12_03,211,0.1
0.3,invis,20170710_13_14_01,165,0.2
0.3,invis,20170710_13_14_02,206,0.1
0.3,invis,20170710_13_14_03,224,0.1
0.3,invis,20170710_15_16_01,108,0.2
0.3,invis,20170710_15_16_02,122,0.2
0.3,invis,20170710_15_16_03,107,0.2
