a_id,b_id,is_real,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,n_matched,S,z_S,p_right,p_left,sufficient
20170706_11_12_03,20170706_11_12_03,1,visible,0.1,P2,20.0,60.0,39.99999999999999,38,46,7,0.16666666666666666,-2.2739948307530837,0.9979002099790021,0.004399560043995601,1
20170706_11_12_03,20170706_11_12_03,1,visible,0.1,P3,60.0,180.0,113.20000000000002,108,126,36,0.3076923076923077,-0.023046226653259474,0.5548445155484452,0.5423457654234577,1
20170710_01_02_01,20170710_01_02_01,1,visible,0.1,P1,0.0,20.0,20.0,29,30,11,0.3728813559322034,-0.5373008110188768,0.7639236076392361,0.35296470352964704,1
20170710_01_02_01,20170710_01_02_01,1,visible,0.1,P2,20.0,60.0,40.0,54,49,17,0.3300970873786408,-0.8753954388630191,0.8469153084691531,0.23777622237776222,1
20170710_01_02_01,20170710_01_02_01,1,visible,0.1,P3,60.0,180.0,113.0,158,146,78,0.5131578947368421,2.8614313868910624,0.0017998200179982,0.9983001699830018,1
20170710_01_02_02,20170710_01_02_02,1,visible,0.1,P1,0.0,20.0,20.0,36,31,17,0.5074626865671642,0.23413350268322805,0.48635136486351366,0.6627337266273373,1
20170710_01_02_02,20170710_01_02_02,1,visible,0.1,P2,20.0,60.0,40.0,65,48,24,0.4247787610619469,0.18333916964762864,0.5037496250374962,0.6258374162583742,1
20170710_01_02_02,20170710_01_02_02,1,visible,0.1,P3,60.0,180.0,111.8,173,153,78,0.4785276073619632,1.1553375733988198,0.1394860513948605,0.8888111188881112,1
20170710_01_02_03,20170710_01_02_03,1,visible,0.1,P1,0.0,20.0,20.0,36,30,16,0.48484848484848486,0.14595395549285697,0.5420457954204579,0.6247375262473752,1
20170710_01_02_03,20170710_01_02_03,1,visible,0.1,P2,20.0,60.0,40.0,68,55,29,0.4715447154471545,0.35630601425106534,0.42505749425057493,0.6685331466853315,1
20170710_01_02_03,20170710_01_02_03,1,visible,0.1,P3,60.0,180.0,114.3,186,164,86,0.49142857142857144,1.0238747284775107,0.1837816218378162,0.8505149485051495,1
20170710_07_08_01,20170710_07_08_01,1,visible,0.1,P1,0.0,20.0,20.0,22,18,5,0.25,-0.3700767540655826,0.7254274572542746,0.5056494350564944,1
20170710_07_08_01,20170710_07_08_01,1,visible,0.1,P2,20.0,60.0,40.00000000000001,38,45,13,0.3132530120481928,0.05623444283306094,0.5580441955804419,0.5934406559344065,1
20170710_07_08_01,20170710_07_08_01,1,visible,0.1,P3,60.0,180.0,91.29999999999998,59,58,12,0.20512820512820512,0.22904668753923485,0.45025497450254975,0.6712328767123288,1
20170710_07_08_02,20170710_07_08_02,1,visible,0.1,P1,0.0,20.0,20.0,25,23,8,0.3333333333333333,-0.05646026633587777,0.5882411758824118,0.5937406259374063,1
20170710_07_08_02,20170710_07_08_02,1,visible,0.1,P2,20.0,60.0,40.0,35,40,10,0.26666666666666666,-0.13729945792437773,0.6320367963203679,0.5156484351564844,1
20170710_07_08_02,20170710_07_08_02,1,visible,0.1,P3,60.0,180.0,29.700000000000003,31,26,10,0.3508771929824561,0.7340947442043969,0.2405759424057594,0.8273172682731726,1
20170710_07_08_03,20170710_07_08_03,1,visible,0.1,P1,0.0,20.0,20.0,27,25,8,0.3076923076923077,-0.8047296578078627,0.8688131186881312,0.287971202879712,1
20170710_07_08_03,20170710_07_08_03,1,visible,0.1,P2,20.0,60.0,40.0,43,41,17,0.40476190476190477,1.3408212266395483,0.11198880111988802,0.9351064893510649,1
20170710_07_08_03,20170710_07_08_03,1,visible,0.1,P3,60.0,180.0,66.69999999999999,68,67,20,0.2962962962962963,-0.09372292582195067,0.5891410858914109,0.5196480351964804,1
20170714_01_02_01,20170714_01_02_01,1,visible,0.1,P1,0.0,20.0,20.0,34,29,16,0.5079365079365079,0.7430777804695663,0.31456854314568544,0.8013198680131987,1
20170714_01_02_01,20170714_01_02_01,1,visible,0.1,P2,20.0,60.0,40.0,55,63,24,0.4067796610169492,-0.44757990742833564,0.6876312368763123,0.38066193380661933,1
20170714_01_02_01,20170714_01_02_01,1,visible,0.1,P3,60.0,180.0,114.1,162,169,73,0.44108761329305135,0.20410069801279546,0.43825617438256176,0.6099390060993901,1
20170714_01_02_02,20170714_01_02_02,1,visible,0.1,P1,0.0,20.0,20.0,35,32,13,0.3880597014925373,-1.1520986249451246,0.9044095590440956,0.1772822717728227,1
20170714_01_02_02,20170714_01_02_02,1,visible,0.1,P2,20.0,60.0,39.99999999999999,56,62,29,0.4915254237288136,0.7891534346080616,0.25947405259474055,0.8096190380961904,1
