n_A,n_B,n_matched,z_S,p_S,STR,Max_episode,T_overlap,timeline_csv,pair_id,file_a,file_b,condition
187,276,181,-1.1422310838673173,0.931906809319068,0.0,0.0,159.9,out_grid_invisible_d1.0/1.0_pair_20170707_07_08_03_timeline.csv,20170707_07_08_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_07_08_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_07_08_03_B.csv,invisible_pair_Human
213,223,179,0.7579893823011632,0.2490750924907509,0.0,0.0,174.1,out_grid_invisible_d1.0/1.0_pair_20170707_09_10_01_timeline.csv,20170707_09_10_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_09_10_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_09_10_01_B.csv,invisible_pair_Human
250,247,217,-0.0665333074866208,0.6213378662133786,0.0,0.0,173.8,out_grid_invisible_d1.0/1.0_pair_20170707_09_10_02_timeline.csv,20170707_09_10_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_09_10_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_09_10_02_B.csv,invisible_pair_Human
232,249,200,-0.2762900973184769,0.672932706729327,0.0,0.0,175.4,out_grid_invisible_d1.0/1.0_pair_20170707_09_10_03_timeline.csv,20170707_09_10_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_09_10_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_09_10_03_B.csv,invisible_pair_Human
246,244,216,-0.4535154749037298,0.7402259774022598,0.0,0.0,175.4,out_grid_invisible_d1.0/1.0_pair_20170707_11_12_01_timeline.csv,20170707_11_12_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_11_12_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_11_12_01_B.csv,invisible_pair_Human
285,267,257,-0.1525152150287426,0.6591340865913409,0.0,0.0,175.60000000000002,out_grid_invisible_d1.0/1.0_pair_20170707_11_12_02_timeline.csv,20170707_11_12_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_11_12_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_11_12_02_B.csv,invisible_pair_Human
258,252,230,0.3774709766412194,0.3935606439356064,0.0,0.0,174.5,out_grid_invisible_d1.0/1.0_pair_20170707_11_12_03_timeline.csv,20170707_11_12_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_11_12_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_11_12_03_B.csv,invisible_pair_Human
205,247,184,-0.663172944316961,0.8054194580541946,0.0,0.0,172.7,out_grid_invisible_d1.0/1.0_pair_20170710_13_14_01_timeline.csv,20170710_13_14_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170710_13_14_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170710_13_14_01_B.csv,invisible_pair_Human
240,288,229,-0.1297110331221965,0.6504349565043496,0.0,0.0,174.5,out_grid_invisible_d1.0/1.0_pair_20170710_13_14_02_timeline.csv,20170710_13_14_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170710_13_14_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170710_13_14_02_B.csv,invisible_pair_Human
247,320,245,0.6184062137202172,0.4320567943205679,0.0,0.0,175.7,out_grid_invisible_d1.0/1.0_pair_20170710_13_14_03_timeline.csv,20170710_13_14_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170710_13_14_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170710_13_14_03_B.csv,invisible_pair_Human
157,184,139,0.1313022455033923,0.5237476252374762,0.0,0.0,171.3,out_grid_invisible_d1.0/1.0_pair_20170710_15_16_01_timeline.csv,20170710_15_16_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170710_15_16_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170710_15_16_01_B.csv,invisible_pair_Human
169,196,144,-1.9646532731466435,0.9885011498850116,0.0,0.0,173.7,out_grid_invisible_d1.0/1.0_pair_20170710_15_16_02_timeline.csv,20170710_15_16_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170710_15_16_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170710_15_16_02_B.csv,invisible_pair_Human
153,182,133,-0.1986236173253728,0.6338366163383662,0.0,0.0,171.89999999999998,out_grid_invisible_d1.0/1.0_pair_20170710_15_16_03_timeline.csv,20170710_15_16_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170710_15_16_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170710_15_16_03_B.csv,invisible_pair_Human
