t_center,t_center_abs,S,S_null_mean,S_null_sd,z_S_t,S_excess,nA,nB,nM,dt,episode
6.5,6.5,1.0,0.7977145852816065,0.16375268076369964,1.235310553543229,0.20228541471839345,11.0,11.0,11.0,-0.20000000000000018,0
6.5,6.5,1.0,0.7977145852816065,0.16375268076369964,1.235310553543229,0.20228541471839345,11.0,11.0,11.0,-0.20000000000000018,0
6.5,6.5,1.0,0.7977145852816065,0.16375268076369964,1.235310553543229,0.20228541471839345,11.0,11.0,11.0,-0.10000000000000053,0
6.5,6.5,1.0,0.7977145852816065,0.16375268076369964,1.235310553543229,0.20228541471839345,11.0,11.0,11.0,0.0,0
6.5,6.5,1.0,0.7977145852816065,0.16375268076369964,1.235310553543229,0.20228541471839345,11.0,11.0,11.0,0.10000000000000053,0
6.5,6.5,1.0,0.7977145852816065,0.16375268076369964,1.235310553543229,0.20228541471839345,11.0,11.0,11.0,0.0,0
6.5,6.5,1.0,0.7977145852816065,0.16375268076369964,1.235310553543229,0.20228541471839345,11.0,11.0,11.0,0.0,0
6.5,6.5,1.0,0.7977145852816065,0.16375268076369964,1.235310553543229,0.20228541471839345,11.0,11.0,11.0,-0.09999999999999964,0
6.5,6.5,1.0,0.7977145852816065,0.16375268076369964,1.235310553543229,0.20228541471839345,11.0,11.0,11.0,-0.20000000000000018,0
6.5,6.5,1.0,0.7977145852816065,0.16375268076369964,1.235310553543229,0.20228541471839345,11.0,11.0,11.0,-0.09999999999999964,0
6.5,6.5,1.0,0.7977145852816065,0.16375268076369964,1.235310553543229,0.20228541471839345,11.0,11.0,11.0,-0.3000000000000007,0
7.5,7.5,0.9473684210526315,0.7470046179998193,0.1672911827967947,1.1976949394648622,0.2003638030528122,10.0,9.0,9.0,-0.10000000000000053,0
7.5,7.5,0.9473684210526315,0.7470046179998193,0.1672911827967947,1.1976949394648622,0.2003638030528122,10.0,9.0,9.0,0.0,0
7.5,7.5,0.9473684210526315,0.7470046179998193,0.1672911827967947,1.1976949394648622,0.2003638030528122,10.0,9.0,9.0,0.10000000000000053,0
7.5,7.5,0.9473684210526315,0.7470046179998193,0.1672911827967947,1.1976949394648622,0.2003638030528122,10.0,9.0,9.0,0.0,0
7.5,7.5,0.9473684210526315,0.7470046179998193,0.1672911827967947,1.1976949394648622,0.2003638030528122,10.0,9.0,9.0,0.0,0
7.5,7.5,0.9473684210526315,0.7470046179998193,0.1672911827967947,1.1976949394648622,0.2003638030528122,10.0,9.0,9.0,-0.09999999999999964,0
