rel_path,n_trial_rows,dropped_columns,n_events_legacy,n_events_chew_only,n_spurious_events_removed,spurious_values,n_trial_values_coinciding_with_real_chews,first_event_legacy,first_event_chew_only
invisible_pair_Human/B/20170707_01_02_02_B.csv,30,Trial,286,261,25,1;2;3;5;6;7;8;9;10;11;12;13;14;15;17;18;19;20;21;22;23;24;25;29;30,5,1.0,2.9
invisible_pair_Human/B/20170707_01_02_03_B.csv,33,Trial,317,290,27,1;2;4;5;6;8;9;10;11;13;14;15;16;18;21;22;23;24;25;26;27;28;29;30;31;32;33,6,1.0,3.0
invisible_pair_Human/B/20170707_03_04_01_B.csv,15,Trial,216,204,12,1;2;3;4;5;6;7;8;9;11;13;14,3,1.0,4.5
invisible_pair_Human/B/20170707_03_04_02_B.csv,15,Trial,210,196,14,1;2;3;4;5;6;7;8;9;10;12;13;14;15,1,1.0,5.6
invisible_pair_Human/B/20170707_03_04_03_B.csv,18,Trial,223,209,14,1;2;3;4;5;6;9;10;11;13;14;15;16;17,4,1.0,5.1
invisible_pair_Human/B/20170707_05_06_01_B.csv,13,Trial,181,168,13,1;2;3;4;5;6;7;8;9;10;11;12;13,0,1.0,4.5
invisible_pair_Human/B/20170707_05_06_02_B.csv,11,Trial,192,183,9,1;2;3;4;5;6;7;8;10,2,1.0,6.6
invisible_pair_Human/B/20170707_05_06_03_B.csv,11,Trial,204,193,11,1;2;3;4;5;6;7;8;9;10;11,0,1.0,6.4
invisible_pair_Human/B/20170707_07_08_01_B.csv,32,Trial,279,250,29,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;25;26;28;29;31;32,3,1.0,8.3
invisible_pair_Human/B/20170707_07_08_02_B.csv,21,Trial,304,287,17,1;2;3;4;5;6;7;8;10;12;13;14;15;16;17;18;19,4,1.0,9.0
invisible_pair_Human/B/20170707_07_08_03_B.csv,23,Trial,301,278,23,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,0,1.0,19.5
invisible_pair_Human/B/20170707_09_10_01_B.csv,16,Trial,238,224,14,1;2;3;4;5;6;7;10;11;12;13;14;15;16,2,1.0,5.4
invisible_pair_Human/B/20170707_09_10_02_B.csv,13,Trial,258,248,10,1;2;3;4;7;8;9;10;12;13,3,1.0,5.0
invisible_pair_Human/B/20170707_09_10_03_B.csv,16,Trial,265,250,15,1;2;3;4;5;6;7;8;9;11;12;13;14;15;16,1,1.0,4.4
invisible_pair_Human/B/20170707_11_12_01_B.csv,13,Trial,254,244,10,1;2;3;5;6;8;9;10;12;13,3,1.0,4.0
invisible_pair_Human/B/20170707_11_12_02_B.csv,16,Trial,284,270,14,1;2;3;4;5;6;9;10;11;12;13;14;15;16,2,1.0,2.4
invisible_pair_Human/B/20170707_11_12_03_B.csv,20,Trial,272,255,17,1;2;3;4;5;6;7;8;9;10;11;12;13;16;17;18;19,3,1.0,3.1
invisible_pair_Human/B/20170710_13_14_01_B.csv,16,Trial,265,250,15,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,1,1.0,5.4
invisible_pair_Human/B/20170710_13_14_02_B.csv,21,Trial,307,289,18,1;2;3;4;5;6;7;8;9;11;12;13;14;17;18;19;20;21,3,1.0,5.2
invisible_pair_Human/B/20170710_13_14_03_B.csv,23,Trial,340,320,20,1;2;3;4;5;6;7;10;12;13;14;15;16;17;18;19;20;21;22;23,3,1.0,3.8
invisible_pair_Human/B/20170710_15_16_01_B.csv,14,Trial,203,189,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,0,1.0,4.9
invisible_pair_Human/B/20170710_15_16_02_B.csv,16,Trial,213,197,16,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,0,1.0,4.2
invisible_pair_Human/B/20170710_15_16_03_B.csv,10,Trial,194,185,9,1;2;3;4;5;6;7;8;9,1,1.0,4.8
solo_Human/20170706_07_01_B.csv,13,Trial,220,209,11,1;2;3;4;5;6;8;9;11;12;13,2,1.0,3.7
solo_Human/20170706_07_02_B.csv,12,Trial,209,201,8,1;2;3;4;5;6;7;12,4,1.0,5.5
solo_Human/20170706_07_03_B.csv,12,Trial,174,163,11,1;2;3;4;5;6;7;8;9;10;12,1,1.0,6.4
solo_Human/20170710_03_01_B.csv,14,Trial,160,147,13,1;2;3;4;5;6;7;9;10;11;12;13;14,1,1.0,6.4
