t_center,z_S_t__20170705_01_02_01,z_S_t__20170705_01_02_02,z_S_t__20170705_01_02_03,z_S_t__20170705_03_04_01,z_S_t__20170705_03_04_02,z_S_t__20170705_03_04_03,z_S_t__20170707_01_02_01,z_S_t__20170707_01_02_02,z_S_t__20170707_01_02_03,z_S_t__20170707_03_04_01,z_S_t__20170707_03_04_02,z_S_t__20170707_03_04_03,z_S_t__20170707_05_06_01,z_S_t__20170707_05_06_02,z_S_t__20170707_05_06_03,z_S_t__20170707_07_08_01,z_S_t__20170707_07_08_02,z_S_t__20170707_07_08_03,z_S_t__20170707_09_10_01,z_S_t__20170707_09_10_02,z_S_t__20170707_09_10_03,z_S_t__20170707_11_12_01,z_S_t__20170707_11_12_02,z_S_t__20170707_11_12_03,z_S_t__20170710_13_14_01,z_S_t__20170710_13_14_02,z_S_t__20170710_13_14_03,z_S_t__20170710_15_16_01,z_S_t__20170710_15_16_02,z_S_t__20170710_15_16_03,,,,,,,,,,,,,,,,,
13.5,1.138338172,0.713139667,1.298062963,1.012524568,1.215110261,1.430837693,2.175810477,0.789911869,0.730951357,-0.882503913,0.292448826,0.118321502,0.427153007,0.01725333,1.430365745,1.41834553,1.157863436,1.183316223,0.847040789,0.546368154,1.187467283,0.914137356,2.074994723,1.113319313,0.624029542,1.032202285,0.500477106,0.987362314,0.406091917,-1.149985832,,,,,,,,,,,,,,,,,
14.5,0.068106556,1.178489931,0.634348731,0.646483998,0.946515469,1.734558905,2.256684666,0.551301634,1.223098031,-1.468156349,-0.313901775,0.192286635,-0.035662312,-0.06719782,0.602988258,1.447512243,0.810608057,1.239601505,0.695501218,0.460974232,1.776611416,2.597448479,1.128116712,1.146460891,0.94885316,1.465779331,1.29724802,1.004503349,-0.025637501,-0.724851659,,,,,,,,,,,,,,,,,
15.5,-0.749954865,0.477576822,-0.17541993,0.800697809,0.597075102,1.478737271,1.85775505,0.795772834,1.73644857,-0.651686755,-0.454359457,0.3149372,-0.273789125,1.094918593,0.554969609,0.771970816,0.072281977,0.381261103,1.294035227,-0.174150015,1.784983534,1.306351111,1.564084149,0.3762984,1.345277732,2.412063714,1.509119018,1.011156775,0.296210877,-0.274473362,,,,,,,,,,,,,,,,,
16.5,-1.840671503,-0.224103249,0.020747987,0.648424984,1.499986586,1.699201416,2.114011104,1.008197655,1.230245231,-0.605401346,-0.746279094,0.09488618,-0.322251562,1.538352165,0.231743917,-0.004667266,-0.569569235,0.39994201,0.750416332,-1.169541541,0.670265145,0.220125981,0.434902146,0.382784379,0.484111501,2.336876624,1.327796219,0.973866451,-0.451724883,0.558799977,,,,,,,,,,,,,,,,,
17.5,-1.1178081,-0.093003785,-0.559095777,0.365135883,1.550696731,1.403440617,1.471983483,0.82314002,1.405976584,-0.457948164,-1.560863384,-0.423526113,-0.406253842,0.693179876,0.253038584,-0.753516173,-1.298057941,0.309593792,0.310787169,-0.982192461,-0.011565766,0.328704625,0.97410268,0.380391468,0.935403458,1.826229278,0.034664994,1.013904774,0.355729687,1.057128745,,,,,,,,,,,,,,,,,
18.5,-1.594693097,-0.41928148,-0.48993536,0.96051969,0.921376162,1.089119668,0.521262405,0.689785996,1.390114394,-0.647225483,-2.063216381,-0.244311955,-0.826704014,1.301625161,0.41154898,-0.713052395,-1.382487173,-0.857418538,0.320386638,-1.081017781,-0.526557502,-0.224828166,-0.559398336,0.051063902,0.153401692,2.385090732,0.092391158,1.345554472,0.755167042,1.421649504,,,,,,,,,,,,,,,,,
19.5,-1.350977199,-0.889520254,-0.553685997,0.788937749,0.414481552,1.070908623,0.137875142,0.740032739,0.407442923,-0.648054293,-1.50483397,-0.655875409,-0.324395943,1.255945959,0.375775589,-1.666609509,-1.490086787,-1.819151659,-0.60020537,-1.588849681,-0.351361409,-1.255825621,-1.370164462,0.193369678,0.15579642,2.381757376,0.173975813,0.174092565,0.103718633,1.029916871,,,,,,,,,,,,,,,,,
20.5,-0.9622848,-1.57934174,0.557249115,0.81003291,0.34555187,0.565061746,0.274552198,0.743494372,-0.019808387,-0.832231506,-2.095789503,-0.842699358,0.273203876,0.066113502,0.288079815,-1.663066475,-0.597332821,-1.158878172,-0.823704075,-1.46193851,0.214163836,-0.12603673,-1.117131857,1.004130436,-1.185329409,1.78774186,-0.921976111,0.003285906,0.571171649,1.094392602,,,,,,,,,,,,,,,,,
21.5,0.670760781,-0.952785479,1.07042099,0.601632505,-0.862808517,-0.290216894,-0.193233556,0.754388616,-0.299134571,-0.706922954,-2.245435609,-0.642389421,0.993613395,-1.273673733,0.313686631,-1.480865058,-1.441293866,0.193967766,-0.272056125,-0.236222742,0.474886876,-1.321505334,-0.693711052,0.752911094,0.2083683,1.514293625,-0.081241843,0.143141905,0.213713319,1.778800124,,,,,,,,,,,,,,,,,
22.5,0.441653943,-0.884745318,-0.868655472,0.401552745,-0.645006079,-1.419315604,0.147817508,0.911580978,0.125571331,-0.519062616,-2.243588159,-0.744333645,0.569805655,-0.64318672,0.800942322,-1.489326726,-1.598713632,0.316382561,-0.217326793,0.447663859,0.110338381,-0.567789382,-0.036677368,0.972209946,0.077603472,1.443859023,1.050765874,0.402740043,0.089870964,1.215177195,,,,,,,,,,,,,,,,,
23.5,0.396327702,-1.212734057,-1.759768196,0.374479901,-1.433870826,-1.996805232,0.74258073,0.84267133,0.175538227,0.043796934,-1.437361424,0.129152369,0.953297192,-1.018316189,0.160207258,-0.380773172,-1.425048532,0.923838368,0.241036981,-0.615241728,0.41719363,-0.856638016,-1.47545716,1.075438687,0.473541061,1.917885208,0.813175882,0.207613938,0.270527621,0.818126914,,,,,,,,,,,,,,,,,
24.5,-0.211686744,-1.791179517,-1.518442062,-0.685051337,-0.493455088,-2.705897684,0.377434472,0.827973874,0.497841819,-0.425002721,-0.535554829,-0.066978352,0.194879398,-1.321326686,0.262276736,-0.503580202,-0.150444041,0.856891314,1.12871295,-0.589838595,0.415233093,-0.773693517,-0.373534663,-0.008677694,0.97029874,1.705798699,-0.480901788,0.873145667,0.329999454,0.787239527,,,,,,,,,,,,,,,,,
25.5,-1.123391716,-0.430765069,-1.504449908,-0.610519068,0.455895569,-2.024534606,0.116556779,0.553923359,0.426518636,-0.82402575,1.460310521,0.000839724,-0.137335991,-0.229556824,0.92657852,0.138671608,0.064269454,-0.269930599,1.93219911,-0.575972628,-0.29945849,-0.773099016,-0.164305392,0.111263771,0.887794124,0.244162455,0.26479634,0.88939081,-0.128856467,0.738571952,,,,,,,,,,,,,,,,,
26.5,-1.050329975,-1.289903552,-0.602945963,-1.067057056,0.884994175,-0.858384274,-0.303201705,0.296280012,0.3800568,-0.562935116,0.717718385,-0.816804723,1.205764849,0.360824434,0.78363994,0.095514311,0.225189626,-0.962210374,1.098626811,-0.823913735,0.54770403,-0.766374614,-0.596984228,-0.395698606,1.247226097,0.676648059,-0.102356736,0.303212761,-0.332782981,0.669598904,,,,,,,,,,,,,,,,,
27.5,-1.422854824,-0.677146042,0.443380455,-0.370310162,-0.276114583,0.228533404,-0.194934573,-0.334289022,0.365244916,-1.445005792,1.768563414,0.035429626,1.056444922,0.29368723,0.250487914,0.810328749,0.372749819,-0.981636591,0.412563292,-0.494577158,1.213180551,-0.53706737,0.899947133,-0.170248688,1.169336425,0.034757867,0.206691068,0.113730654,-0.183787468,0.121989622,,,,,,,,,,,,,,,,,
