t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03,,,,,,,,,,,,,,,,,,,,,,
15.5,-1.893747998,-0.319906939,-0.80481788,-1.166239182,0.289154518,1.040098601,1.018439215,0.4703585,0.633157652,1.946724367,0.043802668,1.364459227,0.133842954,1.26560427,0.76590088,-2.056176293,-0.08620461,0.821408227,0.981351301,1.207332947,0.193794558,0.06198533,-0.211404209,0.812615818,0.670835443,0.31609873,0.679379839,0.145925357,-1.790263785,-1.449564049,,,,,,,,,,,,,,,,,,,,,,
16.5,-1.617812072,-0.761884896,-1.416370873,-0.965033441,1.159195168,0.34806992,0.752617062,1.705966044,0.454332323,1.440173611,0.518421697,0.916799952,0.075436224,1.158042793,0.203756492,-2.107703168,-0.021537581,0.649287098,0.743920769,1.019503443,-0.002144678,-0.880546069,0.28411995,0.091447559,0.14816431,0.311085227,0.549852812,-0.481055983,-1.846830622,-1.016238659,,,,,,,,,,,,,,,,,,,,,,
17.5,-0.877501538,-1.219881789,-1.157320749,-0.908528151,0.76524932,0.284957,1.144649278,1.01567997,0.575455725,1.54686858,0.445731614,0.417634482,0.407725948,0.921646778,0.42222394,-0.847061513,0.305534339,0.589400497,-0.387517062,-0.119369186,0.291118954,-0.755860123,0.258472706,0.621698779,0.899396676,-0.817027906,0.712486816,0.632108115,-1.200319842,-1.026404775,,,,,,,,,,,,,,,,,,,,,,
18.5,-1.647402121,-1.915689063,-0.339899025,-0.764430157,0.82861891,0.659672543,1.702288378,1.419030021,1.156226127,2.189638403,0.752760514,-0.194627998,0.309822252,0.546611143,0.305214308,-0.808145748,0.139896952,0.636496291,-0.11724959,-0.049245552,0.599623176,0.354164116,0.203018285,0.358699106,0.978584144,-0.857632703,1.321242848,0.678572542,-0.846065477,-0.977781679,,,,,,,,,,,,,,,,,,,,,,
19.5,0.159033354,-0.823401039,-0.176198098,-1.218391102,-0.054427979,1.263809343,1.489615853,0.585884255,1.017917747,0.838619084,0.563791134,-0.007416127,1.0581998,0.828572379,0.165577819,-0.618624211,0.321881587,0.283224899,0.802433156,-0.53169417,0.453320769,-0.467568539,0.382158413,1.006979435,-0.349298353,-1.535119954,1.290373241,1.02827776,-0.397668826,-1.008653256,,,,,,,,,,,,,,,,,,,,,,
20.5,0.073564864,-0.586181508,-0.128309279,-1.458188314,0.294135848,1.28307234,1.072925146,1.450007566,1.331386476,1.108492896,-0.312399484,-0.532290006,0.550626627,0.180549128,0.539459905,0.530365534,-0.104793878,0.262960122,0.318596312,-0.727913475,-0.347314945,0.021750203,0.56351181,0.907212336,-0.979596314,-1.419204346,0.963376965,1.174754629,0.582326417,0.236988552,,,,,,,,,,,,,,,,,,,,,,
21.5,-0.602073255,-0.097357875,-0.366355575,0.217651823,0.319979648,1.188402683,1.079257,1.201047145,1.917274497,-0.247429251,0.518660884,0.668918292,0.889808745,-0.132507565,0.195363722,0.787260208,0.663176024,0.487773469,0.281805191,-0.70342009,-0.819236395,0.666834707,0.715017354,0.160952017,-0.388760398,-1.507443252,1.110186704,1.562416538,-0.722966983,1.041031823,,,,,,,,,,,,,,,,,,,,,,
22.5,0.097296641,-0.017089304,-0.702058738,0.821763273,0.556267361,-0.504395232,0.61283159,1.160134661,1.568603648,0.183602363,0.219522955,0.649728858,0.409971691,0.418943915,0.166735745,-0.345404708,-0.25074001,0.71044907,0.097264332,0.617427639,-0.550356807,0.687994835,0.804551973,0.478588243,-0.999724899,-1.09997727,0.972206301,0.952644857,-0.277515705,1.272648056,,,,,,,,,,,,,,,,,,,,,,
23.5,0.266226169,1.037934791,-0.690065436,0.854192999,0.601621384,0.090208404,-0.019730273,0.01023476,0.763497887,-0.264947132,-0.736303827,0.448037056,0.318622361,0.446775224,-0.021639241,-0.732015779,-0.453828641,0.617572312,0.122082607,-0.029950829,-0.519391166,0.413800299,0.927878267,-0.159128012,-0.760661752,0.08921356,1.603196526,0.435267201,0.227191317,0.786713023,,,,,,,,,,,,,,,,,,,,,,
24.5,0.801388093,0.866913324,0.010237681,1.006027765,0.207322701,0.108537148,-0.507516202,-0.551337345,0.606382949,-0.419755625,-0.244192578,0.342488648,-0.914779005,1.387728486,0.570443985,-0.327697943,-1.359936498,0.367951162,-0.374750585,0.605886198,-0.471644299,0.846599564,0.961876492,-1.701241705,-0.637837912,-0.219886458,1.594470327,0.113801412,1.172915028,0.021186757,,,,,,,,,,,,,,,,,,,,,,
25.5,-0.084779129,0.18094481,-0.749878329,1.469027967,0.004290029,-0.302174648,-0.027952271,-0.896290453,0.332385875,0.737413583,0.003795487,0.747599748,-0.611359019,1.257037802,0.548933265,0.142706427,-1.705896449,-0.508900203,-1.312423012,0.879753967,-0.756026777,-0.20054272,0.697583708,-2.384319864,-0.624415288,-0.236616728,1.295266799,-0.648521706,1.13915226,-0.630627539,,,,,,,,,,,,,,,,,,,,,,
26.5,-0.149806583,1.223829509,0.191268698,1.569759534,0.495105771,-0.120617033,-0.643110591,-1.124518845,-0.733637873,1.215484622,-0.017065313,1.277022852,-0.60823287,1.394319487,0.862607421,0.380929239,-1.78850707,-0.251398784,-0.392553756,0.958604296,-1.396084533,0.517771153,1.356146209,-2.112696307,-0.080891352,0.375091549,1.521532876,-0.507144857,1.671564877,-0.426262709,,,,,,,,,,,,,,,,,,,,,,
