t_center,z_S_t__20170705_01_02_01,z_S_t__20170705_01_02_02,z_S_t__20170705_01_02_03,z_S_t__20170705_03_04_01,z_S_t__20170705_03_04_02,z_S_t__20170705_03_04_03,z_S_t__20170707_01_02_01,z_S_t__20170707_01_02_02,z_S_t__20170707_01_02_03,z_S_t__20170707_03_04_01,z_S_t__20170707_03_04_02,z_S_t__20170707_03_04_03,z_S_t__20170707_05_06_01,z_S_t__20170707_05_06_02,z_S_t__20170707_05_06_03,z_S_t__20170707_07_08_01,z_S_t__20170707_07_08_02,z_S_t__20170707_07_08_03,z_S_t__20170707_09_10_01,z_S_t__20170707_09_10_02,z_S_t__20170707_09_10_03,z_S_t__20170707_11_12_01,z_S_t__20170707_11_12_02,z_S_t__20170707_11_12_03,z_S_t__20170710_13_14_01,z_S_t__20170710_13_14_02,z_S_t__20170710_13_14_03,z_S_t__20170710_15_16_01,z_S_t__20170710_15_16_02,z_S_t__20170710_15_16_03,,,,,,,,,,,,,,,,,,,,,,,
13.5,0.489267581,0.722242635,1.306199751,1.012044288,1.215822941,1.430128839,2.175810477,0.796949414,0.731200645,-0.733352028,0.50876821,0.141418764,0.438379848,0.073050175,1.432897463,1.41834553,1.175247368,1.378879132,0.847281216,0.60448416,1.187467283,0.916356853,2.07023822,1.113319313,0.625024191,1.131517111,0.500477106,0.987362314,0.41172543,-0.409517308,,,,,,,,,,,,,,,,,,,,,,,
14.5,0.132583636,1.189844976,0.793993544,0.652045844,0.94619946,1.732480324,2.254058299,0.59191457,1.223098031,-1.436327075,-0.18053339,0.19941887,0.091242083,-0.002160344,0.664664088,1.447512243,0.82210704,1.391081827,0.695501218,0.602792827,1.780618588,2.574956301,1.128116712,1.146460891,0.952447258,1.469158936,1.29724802,1.004503349,-0.025637501,-0.168629054,,,,,,,,,,,,,,,,,,,,,,,
15.5,-0.485309986,0.495777525,0.023421162,0.803716027,0.598890899,1.477993561,1.856484668,0.811844881,1.73644857,-0.631097082,-0.284876513,0.3149372,-0.120314374,0.305646009,0.561755914,0.771970816,0.075650735,0.5615406,1.294035227,0.16270665,1.793456864,1.337056131,1.564084149,0.3762984,1.347341714,2.396022743,1.509119018,1.011156775,0.32819491,-0.824432757,,,,,,,,,,,,,,,,,,,,,,,
16.5,-1.313429517,-0.224103249,0.263441408,0.655140548,1.499986586,1.699201416,2.114011104,1.020387172,1.230245231,-0.577779721,-0.539059193,0.09488618,0.080948076,0.641493746,0.237507661,-0.003712459,-0.565679994,0.594253926,0.750416332,-1.003670294,0.671252948,0.235227266,0.434902146,0.382784379,0.484111501,2.333301649,1.327796219,0.975188536,-0.372364894,-0.343015853,,,,,,,,,,,,,,,,,,,,,,,
17.5,-0.768319716,-0.093003785,-0.279696994,0.365847635,1.550696731,1.403440617,1.472010881,0.876436215,1.440067064,-0.457948164,-1.110697116,-0.422115836,0.056328848,-0.342494261,0.335913307,-0.752436327,-1.295276103,0.363471972,0.414886774,-0.796038769,0.115360584,0.335596255,0.977807399,0.380391468,0.935403458,1.826229278,0.034664994,1.013904774,0.433431991,0.11062241,,,,,,,,,,,,,,,,,,,,,,,
18.5,-0.812472098,-0.41928148,-0.147785474,0.961237245,0.921376162,1.089119668,0.521262405,0.699029979,1.403191138,-0.647225483,-1.675941467,-0.235134746,-0.146391282,0.050253266,0.525243632,-0.61576058,-1.382487173,-0.811901603,0.365715006,-1.007758981,-0.384504325,-0.224828166,-0.557583713,0.051063902,0.153401692,2.385090732,0.092391158,1.420702761,0.853171047,0.159444093,,,,,,,,,,,,,,,,,,,,,,,
19.5,-1.116737068,-0.887746669,-0.456614738,0.789876771,0.414481552,1.070273714,0.137875142,0.745362017,0.416991762,-0.644263346,-1.345732657,-0.60853719,0.064075124,-1.268263988,0.471675069,-1.625577469,-1.490086787,-1.804582759,-0.524960965,-1.547494729,-0.067576165,-1.255825621,-1.340499582,0.193369678,0.160566866,2.384596575,0.173975813,0.273889755,0.198803992,1.054846294,,,,,,,,,,,,,,,,,,,,,,,
20.5,-0.792172289,-1.552767305,0.623306307,0.83908268,0.385828939,0.567089762,0.274552198,0.748800804,-0.006115766,-0.828966003,-2.001936621,-0.534439826,0.5580117,0.274721588,0.393012955,-1.389158225,-1.438926935,-1.157953236,-0.606603417,-1.463329116,0.412568354,-0.124894735,-1.059706978,1.004130436,-1.184560522,1.78774186,-0.921976111,0.169381216,0.641400054,1.145489461,,,,,,,,,,,,,,,,,,,,,,,
21.5,0.693407805,-0.940062099,1.129123488,0.606404535,-0.857803555,-0.288028132,-0.192500451,0.755183296,-0.295847208,-0.458982991,-2.180557803,-0.507798288,-0.158894337,-1.067252332,0.356989368,-1.413654814,-1.365265781,0.193967766,0.237082842,-0.2260741,0.51614132,-1.321505334,-0.639778707,0.752911094,0.209778474,1.530085708,-0.081241843,0.613115334,0.229039584,1.786823142,,,,,,,,,,,,,,,,,,,,,,,
22.5,0.475190593,-0.874109018,-0.760115993,0.405560719,-0.639449935,-1.418546295,0.194230541,0.911580978,0.126111319,-1.52191947,-2.222618764,-0.506845708,0.653174052,-0.559489407,0.905286126,-1.451117371,-1.442035906,0.323365125,0.104339543,0.45715595,0.21501802,-0.567789382,0.009167877,0.978069379,0.222762874,1.529880993,1.050765874,0.64510201,0.097827854,1.212770075,,,,,,,,,,,,,,,,,,,,,,,
23.5,0.407138157,-1.174681348,-1.59735117,0.378698497,-1.429607895,-1.994384187,0.749157316,0.84267133,0.175977423,-0.82981947,-1.359662863,0.383291996,1.047770808,-0.890440157,0.349270134,-0.355314323,-1.158601715,0.925882495,0.488296103,-0.606644866,0.607927548,-0.832633769,-1.211910281,1.075438687,0.63555206,1.934366282,0.813175882,0.639569397,0.273819772,0.853153373,,,,,,,,,,,,,,,,,,,,,,,
