t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03,,,,,,,,,,,,,,,,,,,
13.5,-1.938200734,1.047866742,-1.29496961,0.221192769,0.020598666,1.036802658,0.884559742,1.025484207,0.327640217,1.347296958,0.939228024,0.461132402,0.887320629,1.550927553,0.593315926,-2.03810005,0.228955849,-0.13178014,1.078741274,1.344080195,0.568201834,0.111375394,-0.041945735,1.40489711,0.051738362,0.393485276,-0.026174667,-0.014381743,-0.32391754,-1.000609535,,,,,,,,,,,,,,,,,,,
14.5,-1.488055956,0.686660265,-1.117689534,-0.385388763,-1.151503281,0.684571298,1.072644251,1.228600536,0.721532996,1.139287111,0.517764618,0.784490803,-0.120231846,0.398188174,0.475250019,-2.088003922,0.3339283,0.429979774,2.027911538,1.206595953,0.152735481,-0.53274427,0.029606347,1.353118604,1.12153281,1.204024517,0.333347309,0.607260197,-1.639547313,-0.640402999,,,,,,,,,,,,,,,,,,,
15.5,-2.378388177,-0.322141714,-1.320097477,-1.183439655,-0.159032338,1.040098601,1.018439215,0.400710782,0.574343726,1.943178105,0.016700185,1.343022543,0.130731184,1.265080152,0.739578025,-2.155532768,-0.565136128,0.717756711,0.872760875,1.208015646,0.193794558,0.057216637,-0.340367271,0.814875314,0.661289633,0.248637302,0.673062105,0.047008114,-1.97806389,-1.897286272,,,,,,,,,,,,,,,,,,,
16.5,-1.825845294,-0.815020808,-1.705333911,-0.965033441,1.049681549,0.34806992,0.752617062,1.722391164,0.44951718,1.442208815,0.518421697,0.744114454,0.075436224,1.158042793,0.172434291,-2.313864782,-0.453179212,0.57007687,0.506617022,1.019503443,-0.096076306,-0.886594489,0.108360368,0.091447559,0.14816431,0.166683977,0.548747855,0.316895929,-2.028870636,-1.548014479,,,,,,,,,,,,,,,,,,,
17.5,-1.015847632,-1.253023861,-1.286987488,-0.908528151,0.600979252,0.284957,1.141975055,1.007693342,0.566139675,1.506592892,0.444197106,0.073434194,0.407725948,0.861314749,0.406541412,-1.160421741,-0.334575212,0.492859629,-0.663973842,-0.119369186,0.246467073,-0.762618078,0.075621094,0.607829711,0.900459857,-1.00672581,0.711969327,0.562838094,-1.531103775,-1.508561121,,,,,,,,,,,,,,,,,,,
18.5,-1.903539694,-1.932113345,-0.399822332,-0.806429144,0.430571629,0.618145255,1.698879437,1.405227556,1.152118485,2.182579167,0.75013937,-0.507598812,0.289459307,0.530599009,0.303364352,-1.037577071,-0.2161253,0.624315096,-0.307658168,-0.049245552,0.480461975,0.33311131,-0.040550174,0.336633938,0.976186668,-1.145558239,1.316685289,0.657220309,-1.354572583,-1.310973766,,,,,,,,,,,,,,,,,,,
19.5,-0.043402517,-0.878189745,-0.266802992,-1.350445779,-0.126353695,1.263809343,1.47933881,0.585884255,1.016838359,0.753205065,0.469748627,-0.10448055,1.038053668,0.811859856,0.165577819,-0.762793934,-0.140314258,0.283224899,0.664381637,-0.555769237,0.230461028,-0.633640946,0.342665292,0.995690093,-0.35997489,-1.61976189,1.289141348,1.056139545,-0.840059337,-1.26526678,,,,,,,,,,,,,,,,,,,
20.5,-0.005209771,-0.618709737,-0.157511891,-1.461986349,0.293254676,1.275642633,1.066586972,1.450007566,1.331386476,2.151989636,0.351004637,-0.540141947,0.506298965,0.162261611,0.538242978,0.116257634,-0.407027129,0.262447909,0.282648605,-0.828476787,-0.632483215,-0.517844988,0.549573837,0.903051827,-1.004130818,-1.658129387,0.962105995,1.186593918,0.297716697,0.164266364,,,,,,,,,,,,,,,,,,,
21.5,-0.773553707,-0.113025919,-0.382100092,0.212610509,0.309857363,1.135902939,1.079257,1.165198002,1.911867352,1.063188689,0.223010396,0.659127237,0.878918822,-0.137047545,0.189525392,0.223113794,0.393787982,0.456305391,0.244166551,-0.963897668,-1.029240842,0.419024075,0.715017354,0.044950459,-0.465638937,-1.677333304,1.109519339,1.531524873,-1.015491175,1.033711588,,,,,,,,,,,,,,,,,,,
22.5,-0.026204238,-0.020499485,-0.746349088,0.813025014,0.556214696,-0.527594766,0.467799209,1.044581305,1.543778616,1.116127069,-0.037513222,0.64356349,0.391014495,0.416439387,0.143140854,-0.530314059,-0.565462843,0.671836335,0.097264332,0.532414009,-0.638384849,0.505968855,0.720066632,0.393722311,-1.118576999,-1.203653506,0.972206301,0.948788267,-0.388811875,1.259612547,,,,,,,,,,,,,,,,,,,
