t_center,z_S_t__20170705_01_02_01,z_S_t__20170705_01_02_02,z_S_t__20170705_01_02_03,z_S_t__20170705_03_04_01,z_S_t__20170705_03_04_02,z_S_t__20170705_03_04_03,z_S_t__20170707_01_02_01,z_S_t__20170707_01_02_02,z_S_t__20170707_01_02_03,z_S_t__20170707_03_04_01,z_S_t__20170707_03_04_02,z_S_t__20170707_03_04_03,z_S_t__20170707_05_06_01,z_S_t__20170707_05_06_02,z_S_t__20170707_05_06_03,z_S_t__20170707_07_08_01,z_S_t__20170707_07_08_02,z_S_t__20170707_07_08_03,z_S_t__20170707_09_10_01,z_S_t__20170707_09_10_02,z_S_t__20170707_09_10_03,z_S_t__20170707_11_12_01,z_S_t__20170707_11_12_02,z_S_t__20170707_11_12_03,z_S_t__20170710_13_14_01,z_S_t__20170710_13_14_02,z_S_t__20170710_13_14_03,z_S_t__20170710_15_16_01,z_S_t__20170710_15_16_02,z_S_t__20170710_15_16_03,,,,,,,,,,,,,,,,,,,,,,,,,
15.5,-0.011544801,0.970856633,-0.000791788,1.041010037,0.792872879,1.480215403,1.923632482,1.034855607,1.853842523,0.095979033,-0.463875542,0.622926515,0.328449319,0.722862938,0.880746116,0.787009224,-1.110172756,-0.356725619,1.402583808,0.020945957,1.188085192,0.532563787,1.593909924,0.466048805,-0.002241168,2.389283764,1.511495101,-0.184609677,-0.214959129,0.106769033,,,,,,,,,,,,,,,,,,,,,,,,,
16.5,-0.408976599,-0.152301264,0.403096585,0.995358543,1.540414323,1.717218103,2.136867404,1.119478263,1.335344454,-0.217685445,-0.651289675,0.273568208,-0.171945074,0.095742176,-0.065041621,0.13783921,-1.80056883,-0.35130437,0.830424832,-2.056191874,0.756428816,-0.322795064,0.566646515,0.395175643,-0.222287534,2.329418809,1.510246822,0.351849816,0.005187081,0.468672403,,,,,,,,,,,,,,,,,,,,,,,,,
17.5,0.049538805,-0.337321495,0.612732582,0.605863895,1.592386142,1.411303136,1.50540815,1.107632594,1.189403659,0.022082859,-0.10198333,-0.220457017,-0.293099163,0.052797105,-0.040723917,-0.609349001,-2.499412536,0.12401809,-0.25019955,-2.028547657,0.368933396,-0.164632716,1.13335171,0.402072073,-0.015529879,2.054655825,0.327574794,0.487667167,0.918755163,0.861947774,,,,,,,,,,,,,,,,,,,,,,,,,
18.5,0.046377179,-1.30881022,0.550240042,1.163239607,0.992341098,1.095491316,0.569989189,0.888905944,1.435698255,-0.290687746,-0.712664666,0.09060616,-1.601827535,-0.730398934,0.35903399,-1.155871328,-1.96352757,-0.04975554,0.727961824,-1.427277933,-0.072920814,0.198723255,-0.124961001,0.114277496,-0.970790526,2.474497645,0.382371052,0.036126441,1.385737637,0.829635934,,,,,,,,,,,,,,,,,,,,,,,,,
19.5,-0.237048212,-2.041487146,0.152542644,0.910456442,0.474360036,1.092169037,0.188319284,0.785719657,0.552110581,-0.33422575,-1.640121411,-0.212564648,-2.182241221,-1.91992672,0.160642157,-0.996431572,-1.342628419,-1.18058512,0.203679007,-2.120777505,-0.534020428,-0.607433702,-0.85610653,0.315391071,-0.813742852,2.43399823,0.450274035,-0.173410433,0.238050488,1.559931526,,,,,,,,,,,,,,,,,,,,,,,,,
20.5,-0.937502862,-3.625072623,0.913168847,0.594655254,0.04494721,0.645694129,0.2826317,0.791756421,0.235838955,-0.32838078,-1.485817058,-0.802616926,-1.696507531,-0.709868461,0.141188166,-1.402694513,-1.086237579,-0.847470467,0.131795282,-1.87120776,0.6395551,0.178413459,-0.645536248,1.0357589,-0.805244614,1.889892608,-0.567397521,-0.321430356,0.576751803,1.647029849,,,,,,,,,,,,,,,,,,,,,,,,,
21.5,0.166260219,-2.595102577,0.541265557,0.728245776,-0.707811653,-0.227429997,-0.16760839,0.873605382,-0.018615474,0.254195077,-1.758904697,-0.093698788,-1.659124498,-1.441662585,0.733000047,-1.506710375,-1.092511336,0.19549136,0.885311578,0.034636487,0.588552766,-0.759943087,-0.256037476,0.860140543,0.366482517,1.553559353,0.003309376,-1.105538222,0.041620636,1.377857809,,,,,,,,,,,,,,,,,,,,,,,,,
22.5,0.067642308,-1.952543303,-0.018550428,0.533633993,-0.477978725,-1.329982348,0.384542311,0.916343173,0.213031802,-0.71317932,-1.74325435,-1.253930727,-0.808855809,-2.233500054,1.199674396,-1.461695014,-0.998748998,0.494931083,-0.216287699,-1.28360435,0.60417663,-0.215427935,0.517906694,1.163694478,0.567181501,1.59924367,0.267714691,0.22374419,-0.184087344,0.910298646,,,,,,,,,,,,,,,,,,,,,,,,,
23.5,-0.154227255,-1.283903056,-0.73414646,0.50315986,-1.232161523,-1.905509597,0.810226721,0.850807269,0.261722121,0.056768928,-1.187212308,-0.24774507,0.610246733,-1.053651187,0.858242348,-0.754663628,-0.508844653,0.32794753,-0.964577057,-0.275671849,1.107835788,-0.367534867,-1.138265948,1.172551528,1.090852832,2.018194239,-0.057955686,0.127442767,-0.27023892,0.635534152,,,,,,,,,,,,,,,,,,,,,,,,,
24.5,-0.687771935,-0.527421473,-0.65916243,-0.449109224,-0.207839708,-2.517051811,0.650880408,0.836377619,0.535941446,-0.610069164,0.351472646,-0.566988504,0.968377794,-1.199524323,1.069109644,-0.900730177,0.460341952,1.006194406,-0.575463522,-1.154469254,0.821704947,-0.214923843,-0.998847728,0.179752075,1.410602781,1.909244404,-1.515074442,0.496718434,-0.222900103,0.558279786,,,,,,,,,,,,,,,,,,,,,,,,,
