t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03,
28.5,0.097648652,0.106946833,1.498966106,1.056231679,1.894010679,0.317744634,0.741916124,0.241608074,0.877946848,2.12145806,1.123399768,-0.55640253,0.939381857,1.97679206,0.2649681,1.565232587,0.391351349,0.302690556,-0.229965097,0.908104455,-0.926092684,-0.724130186,-1.27189793,0.641910648,0.92238174,1.157996363,0.415465309,-0.053222935,0.860950418,0.496192678,
29.5,-0.555477993,-0.005624014,1.162596253,0.95130104,1.418475497,1.040638837,0.09070235,0.389830455,0.642647664,1.988315794,1.761449358,0.643488377,1.488750983,0.470868524,-0.07473742,1.134443592,1.567186775,0.329323691,-0.133741997,0.73712829,-0.808149158,-1.448322382,-0.938429614,0.432545753,0.571763981,0.531693847,-0.417559354,-1.118427385,-0.149118134,0.432869171,
30.5,-0.570766639,-0.326499007,1.315418784,-0.142716073,1.296021261,1.059468872,0.205716231,0.933106615,0.816095304,1.421141002,2.129778968,0.767579046,1.71962877,0.595759011,-0.465121074,0.607173533,1.411806489,-0.171703785,-0.473814462,0.475105063,-1.019865504,-2.154789946,-0.66054817,0.895650242,-0.366001307,0.173440183,-0.723592778,-1.417904651,-0.125471222,0.928209811,
31.5,-0.879452066,0.988450429,0.882822414,0.648996424,-0.150831355,0.800354959,-0.553931296,0.600236418,0.339891466,0.877376955,1.866872536,-0.183786008,1.930890509,-0.312094528,-0.348346313,0.178963995,0.912066768,-0.052055636,-0.182275498,0.489922318,-0.407228266,-2.298256833,-1.010178241,1.020415977,-0.366403423,-0.283717386,-1.876819937,-1.024785724,-0.326842282,0.555768258,
32.5,-1.10905077,0.970943407,0.575021418,-0.141869139,0.264310494,0.3041129,-0.372807361,0.39092181,-0.553831941,0.478923067,2.083044667,0.409538461,1.454249173,0.329964051,0.034924378,-0.361799617,1.107261361,-0.821567343,0.139140503,0.14980818,0.231279137,-0.590890686,0.297903072,0.872060114,-0.943880418,0.044909604,-2.116009566,-1.316543014,-0.195852531,1.368439384,
33.5,0.388795547,0.932993278,0.840628822,0.255451639,-0.233755411,1.341564793,-0.388439405,-0.355765978,-0.204511622,-0.146261711,1.679917396,0.793312588,0.893709402,0.203366852,0.413069422,-0.226275623,0.347303083,-1.292985142,0.39696828,0.478902554,0.39608997,-0.550234807,-0.155174576,-0.550275177,-0.95642299,-1.662888174,-2.241034476,-1.634275762,-0.06771175,1.062442733,
34.5,1.609158324,1.70935771,0.256590045,-0.597030454,-0.465981182,-0.230345772,0.405220169,-0.316412147,0.651533018,-1.255327086,1.238260083,0.303158785,0.227619879,0.063502314,1.161130742,0.439833571,-0.875664949,-1.08393814,0.734478776,-0.440866273,0.441317221,-0.467042283,-1.19657969,0.951119929,-1.802685109,-2.011193402,-2.451602474,-1.285175039,0.618827247,0.096590431,
35.5,1.567386496,2.668193238,-0.406508447,-0.289427227,-1.049500339,-1.03077674,0.525894544,0.101979041,0.094060504,-1.299464157,0.55205756,0.222993605,-1.137085145,-0.451903187,1.454032099,0.85141734,,-0.748878131,1.203092673,-0.54165779,0.521415409,-0.200732463,-0.952870907,0.710695425,-1.912489813,-2.624245513,-1.173229016,-0.892591501,-0.769651868,0.245837336,
36.5,1.457826855,2.569060069,-0.944889745,-1.240552103,-0.328766425,-0.689172188,0.992103827,-0.122867323,0.226784648,-0.661782912,0.037226895,0.715505984,-0.365881582,0.198540642,1.463933936,-0.530742363,,-0.615106129,0.64911861,-0.275820003,0.879886402,-0.154569007,-0.226399614,-0.224577463,-1.584207228,-1.809033435,0.467578397,-1.275212455,-0.992338083,0.333162869,
37.5,1.840165563,1.873322568,-0.58649227,-0.526042984,-0.373483117,-1.073907203,0.199275598,-0.461731641,0.926497075,-0.734541047,-0.700141435,0.428919662,0.052322317,-0.626461392,1.250480508,-0.111118298,,-0.10662372,0.713134839,-0.278051497,0.337732701,-1.123589134,-0.577575399,-0.247901643,-1.074971214,-2.059693446,0.775029774,-0.4530382,-1.005581982,0.556661812,
38.5,0.988006452,1.674051493,0.015501049,-1.029961282,-0.153182866,-2.031681535,0.314715596,0.21850519,0.441789069,-0.425458934,-0.463905474,-0.354673027,0.420981584,-1.383978735,0.954631744,0.25981637,-0.44098791,0.524468259,-0.302548628,0.4878406,-0.283660021,-0.612085674,0.025420112,-0.16880033,-1.243581793,-1.150325396,0.514609903,-0.487146314,-1.420718882,0.71214336,
39.5,1.057306092,1.286312735,0.372481151,-0.251713031,1.263005219,-1.329138773,-0.740277144,0.061146783,-0.430746519,-0.440746199,-1.017314572,-0.348821743,1.502752689,-0.732801814,-0.033326663,-0.198110226,-0.670172482,1.626440371,0.114102734,0.920142261,-1.203718845,0.497100571,-0.065564221,-0.912036822,-1.277124022,-1.192688396,1.560626458,-1.079825989,-0.637389562,0.301104974,
40.5,0.793891132,0.843266383,1.09144981,0.149971213,1.782916207,-0.407185314,0.226242672,-0.251420771,0.896395385,0.320568114,0.835998458,-0.439704196,2.044044557,-0.642368255,-0.166051337,-0.436902568,-0.68172948,0.794327988,-0.409791028,0.930931154,-1.033608448,0.369344129,-0.13094522,-1.565965689,-1.181263552,-0.594042791,1.501824161,-1.174358407,-0.648702563,0.035979073,
41.5,1.071838425,1.17411031,1.318448358,0.022630691,0.707711767,-0.568269796,-0.267498963,0.016161137,0.349865912,0.218978001,1.415876651,-0.097517307,0.40308289,-1.514728049,-0.16722815,0.089682049,1.043012474,0.502377783,0.254676863,0.812497713,-1.951733394,0.809009346,0.465461953,-0.764104782,-0.733293741,-0.412085662,0.532451911,-1.277964243,-0.96790232,0.086610926,
42.5,0.56431802,1.728553416,0.827899972,-0.494179548,1.224771733,-0.775163854,0.897713638,-0.119947103,-0.338554519,0.457464586,1.018902324,-0.514051189,0.607282564,-1.094711637,-0.068777962,0.37156132,0.323271431,0.015931336,-0.660699953,0.908220426,-1.647858577,0.426478056,-0.129172745,-1.310420888,-1.287521063,0.856047063,0.230437744,-1.985608703,-1.318583807,0.485030658,
43.5,1.637189384,1.228925499,-0.020465223,0.336672535,0.437250533,0.129383222,1.163527021,-0.693934788,0.724536075,0.842129544,0.698132335,-0.785749733,-0.557578894,0.387093449,-0.823621324,0.527777923,-0.218291682,0.224623404,-0.023834788,-0.254254455,-1.316888465,-0.29572147,-0.760978043,-0.85708382,-1.195725266,-0.27787108,0.719677053,-0.959601718,-1.475153384,0.541512561,
44.5,0.948004931,0.771044412,-0.810758205,-0.54559523,0.040577895,0.33059315,1.998241222,0.272755392,0.698393367,1.319477025,1.216692731,-1.507897514,-1.375787153,0.488046845,-0.026594184,0.562979852,-0.714254602,0.066316019,-0.72856882,-0.209720717,-0.521214339,-1.428485593,0.179326167,-1.02009744,-1.189332352,0.033874605,-0.413458786,-0.891854973,-2.437024804,0.761688047,
