bin_left,bin_right,count
-0.5,-0.45,0
-0.45,-0.4,0
-0.4,-0.35000000000000003,0
-0.35000000000000003,-0.30000000000000004,0
-0.30000000000000004,-0.25000000000000006,0
-0.25000000000000006,-0.20000000000000007,0
-0.20000000000000007,-0.15000000000000008,0
-0.15000000000000008,-0.10000000000000009,0
-0.10000000000000009,-0.0500000000000001,32
-0.0500000000000001,-1.1102230246251565e-16,0
-1.1102230246251565e-16,0.04999999999999988,69
0.04999999999999988,0.09999999999999987,20
0.09999999999999987,0.14999999999999986,0
0.14999999999999986,0.19999999999999984,0
0.19999999999999984,0.24999999999999983,0
0.24999999999999983,0.2999999999999998,0
0.2999999999999998,0.3499999999999998,0
0.3499999999999998,0.3999999999999998,0
0.3999999999999998,0.4499999999999998,0
0.4499999999999998,0.4999999999999998,0
