t_center,S,nA,nB,nM,S_null_mean,S_null_sd,z_S_t,S_excess,episode
3.5,0.7272727272727273,10,12,8,0.3110812594508038,0.1648998586481709,2.5239043334167226,0.4161914678219235,0
4.5,0.6153846153846154,12,14,8,0.3349906624381349,0.15671365053261874,1.7892120564705922,0.2803939529464805,0
5.5,0.6,14,16,9,0.35680772925032306,0.15719250928784878,1.5470983436262,0.24319227074967692,0
6.5,0.6875,15,17,11,0.3634836781441836,0.15026069123577576,2.15636118262892,0.3240163218558164,1
7.5,0.6666666666666666,15,15,10,0.36428643157129775,0.15157481026141903,1.9949240548205718,0.3023802350953689,1
8.5,0.6451612903225806,15,16,10,0.3683656170108068,0.1405744864656237,1.9690320788008846,0.27679567331177385,1
9.5,0.7333333333333333,15,15,11,0.3590424415254247,0.13999478355511658,2.673605989472805,0.3742908918079086,1
10.5,0.7142857142857143,13,15,10,0.3446128941908983,0.1461296485293178,2.5297591817628233,0.369672820094816,1
11.5,0.6153846153846154,12,14,8,0.3328907739541643,0.15610665140771815,1.8096207873464398,0.28249384143045114,1
12.5,0.5925925925925926,13,14,8,0.3314392477212993,0.14843766450323026,1.7593468998941986,0.26115334487129327,1
13.5,0.64,13,12,8,0.31609479633464355,0.16103526923447442,2.011392940224394,0.32390520366535647,1
14.5,0.6923076923076923,13,13,9,0.31392844154945176,0.1515601094327515,2.496562269415163,0.3783792507582405,1
15.5,0.7142857142857143,15,13,10,0.32489186633333966,0.15510459634276474,2.5105242341874603,0.38939384795237464,1
16.5,0.6428571428571429,15,13,9,0.32237494146471124,0.15431829678212602,2.0767608771946455,0.32048220139243166,1
17.5,0.6153846153846154,14,12,8,0.30874030233609784,0.16125764414456514,1.901580012998425,0.3066443130485176,1
18.5,0.5384615384615384,13,13,7,0.32696782410713826,0.15092458340326168,1.4013205111144904,0.21149371435440018,1
19.5,0.34782608695652173,10,13,4,0.3297851317023762,0.1399512136087927,0.12890888752544588,0.018040955254145508,0
20.5,0.2857142857142857,9,12,3,0.3174010759078843,0.1511704134806375,-0.20960973423319484,-0.0316867901935986,0
21.5,0.2,7,13,2,0.31527565146387,0.14704813040797174,-0.7839314321375465,-0.11527565146386998,0
22.5,0.2727272727272727,7,15,3,0.3282069191906449,0.1442253157940668,-0.38467342683852535,-0.05547964646337217,0
23.5,0.18181818181818182,7,15,2,0.3225286394713657,0.1424959478398517,-0.9874698879951693,-0.14071045765318385,0
24.5,0.17391304347826086,8,15,2,0.33739510169666453,0.148963883600945,-1.0974610373098956,-0.16348205821840367,0
25.5,0.08695652173913043,8,15,1,0.334463174912188,0.16632245027774564,-1.4881133169920273,-0.2475066531730576,0
26.5,0.08695652173913043,9,14,1,0.33440656613781633,0.16122942395798986,-1.5347697605318107,-0.2474500443986859,0
27.5,0.09090909090909091,9,13,1,0.3357044137896971,0.15860675734069768,-1.5434104257914425,-0.2447953228806062,0
28.5,0.1,8,12,1,0.33025894881983453,0.14886797377461417,-1.54673260461277,-0.23025894881983452,0
29.5,0.09523809523809523,9,12,1,0.3091119019632447,0.15845364330532088,-1.3497563215573443,-0.21387380672514944,0
30.5,0.18181818181818182,9,13,2,0.32313841364004847,0.14900021007137565,-0.9484565944851349,-0.14132023182186665,0
31.5,0.2727272727272727,9,13,3,0.33759013109777003,0.1489502738640251,-0.43546652643089356,-0.06486285837049732,0
32.5,0.2727272727272727,9,13,3,0.33631893826386694,0.14857910121091436,-0.42799872268929096,-0.06359166553659423,0
33.5,0.2857142857142857,9,12,3,0.320768013313967,0.15105064603340304,-0.23206605546016382,-0.035053727599681284,0
34.5,0.35294117647058826,7,10,3,0.3119526971451396,0.14873928273861495,0.2755726568715489,0.040988479325448635,0
35.5,0.375,6,10,3,0.2988938373298678,0.15631452140214416,0.4868783909994958,0.0761061626701322,0
36.5,0.26666666666666666,6,9,2,0.3049253184832098,0.17330708354870436,-0.2207564228371043,-0.03825865181654314,0
37.5,0.26666666666666666,7,8,2,0.30716214466834674,0.1939965169011234,-0.20874332513052232,-0.040495478001680074,0
38.5,0.25,7,9,2,0.32727630752273706,0.1969868095762809,-0.3922917868915111,-0.07727630752273706,0
39.5,0.2222222222222222,9,9,2,0.3272162389722122,0.19865713717643238,-0.5285187244832898,-0.10499401674998998,0
40.5,0.1111111111111111,9,9,1,0.3098521524854948,0.18152147131826837,-1.0948624420629756,-0.1987410413743837,0
41.5,0.125,7,9,1,0.3069317237084568,0.16949147428166547,-1.0733974937648945,-0.18193172370845678,0
42.5,0.0,6,8,0,0.3042218850999137,0.16613530883617525,-1.8311693476303978,-0.3042218850999137,0
43.5,0.0,4,9,0,0.29929642168117404,0.17161247732767884,-1.7440248304888344,-0.29929642168117404,0
44.5,0.0,4,9,0,0.31792252636013574,0.17970312002112718,-1.7691541823133539,-0.31792252636013574,0
45.5,0.0,4,9,0,0.3206883286154924,0.1846673812456774,-1.736572677060145,-0.3206883286154924,0
46.5,0.0,5,8,0,0.3026984392008285,0.18072717680789938,-1.6748916490992178,-0.3026984392008285,0
47.5,0.0,7,9,0,0.3260677617386427,0.16732821873339956,-1.9486716837532314,-0.3260677617386427,0
48.5,0.0,8,8,0,0.2887993021056657,0.16178104919070335,-1.7851244231037002,-0.2887993021056657,0
49.5,0.0,9,8,0,0.30882938271663873,0.18003845467402915,-1.7153523300107945,-0.30882938271663873,0
50.5,0.0,9,8,0,0.31234880857017083,0.18531468083753175,-1.6855049322509525,-0.31234880857017083,0
51.5,0.10526315789473684,10,9,1,0.3332663862330069,0.18830749663245366,-1.2108027158541446,-0.22800322833827008,0
52.5,0.1111111111111111,10,8,1,0.3138240081600695,0.1944838583272472,-1.0423121938884237,-0.2027128970489584,0
