n_A,n_B,n_matched,z_S,p_S,ETR,Max_episode,T_overlap,timeline_csv,file_a,file_b,condition
227,202,67,2.603668729,0.00719928,0.078651685,11,178,out/pair_20170705_01_02_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_01_B.csv,invisible_pair_Human
248,223,56,-0.62483151,0.757724228,0.089585666,13,178.6,out/pair_20170705_01_02_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_02_B.csv,invisible_pair_Human
226,240,66,0.919099764,0.202479752,0.095131505,12,178.7,out/pair_20170705_01_02_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_03_B.csv,invisible_pair_Human
247,261,93,2.853166066,0.00369963,0.195749441,17,178.8,out/pair_20170705_03_04_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_01_B.csv,invisible_pair_Human
290,273,107,2.707076369,0.00639936,0.128779395,15,178.6,out/pair_20170705_03_04_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_02_B.csv,invisible_pair_Human
280,299,121,3.623551247,0.00109989,0.151856018,8,177.8,out/pair_20170705_03_04_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_03_B.csv,invisible_pair_Human
259,267,91,2.041904466,0.02919708,0.11254924,14,177.7,out/pair_20170707_01_02_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_01_B.csv,invisible_pair_Human
254,283,95,1.838643552,0.03239676,0.202078522,19,173.2,out/pair_20170707_01_02_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_02_B.csv,invisible_pair_Human
274,316,96,0.176730586,0.452554745,0.09518477,12,178.6,out/pair_20170707_01_02_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_03_B.csv,invisible_pair_Human
294,216,85,2.356733042,0.01449855,0.078256009,9,178.9,out/pair_20170707_03_04_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_01_B.csv,invisible_pair_Human
293,210,70,0.440066607,0.341365863,0.039171796,4,178.7,out/pair_20170707_03_04_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_02_B.csv,invisible_pair_Human
291,223,77,0.810941416,0.236476352,0.089635854,9,178.5,out/pair_20170707_03_04_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_03_B.csv,invisible_pair_Human
197,181,48,1.574154806,0.074492551,0.061659193,11,178.4,out/pair_20170707_05_06_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_05_06_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_05_06_01_B.csv,invisible_pair_Human
210,191,50,0.994408832,0.184481552,0.067302299,9,178.3,out/pair_20170707_05_06_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_05_06_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_05_06_02_B.csv,invisible_pair_Human
200,202,47,0.357579494,0.392960704,0.062111801,8,177.1,out/pair_20170707_05_06_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_05_06_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_05_06_03_B.csv,invisible_pair_Human
