t_center,S,nA,nB,nM,S_null_mean,S_null_sd,z_S_t,S_excess,episode
3.5,0.8571428571428571,6,8,6,0.22948948453507276,0.17507591378284626,3.5850355371344125,0.6276533726077843,1
4.5,0.8571428571428571,6,8,6,0.23140186986216396,0.172288107363612,3.63194533189731,0.6257409872806932,1
5.5,0.8571428571428571,6,8,6,0.22849793311263897,0.1699262076367723,3.6995171773266735,0.6286449240302181,1
6.5,0.8,6,9,6,0.22813901476060916,0.1614043952758228,3.5430322963766994,0.5718609852393909,1
7.5,0.8571428571428571,6,8,6,0.20709431532519768,0.16481604881066259,3.944085218087119,0.6500485418176594,1
8.5,0.9230769230769231,6,7,6,0.1837612914862915,0.17070205992184276,4.331029349787184,0.7393156315906316,1
9.5,0.8571428571428571,6,8,6,0.20399747180923652,0.16673396484839528,3.9172905528126813,0.6531453853336205,1
10.5,0.75,6,10,6,0.2199703525834331,0.15012731287345693,3.5305344328871824,0.5300296474165669,1
11.5,0.6666666666666666,6,9,5,0.23430934642412968,0.1552310615560151,2.785250038933225,0.4323573202425369,1
12.5,0.5,7,9,4,0.23505272276742864,0.14940044785060508,1.773403500754622,0.2649472772325714,1
13.5,0.5882352941176471,7,10,5,0.25498658301622695,0.15469438610849345,2.154239203403925,0.3332487111014201,1
14.5,0.5,8,8,4,0.22651180029121204,0.16685575851463327,1.6390695900663388,0.27348819970878796,1
15.5,0.42857142857142855,9,5,3,0.1904555833055833,0.17517127438261532,1.3593315805064259,0.23811584526584526,0
16.5,0.3076923076923077,9,4,2,0.18776869796869797,0.17121875847220389,0.7004116300906273,0.11992360972360974,0
17.5,0.3333333333333333,9,3,2,0.15855302475302477,0.16660227699349453,1.0490871537556077,0.17478030858030855,0
18.5,0.0,9,2,0,0.11938831168831168,0.16105904070288699,-0.7412704755180604,-0.11938831168831168,0
19.5,0.0,8,3,0,0.15326919191919192,0.17436702543184843,-0.8790033066148586,-0.15326919191919192,0
20.5,0.0,7,4,0,0.18598301698301697,0.17768494142800315,-1.0467010625004267,-0.18598301698301697,0
21.5,0.0,6,4,0,0.19020352425352424,0.17359975237749423,-1.0956439836384384,-0.19020352425352424,0
22.5,0.16666666666666666,6,6,1,0.23538035298035298,0.17325217137368829,-0.39661082322297425,-0.06871368631368632,0
23.5,0.18181818181818182,5,6,1,0.2309894688644689,0.16947206387990618,-0.29014390879862983,-0.049171287046287065,0
24.5,0.2,4,6,1,0.22793700743700743,0.16876995206729448,-0.16553306494907313,-0.027937007437007416,0
25.5,0.18181818181818182,4,7,1,0.24429998383968973,0.17054594751561677,-0.36636345179522073,-0.06248180202150791,0
26.5,0.15384615384615385,6,7,1,0.23958459759195055,0.17365764476952492,-0.49372110199690383,-0.0857384437457967,0
27.5,0.0,5,6,0,0.21681791819291818,0.18135975309559885,-1.1955128659589018,-0.21681791819291818,0
28.5,0.0,5,7,0,0.21916679594914887,0.17472190247468075,-1.2543750545579637,-0.21916679594914887,0
29.5,0.0,6,6,0,0.22021585636585636,0.17324648342403617,-1.271112994697032,-0.22021585636585636,0
30.5,0.0,6,4,0,0.1735205128205128,0.16643731775211432,-1.0425577338307503,-0.1735205128205128,0
31.5,0.0,5,4,0,0.17350930735930734,0.16179095272719798,-1.072428985889391,-0.17350930735930734,0
32.5,0.0,6,3,0,0.14646026196026196,0.16152146599170272,-0.9067541645999272,-0.14646026196026196,0
33.5,0.0,7,3,0,0.11667489177489178,0.14699289278427533,-0.7937451230796729,-0.11667489177489178,0
34.5,0.18181818181818182,8,3,1,0.14454365079365078,0.16739330845285844,0.22267635050076304,0.037274531024531043,0
35.5,0.16666666666666666,8,4,1,0.18397866022866027,0.16972754851238311,-0.10199872509635968,-0.017311993561993616,0
36.5,0.3333333333333333,8,4,2,0.18789194694194694,0.16290402443467356,0.8928041335756569,0.14544138639138637,0
37.5,0.3333333333333333,6,6,2,0.23084294594294597,0.16410905447347485,0.624526097717253,0.10249038739038735,0
38.5,0.5,6,6,3,0.23645680430680432,0.16986630390185445,1.5514742455658892,0.2635431956931957,0
39.5,0.4,4,6,2,0.23775759795759793,0.1746124954180561,0.9291568833831874,0.1622424020424021,0
40.5,0.6,4,6,3,0.23216018981018982,0.17639307778033653,2.0853415271084703,0.36783981018981016,0
41.5,0.4,4,6,2,0.23057469197469196,0.17682589484288738,0.9581476071468217,0.16942530802530806,0
42.5,0.5,4,4,2,0.18694830169830168,0.18330533895812168,1.7078154956153173,0.3130516983016983,0
43.5,0.3333333333333333,3,3,1,0.1556823953823954,0.17015358271116093,1.0440622825585981,0.17765093795093792,0
44.5,0.3333333333333333,4,2,1,0.11769776334776334,0.1586365095460418,1.3593060677055875,0.21563556998556999,0
45.5,0.0,4,2,0,0.11583210678210676,0.16275413488322066,-0.7116999323256432,-0.11583210678210676,0
46.5,0.0,5,2,0,0.1157638528138528,0.16330562692010422,-0.7088785303796618,-0.1157638528138528,0
47.5,0.2222222222222222,6,3,1,0.1556549506049506,0.17206864325889987,0.3868646277236719,0.0665672716172716,0
48.5,0.2,5,5,1,0.21061964146964146,0.17672260044304985,-0.060092152577076334,-0.01061964146964145,0
49.5,0.18181818181818182,5,6,1,0.22665669053169052,0.17414561288761674,-0.25747710763431525,-0.044838508713508696,0
50.5,0.18181818181818182,5,6,1,0.2277014652014652,0.17871330014062076,-0.25674241003428433,-0.045883283383283374,0
51.5,0.16666666666666666,6,6,1,0.22737534687534688,0.171976737888556,-0.35300518520138774,-0.06070868020868023,0
52.5,0.16666666666666666,5,7,1,0.22617795896913542,0.15690842995796678,-0.3792740282877783,-0.059511292302468766,0
53.5,0.15384615384615385,7,6,1,0.22250895770895773,0.15905638528001992,-0.4316884464708695,-0.06866280386280388,0
54.5,0.2857142857142857,8,6,2,0.22720566655566657,0.16631987555910982,0.3517836876797401,0.05850861915861913,0
55.5,0.3333333333333333,7,5,2,0.20794979464979463,0.16780176474437,0.7472122767871278,0.1253835386835387,0
56.5,0.36363636363636365,7,4,2,0.1841693806193806,0.1706401226014211,1.0517279305769112,0.17946698301698305,0
57.5,0.16666666666666666,8,4,1,0.15407433122433123,0.16190968476533849,0.07777382471336382,0.012592335442335428,0
58.5,0.2,7,3,1,0.14722668997668997,0.17312963896511588,0.30481961574438105,0.05277331002331004,0
59.5,0.0,7,3,0,0.11525836940836941,0.1516581329893636,-0.7599880542934875,-0.11525836940836941,0
60.5,0.0,8,4,0,0.1695253524253524,0.18303059471071437,-0.9262131978169692,-0.1695253524253524,0
61.5,0.0,8,6,0,0.21242327672327674,0.1804624156294707,-1.1771053600403352,-0.21242327672327674,0
