dv,delta,n_sessions,n_dyads,coef,estimate,se_kr,df_kr,t_kr,p_kr,t_crit,ci_lo,ci_hi,ci_profile_lo,ci_profile_hi,ci_text
z_S,0.1,60,20,conditionvisible_pair,0.6706537358933331,0.2776699598052897,17.999999999999993,2.4152909315923665,0.026578607531510437,2.1009220402410382,0.08729079742555679,1.2540166743611094,0.12477231983904445,1.216535066018966,"[0.087, 1.254]"
z_S,0.2,60,20,conditionvisible_pair,0.5355665472923704,0.30851912748715704,18.000000000000092,1.7359265587663275,0.09966262448019952,2.1009220402410373,-0.11260808748133222,1.183741182066073,-0.06677097920262626,1.1379040814452699,"[-0.113, 1.184]"
z_S,0.3,60,20,conditionvisible_pair,0.2537225741195968,0.2901261091856904,17.99999999999998,0.8745251326457003,0.3933516152080503,2.1009220402410382,-0.355809763117998,0.8632549113571917,-0.3127053223436965,0.8201504777842643,"[-0.356, 0.863]"
z_S,0.5,60,20,conditionvisible_pair,0.004523872498208862,0.23908654287531292,18.000000000000064,0.018921485265559788,0.9851119041678054,2.100922040241038,-0.49777831495356994,0.5068260599499876,-0.46367524173786423,0.47272298816001357,"[-0.498, 0.507]"
z_S,1,60,20,conditionvisible_pair,0.3368177106557273,0.2812234227754164,17.999999999999993,1.197687259943167,0.2465730009062828,2.1009220402410382,-0.25401077648516857,0.9276461977966232,-0.2122290329470834,0.8858644612389638,"[-0.254, 0.928]"
STR,0.1,60,20,conditionvisible_pair,0.002129696243415686,0.0072164612359790934,17.99999999999998,0.2951164253190559,0.7712819067044776,2.1009220402410382,-0.013031526219797876,0.017290918706629247,-0.011959366711829705,0.016218759377784414,"[-0.013, 0.017]"
STR,0.2,60,20,conditionvisible_pair,0.0017201644363960412,0.0034087528005981305,18.000000000000036,0.5046316166118604,0.6199393726627653,2.100922040241038,-0.005441359452113935,0.008881688324906017,-0.0049551382498036955,0.008395467142922991,"[-0.005, 0.009]"
STR,0.3,60,20,conditionvisible_pair,0.002118586360754358,0.002327668993962928,18.00000000000005,0.9101751006045748,0.3747576660596068,2.100922040241038,-0.002771664731048041,0.007008837452556756,-0.0024396598455699537,0.00667683256937789,"[-0.003, 0.007]"
STR,0.5,60,20,conditionvisible_pair,0.0017265915051083195,0.0025160317096643713,18.00000000000002,0.6862359875975649,0.5013090834457586,2.100922040241038,-0.003559394967670898,0.0070125779778875364,-0.003200510638273627,0.006653693663493958,"[-0.004, 0.007]"
STR,1,60,20,conditionvisible_pair,0.0040362491126492974,0.002360183671143946,18.00000000000002,1.710141952932412,0.10442061801757811,2.100922040241038,-9.223127810740247e-4,0.00899481100637262,-5.85658465144962e-4,0.008658156704517877,"[-0.001, 0.009]"
Max_episode,0.1,60,20,conditionvisible_pair,0.7666666666666674,0.723588447696548,17.99999999999998,1.0595341441771955,0.30336808952992445,2.1009220402410382,-0.75353625116281,2.2868695844961446,-0.6460317314444036,2.1793650827380904,"[-0.754, 2.287]"
Max_episode,0.2,60,20,conditionvisible_pair,0.2333333333333338,0.49149860755250735,18.000000000000007,0.4747385440118598,0.6406822830335871,2.100922040241038,-0.7992669240215091,1.2659335906881768,-0.7291600380495882,1.1958267076471718,"[-0.799, 1.266]"
Max_episode,0.3,60,20,conditionvisible_pair,0.2666666666666669,0.3724208882536838,18.00000000000002,0.7160357409518346,0.4831560295602565,2.100922040241038,-0.5157605857116421,1.0490939190449757,-0.46264039000682966,0.9959737234782909,"[-0.516, 1.049]"
Max_episode,0.5,60,20,conditionvisible_pair,0.3000000000000002,0.436329166756535,17.999999999999964,0.6875543118743552,0.5004977877382963,2.1009220402410387,-0.6166935632388117,1.216693563238812,-0.5544559929385682,1.154455995540508,"[-0.617, 1.217]"
Max_episode,1,60,20,conditionvisible_pair,0.5000000000000002,0.3431318457991515,18.00000000000002,1.457165827425618,0.16229560452633252,2.100922040241038,-0.22089325754802636,1.2208932575480267,-0.1719492629626475,1.1719492650088215,"[-0.221, 1.221]"
