t_center,t_center_abs,S,S_null_mean,S_null_sd,z_S_t,S_excess,nA,nB,nM,dt,episode
7.5,7.5,0.7692307692307693,0.8370805194805195,0.08843636558104055,-0.7672154978776767,-0.06784975024975026,7.0,6.0,5.0,-0.39999999999999947,0
7.5,7.5,0.7692307692307693,0.8370805194805195,0.08843636558104055,-0.7672154978776767,-0.06784975024975026,7.0,6.0,5.0,-0.09999999999999964,0
7.5,7.5,0.7692307692307693,0.8370805194805195,0.08843636558104055,-0.7672154978776767,-0.06784975024975026,7.0,6.0,5.0,-0.3000000000000007,0
7.5,7.5,0.7692307692307693,0.8370805194805195,0.08843636558104055,-0.7672154978776767,-0.06784975024975026,7.0,6.0,5.0,-0.20000000000000107,0
7.5,7.5,0.7692307692307693,0.8370805194805195,0.08843636558104055,-0.7672154978776767,-0.06784975024975026,7.0,6.0,5.0,-0.3000000000000007,0
8.5,8.5,0.8,0.8483523393273393,0.10204375442931539,-0.47383928196048913,-0.04835233932733929,8.0,7.0,6.0,-0.09999999999999964,0
8.5,8.5,0.8,0.8483523393273393,0.10204375442931539,-0.47383928196048913,-0.04835233932733929,8.0,7.0,6.0,-0.3000000000000007,0
8.5,8.5,0.8,0.8483523393273393,0.10204375442931539,-0.47383928196048913,-0.04835233932733929,8.0,7.0,6.0,-0.20000000000000107,0
8.5,8.5,0.8,0.8483523393273393,0.10204375442931539,-0.47383928196048913,-0.04835233932733929,8.0,7.0,6.0,-0.3000000000000007,0
8.5,8.5,0.8,0.8483523393273393,0.10204375442931539,-0.47383928196048913,-0.04835233932733929,8.0,7.0,6.0,-0.3999999999999986,0
8.5,8.5,0.8,0.8483523393273393,0.10204375442931539,-0.47383928196048913,-0.04835233932733929,8.0,7.0,6.0,-0.40000000000000036,0
9.5,9.5,0.875,0.8223407675657677,0.11141541946893181,0.472638640910169,0.05265923243423232,9.0,7.0,7.0,-0.09999999999999964,0
9.5,9.5,0.875,0.8223407675657677,0.11141541946893181,0.472638640910169,0.05265923243423232,9.0,7.0,7.0,-0.3000000000000007,0
9.5,9.5,0.875,0.8223407675657677,0.11141541946893181,0.472638640910169,0.05265923243423232,9.0,7.0,7.0,-0.20000000000000107,0
9.5,9.5,0.875,0.8223407675657677,0.11141541946893181,0.472638640910169,0.05265923243423232,9.0,7.0,7.0,-0.3000000000000007,0
9.5,9.5,0.875,0.8223407675657677,0.11141541946893181,0.472638640910169,0.05265923243423232,9.0,7.0,7.0,-0.3999999999999986,0
9.5,9.5,0.875,0.8223407675657677,0.11141541946893181,0.472638640910169,0.05265923243423232,9.0,7.0,7.0,-0.40000000000000036,0
9.5,9.5,0.875,0.8223407675657677,0.11141541946893181,0.472638640910169,0.05265923243423232,9.0,7.0,7.0,-0.5,0
10.5,10.5,0.8,0.8244898101898103,0.11078136691567193,-0.22106434386616797,-0.024489810189810224,8.0,7.0,6.0,-0.20000000000000107,0
10.5,10.5,0.8,0.8244898101898103,0.11078136691567193,-0.22106434386616797,-0.024489810189810224,8.0,7.0,6.0,-0.3000000000000007,0
10.5,10.5,0.8,0.8244898101898103,0.11078136691567193,-0.22106434386616797,-0.024489810189810224,8.0,7.0,6.0,-0.3999999999999986,0
10.5,10.5,0.8,0.8244898101898103,0.11078136691567193,-0.22106434386616797,-0.024489810189810224,8.0,7.0,6.0,-0.40000000000000036,0
10.5,10.5,0.8,0.8244898101898103,0.11078136691567193,-0.22106434386616797,-0.024489810189810224,8.0,7.0,6.0,-0.5,0
10.5,10.5,0.8,0.8244898101898103,0.11078136691567193,-0.22106434386616797,-0.024489810189810224,8.0,7.0,6.0,-0.3000000000000007,0
11.5,11.5,0.8,0.8466153180153182,0.10023287554733025,-0.465070145506364,-0.04661531801531815,8.0,7.0,6.0,-0.3000000000000007,0
11.5,11.5,0.8,0.8466153180153182,0.10023287554733025,-0.465070145506364,-0.04661531801531815,8.0,7.0,6.0,-0.3999999999999986,0
11.5,11.5,0.8,0.8466153180153182,0.10023287554733025,-0.465070145506364,-0.04661531801531815,8.0,7.0,6.0,-0.40000000000000036,0
11.5,11.5,0.8,0.8466153180153182,0.10023287554733025,-0.465070145506364,-0.04661531801531815,8.0,7.0,6.0,-0.5,0
11.5,11.5,0.8,0.8466153180153182,0.10023287554733025,-0.465070145506364,-0.04661531801531815,8.0,7.0,6.0,-0.3000000000000007,0
11.5,11.5,0.8,0.8466153180153182,0.10023287554733025,-0.465070145506364,-0.04661531801531815,8.0,7.0,6.0,-0.40000000000000036,0
12.5,12.5,0.7692307692307693,0.81310666000666,0.10147482334097759,-0.4323820365615038,-0.043875890775890714,6.0,7.0,5.0,0.20000000000000107,0
12.5,12.5,0.7692307692307693,0.81310666000666,0.10147482334097759,-0.4323820365615038,-0.043875890775890714,6.0,7.0,5.0,0.09999999999999964,0
12.5,12.5,0.7692307692307693,0.81310666000666,0.10147482334097759,-0.4323820365615038,-0.043875890775890714,6.0,7.0,5.0,0.1999999999999993,0
12.5,12.5,0.7692307692307693,0.81310666000666,0.10147482334097759,-0.4323820365615038,-0.043875890775890714,6.0,7.0,5.0,-0.3000000000000007,0
12.5,12.5,0.7692307692307693,0.81310666000666,0.10147482334097759,-0.4323820365615038,-0.043875890775890714,6.0,7.0,5.0,-0.40000000000000036,0
13.5,13.5,0.6,0.7401753746253746,0.11452999525467107,-1.223918453097619,-0.14017537462537466,5.0,5.0,3.0,0.1999999999999993,0
13.5,13.5,0.6,0.7401753746253746,0.11452999525467107,-1.223918453097619,-0.14017537462537466,5.0,5.0,3.0,-0.3000000000000007,0
13.5,13.5,0.6,0.7401753746253746,0.11452999525467107,-1.223918453097619,-0.14017537462537466,5.0,5.0,3.0,-0.40000000000000036,0
14.5,14.5,0.4444444444444444,0.6118399766899767,0.1344574363364797,-1.244970429353011,-0.16739553224553227,5.0,4.0,2.0,-0.3000000000000007,0
14.5,14.5,0.4444444444444444,0.6118399766899767,0.1344574363364797,-1.244970429353011,-0.16739553224553227,5.0,4.0,2.0,-0.40000000000000036,0
15.5,15.5,0.4444444444444444,0.5928424963924963,0.1144511357666863,-1.2966061975179337,-0.1483980519480519,6.0,3.0,2.0,-0.40000000000000036,0
15.5,15.5,0.4444444444444444,0.5928424963924963,0.1144511357666863,-1.2966061975179337,-0.1483980519480519,6.0,3.0,2.0,-0.29999999999999716,0
16.5,16.5,0.25,0.44242200577200586,0.11125975500063058,-1.729484356413649,-0.19242200577200586,6.0,2.0,1.0,-0.29999999999999716,0
17.5,17.5,0.4444444444444444,0.4466445165945166,0.12431244864192935,-0.017697923048795226,-0.0022000721500721743,7.0,2.0,2.0,-0.29999999999999716,0
17.5,17.5,0.4444444444444444,0.4466445165945166,0.12431244864192935,-0.017697923048795226,-0.0022000721500721743,7.0,2.0,2.0,0.1999999999999993,0
18.5,18.5,0.6,0.5927569264069263,0.11391596063434886,0.06358260556940468,0.0072430735930736345,7.0,3.0,3.0,-0.29999999999999716,0
18.5,18.5,0.6,0.5927569264069263,0.11391596063434886,0.06358260556940468,0.0072430735930736345,7.0,3.0,3.0,0.1999999999999993,0
18.5,18.5,0.6,0.5927569264069263,0.11391596063434886,0.06358260556940468,0.0072430735930736345,7.0,3.0,3.0,0.09999999999999787,0
19.5,19.5,0.6666666666666666,0.7326131146631146,0.1170308728897234,-0.5634961644572919,-0.065946447996448,7.0,5.0,4.0,-0.29999999999999716,0
19.5,19.5,0.6666666666666666,0.7326131146631146,0.1170308728897234,-0.5634961644572919,-0.065946447996448,7.0,5.0,4.0,0.1999999999999993,0
19.5,19.5,0.6666666666666666,0.7326131146631146,0.1170308728897234,-0.5634961644572919,-0.065946447996448,7.0,5.0,4.0,0.09999999999999787,0
19.5,19.5,0.6666666666666666,0.7326131146631146,0.1170308728897234,-0.5634961644572919,-0.065946447996448,7.0,5.0,4.0,0.1999999999999993,0
20.5,20.5,0.7692307692307693,0.7276438117438118,0.13303070982436585,0.31261170854355963,0.04158695748695751,7.0,6.0,5.0,0.1999999999999993,0
20.5,20.5,0.7692307692307693,0.7276438117438118,0.13303070982436585,0.31261170854355963,0.04158695748695751,7.0,6.0,5.0,0.09999999999999787,0
20.5,20.5,0.7692307692307693,0.7276438117438118,0.13303070982436585,0.31261170854355963,0.04158695748695751,7.0,6.0,5.0,0.1999999999999993,0
20.5,20.5,0.7692307692307693,0.7276438117438118,0.13303070982436585,0.31261170854355963,0.04158695748695751,7.0,6.0,5.0,-0.29999999999999716,0
20.5,20.5,0.7692307692307693,0.7276438117438118,0.13303070982436585,0.31261170854355963,0.04158695748695751,7.0,6.0,5.0,-0.1999999999999993,0
21.5,21.5,0.875,0.792872533349004,0.11635637896291899,0.7058269377493158,0.08212746665099602,8.0,8.0,7.0,0.1999999999999993,0
21.5,21.5,0.875,0.792872533349004,0.11635637896291899,0.7058269377493158,0.08212746665099602,8.0,8.0,7.0,0.09999999999999787,0
21.5,21.5,0.875,0.792872533349004,0.11635637896291899,0.7058269377493158,0.08212746665099602,8.0,8.0,7.0,0.1999999999999993,0
21.5,21.5,0.875,0.792872533349004,0.11635637896291899,0.7058269377493158,0.08212746665099602,8.0,8.0,7.0,-0.29999999999999716,0
21.5,21.5,0.875,0.792872533349004,0.11635637896291899,0.7058269377493158,0.08212746665099602,8.0,8.0,7.0,-0.1999999999999993,0
21.5,21.5,0.875,0.792872533349004,0.11635637896291899,0.7058269377493158,0.08212746665099602,8.0,8.0,7.0,0.0,0
21.5,21.5,0.875,0.792872533349004,0.11635637896291899,0.7058269377493158,0.08212746665099602,8.0,8.0,7.0,0.0,0
22.5,22.5,0.9333333333333333,0.8155242571154336,0.11745053061561625,1.0030527371856401,0.11780907621789971,7.0,8.0,7.0,0.09999999999999787,0
22.5,22.5,0.9333333333333333,0.8155242571154336,0.11745053061561625,1.0030527371856401,0.11780907621789971,7.0,8.0,7.0,0.1999999999999993,0
22.5,22.5,0.9333333333333333,0.8155242571154336,0.11745053061561625,1.0030527371856401,0.11780907621789971,7.0,8.0,7.0,-0.29999999999999716,0
22.5,22.5,0.9333333333333333,0.8155242571154336,0.11745053061561625,1.0030527371856401,0.11780907621789971,7.0,8.0,7.0,-0.1999999999999993,0
22.5,22.5,0.9333333333333333,0.8155242571154336,0.11745053061561625,1.0030527371856401,0.11780907621789971,7.0,8.0,7.0,0.0,0
22.5,22.5,0.9333333333333333,0.8155242571154336,0.11745053061561625,1.0030527371856401,0.11780907621789971,7.0,8.0,7.0,0.0,0
22.5,22.5,0.9333333333333333,0.8155242571154336,0.11745053061561625,1.0030527371856401,0.11780907621789971,7.0,8.0,7.0,-0.10000000000000142,0
23.5,23.5,0.8571428571428571,0.7719955764823412,0.12201064440018271,0.6978676416234747,0.08514728066051591,6.0,8.0,6.0,0.1999999999999993,0
23.5,23.5,0.8571428571428571,0.7719955764823412,0.12201064440018271,0.6978676416234747,0.08514728066051591,6.0,8.0,6.0,-0.29999999999999716,0
23.5,23.5,0.8571428571428571,0.7719955764823412,0.12201064440018271,0.6978676416234747,0.08514728066051591,6.0,8.0,6.0,-0.1999999999999993,0
23.5,23.5,0.8571428571428571,0.7719955764823412,0.12201064440018271,0.6978676416234747,0.08514728066051591,6.0,8.0,6.0,0.0,0
23.5,23.5,0.8571428571428571,0.7719955764823412,0.12201064440018271,0.6978676416234747,0.08514728066051591,6.0,8.0,6.0,0.0,0
23.5,23.5,0.8571428571428571,0.7719955764823412,0.12201064440018271,0.6978676416234747,0.08514728066051591,6.0,8.0,6.0,-0.10000000000000142,0
24.5,24.5,0.7692307692307693,0.7875168914418914,0.10886301505580603,-0.16797368878446173,-0.018286122211122136,6.0,7.0,5.0,-0.29999999999999716,0
24.5,24.5,0.7692307692307693,0.7875168914418914,0.10886301505580603,-0.16797368878446173,-0.018286122211122136,6.0,7.0,5.0,-0.1999999999999993,0
24.5,24.5,0.7692307692307693,0.7875168914418914,0.10886301505580603,-0.16797368878446173,-0.018286122211122136,6.0,7.0,5.0,0.0,0
