bin,t_center,mean,q025,q975,sigpos,signeg
1,6.5,0.0988083109892915,-0.10296505,0.34843015,0,0
2,7.5,0.094108979493059,-0.092298395,0.30839085,0,0
3,8.5,0.09415564515411,-0.0847008625,0.301559475,0,0
4,9.5,0.092986583889045,-0.0785962575,0.293128075,0,0
5,10.5,0.089437866675455,-0.0797180625,0.28082055,0,0
6,11.5,0.082494201912594,-0.08340554,0.2650691,0,0
7,12.5,0.0763435805426049,-0.0871439925,0.247987175,0,0
8,13.5,0.0700575698820435,-0.0910521425,0.2343756,0,0
9,14.5,0.0653445562684081,-0.095401165,0.223258175,0,0
10,15.5,0.0611087222273035,-0.100835425,0.214129575,0,0
11,16.5,0.0588526644592113,-0.10252525,0.2109703,0,0
12,17.5,0.060184016588628,-0.10091695,0.212455799999999,0,0
13,18.5,0.0654876620578895,-0.09070295,0.218511825,0,0
14,19.5,0.068730006818305,-0.0845513775,0.223035675,0,0
15,20.5,0.0721294264649435,-0.07895743,0.228266775,0,0
16,21.5,0.077116054307215,-0.0734346025,0.23820785,0,0
17,22.5,0.0811170095152154,-0.069807705,0.245824725,0,0
18,23.5,0.0823856473414335,-0.069603505,0.247735875,0,0
19,24.5,0.08200424936495,-0.069759935,0.251041875,0,0
20,25.5,0.081501639350109,-0.0714310725,0.2537252,0,0
21,26.5,0.078575836966515,-0.075225905,0.250923,0,0
22,27.5,0.069911143994716,-0.088119795,0.241012725,0,0
23,28.5,0.056393116890864,-0.109649075,0.2253405,0,0
24,29.5,0.0415121081807125,-0.131418225,0.2083548,0,0
25,30.5,0.028583976084385,-0.14564185,0.191060675,0,0
26,31.5,0.017952539183136,-0.157495425,0.180325425,0,0
27,32.5,0.008804160426494,-0.1693531,0.170912775,0,0
28,33.5,-0.0019383764134435,-0.182278375,0.162817625,0,0
29,34.5,-0.0156923516990415,-0.2010439,0.148206099999999,0,0
30,35.5,-0.0259537186612005,-0.211873925,0.137299975,0,0
31,36.5,-0.030772871136346,-0.2176936,0.13393875,0,0
32,37.5,-0.0359504262977103,-0.226558425,0.13143605,0,0
33,38.5,-0.041079538256767,-0.232673575,0.128867625,0,0
34,39.5,-0.04325652351777,-0.23590575,0.12884525,0,0
35,40.5,-0.044460851676985,-0.234551,0.1273567,0,0
36,41.5,-0.046502169702203,-0.240573025,0.127778199999999,0,0
37,42.5,-0.0464417918552263,-0.241181325,0.128113525,0,0
38,43.5,-0.0460469361826115,-0.243303925,0.129428625,0,0
39,44.5,-0.04640160421558,-0.24726445,0.129520425,0,0
40,45.5,-0.043799782342585,-0.247395,0.132415975,0,0
41,46.5,-0.0403639863955105,-0.245427275,0.135489299999999,0,0
42,47.5,-0.0300431809433331,-0.238232175,0.149863625,0,0
43,48.5,-0.008282211136707,-0.221722475,0.17954525,0,0
44,49.5,0.029406210960147,-0.18029635,0.2235648,0,0
45,50.5,0.0620314475453035,-0.13285555,0.250770275,0,0
46,51.5,0.0815360514329255,-0.097757545,0.26102835,0,0
47,52.5,0.0939458946960895,-0.072037565,0.26860395,0,0
48,53.5,0.101740880587738,-0.057987635,0.273147975,0,0
49,54.5,0.108597163688819,-0.0430245675,0.278563775,0,0
50,55.5,0.112217439545291,-0.0372168275,0.28068605,0,0
51,56.5,0.113322770889315,-0.0355239575,0.28047405,0,0
52,57.5,0.11121574023373999,-0.03654718,0.2724386,0,0
53,58.5,0.107623205950432,-0.039690805,0.26432915,0,0
54,59.5,0.104308512361075,-0.0449959525,0.256840875,0,0
55,60.5,0.101056740603345,-0.050384235,0.2505484,0,0
56,61.5,0.100897785483987,-0.0512609475,0.248279125,0,0
57,62.5,0.10190938415619,-0.051086015,0.249113325,0,0
58,63.5,0.108031011809845,-0.0436732225,0.255828475,0,0
59,64.5,0.114919152270545,-0.03421265,0.26637905,0,0
60,65.5,0.123263655882411,-0.0232674075,0.2781711,0,0
61,66.5,0.1274507875967,-0.0188077925,0.282931325,0,0
62,67.5,0.131938118274958,-0.01420692,0.288961725,0,0
63,68.5,0.137218916275985,-0.00703760275,0.29773515,0,0
64,69.5,0.14099284526571,-0.00385523725,0.30244655,0,0
65,70.5,0.14267878044557,-0.00251572675,0.30498925,0,0
66,71.5,0.143182537277595,-0.0017859755,0.30509275,0,0
67,72.5,0.140719484899935,-0.00534440225,0.300668274999999,0,0
68,73.5,0.136111545972914,-0.0108732775,0.291897949999999,0,0
69,74.5,0.1347767594276,-0.0133840775,0.2895393,0,0
70,75.5,0.13563483339222,-0.0120601275,0.290845675,0,0
71,76.5,0.137460012996579,-0.0114072975,0.29535455,0,0
72,77.5,0.142160970550068,-0.008344174,0.305479825,0,0
73,78.5,0.154900745137775,0.00303993225,0.3372023,1,0
74,79.5,0.16376675617735,0.009206679,0.358513525,1,0
75,80.5,0.168549797990357,0.0122462875,0.366414824999999,1,0
76,81.5,0.171989535162375,0.012649025,0.375284,1,0
77,82.5,0.171048248456835,0.01123773,0.3748199,1,0
78,83.5,0.16644508096001,0.00698759175,0.367179249999999,1,0
79,84.5,0.159445333555085,6.38031125e-4,0.35922255,1,0
80,85.5,0.151130282652875,-0.00910975225,0.349466575,0,0
81,86.5,0.13929693477008,-0.0223913,0.3353096,0,0
82,87.5,0.120834948085838,-0.0467835675,0.311159075,0,0
83,88.5,0.11037857676533,-0.0599737875,0.30090095,0,0
84,89.5,0.0819583077072795,-0.100011925,0.259916274999999,0,0
85,90.5,0.06126615518198,-0.122202475,0.2249551,0,0
86,91.5,0.048695300758719,-0.1370908,0.204936725,0,0
87,92.5,0.042402114156185,-0.1428591,0.196193775,0,0
88,93.5,0.041944342229617,-0.139407725,0.19355945,0,0
89,94.5,0.044386352780167,-0.129345475,0.194186275,0,0
90,95.5,0.0456337077642725,-0.1239756,0.19255385,0,0
91,96.5,0.0470462988171755,-0.119710425,0.194241375,0,0
92,97.5,0.0470964697964845,-0.11926625,0.1944937,0,0
93,98.5,0.045533968625842997,-0.1205571,0.192144,0,0
94,99.5,0.0414705030920195,-0.125967725,0.18787865,0,0
95,100.5,0.0389521049931405,-0.132751175,0.184711875,0,0
96,101.5,0.038067039181895,-0.13388975,0.18488635,0,0
97,102.5,0.039071760562361,-0.1320003,0.1858113,0,0
98,103.5,0.0419316660811355,-0.128509,0.188566,0,0
99,104.5,0.0476721109060765,-0.1200242,0.19379005,0,0
100,105.5,0.05317434908265,-0.1138479,0.200741575,0,0
101,106.5,0.06260393569035,-0.10120895,0.2136017,0,0
102,107.5,0.0705734212301895,-0.0874023875,0.224114275,0,0
103,108.5,0.0750658212590255,-0.083068495,0.231012725,0,0
104,109.5,0.084587703616615,-0.072911315,0.24831615,0,0
105,110.5,0.099687935518138,-0.0517162925,0.284365275,0,0
106,111.5,0.11099306280419,-0.03791437,0.31278805,0,0
107,112.5,0.118294326413102,-0.032748075,0.331708425,0,0
108,113.5,0.12179127510244,-0.03094293,0.34249655,0,0
109,114.5,0.119236422948615,-0.0335137425,0.338621874999999,0,0
110,115.5,0.10707273626083,-0.04621868,0.306881275,0,0
111,116.5,0.086999452118136,-0.07620005,0.2507819,0,0
112,117.5,0.0741462685565065,-0.096436795,0.223371175,0,0
113,118.5,0.0681301968903785,-0.107820625,0.213141275,0,0
114,119.5,0.0675715156976305,-0.106090575,0.211151925,0,0
115,120.5,0.071494275058225,-0.0931083775,0.215066975,0,0
116,121.5,0.078830227125313,-0.071710955,0.22225075,0,0
117,122.5,0.083183370431564,-0.06075115,0.2272861,0,0
118,123.5,0.0865674826888065,-0.05517409,0.232830425,0,0
119,124.5,0.089301620887903,-0.04902486,0.235996925,0,0
120,125.5,0.090227262534185,-0.0480021775,0.237183775,0,0
121,126.5,0.0895035220145335,-0.0479922925,0.2329421,0,0
122,127.5,0.08951633903296,-0.0481748325,0.232688675,0,0
123,128.5,0.0876716929869,-0.05055922,0.229448175,0,0
124,129.5,0.08610268864095,-0.05185345,0.225399225,0,0
125,130.5,0.084928764773619,-0.053628445,0.222695975,0,0
126,131.5,0.08433424026416,-0.0541481525,0.223708225,0,0
127,132.5,0.08275979114201,-0.0568834075,0.2205753,0,0
128,133.5,0.081016948704645,-0.061764785,0.221107125,0,0
129,134.5,0.07778300685418,-0.0648153075,0.21616845,0,0
130,135.5,0.073696785563955,-0.073401815,0.21181235,0,0
131,136.5,0.0699758782550156,-0.08153992,0.206983825,0,0
132,137.5,0.06719245364217,-0.0878369275,0.203458475,0,0
133,138.5,0.0666009559040145,-0.0890174675,0.2034656,0,0
134,139.5,0.068576824891846,-0.085061825,0.2053727,0,0
135,140.5,0.0714730394238605,-0.0792599075,0.208482575,0,0
136,141.5,0.07525343777712,-0.0714535,0.21435305,0,0
137,142.5,0.0790950501764735,-0.065689505,0.217923425,0,0
138,143.5,0.082352466027725,-0.06388585,0.2227984,0,0
139,144.5,0.086463967455387,-0.0582682725,0.2280728,0,0
140,145.5,0.09074437156874,-0.05152761,0.233994925,0,0
141,146.5,0.0941990902144765,-0.0466385825,0.238985,0,0
142,147.5,0.097306439533773,-0.0422744325,0.24633855,0,0
143,148.5,0.0995429847477015,-0.039604795,0.249204025,0,0
144,149.5,0.099977845128555,-0.040449825,0.249487325,0,0
145,150.5,0.100786096524773,-0.0416147175,0.25131815,0,0
146,151.5,0.10309720595072,-0.039042975,0.254221225,0,0
147,152.5,0.10629676001622,-0.036124405,0.259645825,0,0
148,153.5,0.110000345017658,-0.032873225,0.268521975,0,0
