bin,t_center,mean,q025,q975,sigpos,signeg
1,6.5,-0.125184636200215,-0.29079565,0.102088875,0,0
2,7.5,-0.12761344603696,-0.28386955,0.085604865,0,0
3,8.5,-0.126051496237066,-0.274583675,0.0830858799999999,0,0
4,9.5,-0.125542418041994,-0.269478475,0.0811746074999993,0,0
5,10.5,-0.127846881746761,-0.268847075,0.0765241824999999,0,0
6,11.5,-0.135767686090065,-0.273829425,0.0541836075,0,0
7,12.5,-0.152789204406895,-0.289518525,-0.00895297550000016,0,1
8,13.5,-0.156618509222866,-0.289183975,-0.021102245,0,1
9,14.5,-0.15912590820773,-0.2886848,-0.0278728225000006,0,1
10,15.5,-0.16068219632715,-0.288989475,-0.0332295675000003,0,1
11,16.5,-0.160707069632075,-0.2870573,-0.0345172525000004,0,1
12,17.5,-0.15851128948154,-0.2832038,-0.0310210475000006,0,1
13,18.5,-0.1542909581378,-0.275368725,-0.0257646025,0,1
14,19.5,-0.151465478001065,-0.2702844,-0.0208024650000003,0,1
15,20.5,-0.1488455906809,-0.2660249,-0.0148249000000002,0,1
16,21.5,-0.14587533005189,-0.262032775,-0.00689278125000003,0,1
17,22.5,-0.143452534119375,-0.25850115,9.9779214999972e-4,0,0
18,23.5,-0.143775893309795,-0.2600029,0.00366677074999993,0,0
19,24.5,-0.147715370858893,-0.263941475,-0.00409864325000024,0,1
20,25.5,-0.1549020950414,-0.27381905,-0.0155332975,0,1
21,26.5,-0.161611625464697,-0.2839065,-0.0292446075000006,0,1
22,27.5,-0.17381888326765,-0.302118425,-0.0526836025000001,0,1
23,28.5,-0.18122998570155,-0.313386725,-0.0651122825000002,0,1
24,29.5,-0.18522438384075,-0.3171244,-0.0704558325,0,1
25,30.5,-0.1880424687165,-0.321087025,-0.0754804750000001,0,1
26,31.5,-0.1898115872195,-0.3206321,-0.0791248425000001,0,1
27,32.5,-0.1905581843925,-0.3177791,-0.0807751275000002,0,1
28,33.5,-0.1908648132415,-0.3187139,-0.0806954500000002,0,1
29,34.5,-0.190984852683,-0.31727435,-0.0818544125000001,0,1
30,35.5,-0.1906760390575,-0.31553835,-0.0825341425000002,0,1
31,36.5,-0.190129487902,-0.31464915,-0.082567805,0,1
32,37.5,-0.18916193961445,-0.312791025,-0.0811865375000001,0,1
33,38.5,-0.18946963556,-0.31495375,-0.0811263925000003,0,1
34,39.5,-0.188963158732435,-0.3142284,-0.0798513325000001,0,1
35,40.5,-0.18940395130565,-0.3171799,-0.0798980150000003,0,1
36,41.5,-0.189750152500205,-0.319878525,-0.0799193275,0,1
37,42.5,-0.18804461254455,-0.32041265,-0.0765876075000001,0,1
38,43.5,-0.18584525585845,-0.3195321,-0.0724980400000001,0,1
39,44.5,-0.181133168619,-0.3141654,-0.0640810400000001,0,1
40,45.5,-0.1682202847801,-0.293509675,-0.0386357175000002,0,1
41,46.5,-0.158622157408106,-0.281131075,-0.0193890300000001,0,1
42,47.5,-0.150112542050155,-0.268898775,-0.00431767275000012,0,1
43,48.5,-0.145060555659985,-0.262727925,0.00397597274999957,0,0
44,49.5,-0.14223576816596,-0.2605417,0.00657706049999991,0,0
45,50.5,-0.140754801045656,-0.259302925,0.00954845649999986,0,0
46,51.5,-0.14258725735695,-0.2615251,0.00261860949999989,0,0
47,52.5,-0.145186075481695,-0.2645793,-0.00262048300000002,0,1
48,53.5,-0.150423176166155,-0.273408275,-0.0141927625000004,0,1
49,54.5,-0.15430885823189,-0.281059275,-0.0223039250000001,0,1
50,55.5,-0.15784157664095,-0.287376025,-0.0257379850000002,0,1
51,56.5,-0.1602641469236,-0.29317175,-0.0279481125,0,1
52,57.5,-0.16389410906195,-0.3002189,-0.0311266,0,1
53,58.5,-0.166830112301935,-0.31029405,-0.0314533625,0,1
54,59.5,-0.168695230464,-0.3156838,-0.0298588650000002,0,1
