bin,t_center,mean,q025,q975,sigpos,signeg
85,90.5,0.11267841092931,-0.07145415,0.323590275,0,0
86,91.5,0.08238420645116,-0.09120343,0.26204665,0,0
87,92.5,0.06637566098565,-0.099456205,0.2259165,0,0
88,93.5,0.059277254151625,-0.101483275,0.209262825,0,0
89,94.5,0.0556069260476616,-0.1002076,0.2002217,0,0
90,95.5,0.0544364185457395,-0.098112635,0.1951122,0,0
91,96.5,0.0541710184394185,-0.096077205,0.19430295,0,0
92,97.5,0.0537391970998455,-0.095755675,0.191672175,0,0
93,98.5,0.055439661455055,-0.08986127,0.191491175,0,0
94,99.5,0.0568457910838465,-0.085911555,0.1904436,0,0
95,100.5,0.0579604727932925,-0.083119395,0.190823725,0,0
96,101.5,0.058111600250377,-0.0814612975,0.189353025,0,0
97,102.5,0.0588866233454,-0.07983423,0.189902625,0,0
98,103.5,0.058939148901396,-0.0794590025,0.189697725,0,0
99,104.5,0.061668239772303,-0.0757095075,0.192781025,0,0
100,105.5,0.06219291975259,-0.0743719425,0.19238715,0,0
101,106.5,0.0642904945729955,-0.0703409175,0.195418375,0,0
102,107.5,0.066356419444807,-0.068859945,0.200189475,0,0
103,108.5,0.0658395873705288,-0.0698204825,0.198187075,0,0
104,109.5,0.0672528020985452,-0.069515745,0.202277,0,0
105,110.5,0.069032590934205,-0.0699244875,0.205210275,0,0
106,111.5,0.06944228525981,-0.0717678075,0.208327,0,0
107,112.5,0.070065510521729,-0.071844245,0.21278945,0,0
108,113.5,0.069400674127391,-0.0770697675,0.21549615,0,0
109,114.5,0.0627479011379886,-0.09224781,0.211770775,0,0
110,115.5,0.045566181086686,-0.143280075,0.1942979,0,0
111,116.5,0.024124867211305,-0.2046006,0.1802972,0,0
112,117.5,0.01320522010002,-0.234463275,0.173024675,0,0
113,118.5,0.01002776370773,-0.242511775,0.173880125,0,0
114,119.5,0.0180551374589995,-0.23776255,0.18841345,0,0
115,120.5,0.06233754465186,-0.183298125,0.26955485,0,0
116,121.5,0.119493375033205,-0.0785534125,0.337090175,0,0
117,122.5,0.143683827791479,-0.0318405225,0.352411624999999,0,0
118,123.5,0.16322737391856,7.334495e-4,0.369799025,1,0
119,124.5,0.170061838030345,0.0141533375,0.372592,1,0
120,125.5,0.16958456491061,0.0179069725,0.3662337,1,0
121,126.5,0.16416760252586,0.01585936,0.351889474999999,1,0
122,127.5,0.157304988311185,0.01278147,0.33798505,1,0
123,128.5,0.150981033800065,0.00691393925,0.3251514,1,0
124,129.5,0.145556368231176,0.00371438325000001,0.316665775,1,0
125,130.5,0.14083665013602,-0.00173616525,0.3119142,0,0
126,131.5,0.13608879407373,-0.005631585,0.30665145,0,0
127,132.5,0.128941868185927,-0.0120503625,0.301549175,0,0
128,133.5,0.116909615204224,-0.0256275,0.28948925,0,0
129,134.5,0.09406095150784,-0.0600379925,0.2454891,0,0
130,135.5,0.0821180439284955,-0.0691933725,0.2280458,0,0
131,136.5,0.0752205033353502,-0.07460784,0.213153525,0,0
132,137.5,0.070897590855325,-0.0777960775,0.20423715,0,0
133,138.5,0.069980641158887,-0.073924435,0.20205955,0,0
134,139.5,0.07239522743909,-0.06500381,0.2051122,0,0
135,140.5,0.072156918014535,-0.0640852825,0.204318475,0,0
136,141.5,0.071118834157473,-0.06404016,0.204393325,0,0
137,142.5,0.0695678899660007,-0.0653173425,0.200921125,0,0
138,143.5,0.067198340693212,-0.0650058575,0.197064575,0,0
139,144.5,0.0666133104226692,-0.0655946725,0.196472,0,0
140,145.5,0.0677828707139735,-0.0631115125,0.1996024,0,0
141,146.5,0.0684827278742315,-0.06115437,0.2020833,0,0
142,147.5,0.0688491118835765,-0.0600405575,0.2035453,0,0
143,148.5,0.0672806697751519,-0.06240664,0.20122805,0,0
144,149.5,0.063768470900175,-0.0674729525,0.195639175,0,0
145,150.5,0.0581857075998089,-0.0758394925,0.187232975,0,0
146,151.5,0.0561074486203045,-0.08028703,0.185846425,0,0
147,152.5,0.0560557168083855,-0.079531245,0.1844792,0,0
148,153.5,0.0559523849724595,-0.0793408125,0.18464645,0,0
149,154.5,0.0600942534691995,-0.07286721,0.1930303,0,0
150,155.5,0.0633462453996605,-0.0663252975,0.20213115,0,0
151,156.5,0.0666753244224515,-0.06215201,0.206507275,0,0
152,157.5,0.0652158666903995,-0.0654210375,0.207433175,0,0
153,158.5,0.0616856909954177,-0.07263113,0.203301975,0,0
154,159.5,0.053292870404815,-0.0845647775,0.193892625,0,0
155,160.5,0.0422116363140473,-0.10227545,0.177386825,0,0
156,161.5,0.0354615277429235,-0.110125,0.169112025,0,0
157,162.5,0.031226726593025,-0.115817,0.165076075,0,0
158,163.5,0.028081645926377,-0.1196691,0.16120935,0,0
159,164.5,0.028269260147831,-0.117265675,0.162055775,0,0
160,165.5,0.0281545083206465,-0.11716805,0.164300675,0,0
161,166.5,0.0244635496567545,-0.12282525,0.16061595,0,0
162,167.5,0.0209069866422005,-0.128606375,0.1570677,0,0
163,168.5,0.0179410933886925,-0.133190525,0.1574588,0,0
164,169.5,0.01416627159566,-0.1402803,0.1551963,0,0
165,170.5,0.012423075039476,-0.144640975,0.154434725,0,0
166,171.5,0.01027071466908,-0.14971605,0.15522255,0,0
167,172.5,0.00566830801262665,-0.16004705,0.154731575,0,0
168,173.5,0.00645891307935745,-0.161840075,0.15994215,0,0
169,174.5,0.007685687773001,-0.165555375,0.16837045,0,0
170,175.5,0.0068555857843235,-0.176754525,0.17493235,0,0
171,176.5,0.0042036170113755,-0.193566,0.18084745,0,0
