pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S_obs,null_mean_shiftA,null_sd_shiftA,null_skew_shiftA,z_S_shiftA,p_right_shiftA,p_left_shiftA,null_mean_shiftB,null_sd_shiftB,null_skew_shiftB,z_S_shiftB,p_right_shiftB,p_left_shiftB,ks_AB,null_mean_shiftA_ref,null_sd_shiftA_ref,null_skew_shiftA_ref,z_S_shiftA_ref,p_right_shiftA_ref,p_left_shiftA_ref
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,10.0,15,11,1,4.0,0.3076923076923077,0.3597461538461539,0.1296527267852008,-0.2911410140594743,-0.4014867056370142,0.7764223577642235,0.4464553544645535,0.3730384615384615,0.1312872329629936,-0.3166982767985411,-0.4977342607607031,0.7992200779922007,0.4077592240775922,0.0395999999999999,0.3592076923076923,0.1307260272313503,-0.275042909894362,-0.394071369767981,0.7659234076592341,0.4477552244775522
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,44,1,20.0,0.404040404040404,0.3625898989898989,0.0624810088313031,0.2397156074516546,0.6634096636054676,0.2928707129287071,0.7961203879612039,0.3619838383838384,0.0623986178202564,0.1416805937191549,0.6739983532602029,0.2960703929607039,0.7951204879512048,0.0047,0.3623393939393939,0.06154825388782,0.1762972559284852,0.6775336011483905,0.2905709429057094,0.7972202779722027
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,119.0,140,133,1,54.0,0.3956043956043956,0.3403809523809524,0.0393616241192036,0.0144067097546736,1.4029767434444071,0.090990900909909,0.934006599340066,0.3408871794871795,0.04017127090174,-0.0034714281225624,1.362098208220889,0.1007899210078992,0.9246075392460754,0.013,0.339843956043956,0.039340656611892,-0.0319245785122402,1.4173743999886388,0.0900909909009099,0.9376062393760624
20170705_01_02_02,invisible,0.1,P1,0.0,20.0,12.8,18,16,1,5.0,0.2941176470588235,0.3788588235294117,0.101537822515773,-0.0206032734578183,-0.8345774448474548,0.8285171482851715,0.2667733226677332,0.3732823529411765,0.1035516729613674,-0.0153036363390414,-0.7644947070231046,0.8297170282971703,0.2994700529947005,0.0327,0.3795588235294118,0.1012660361774096,-0.0088014597646736,-0.8437298396957343,0.8346165383461653,0.2577742225777422
20170705_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,54,42,1,13.0,0.2708333333333333,0.35546875,0.0616260731991704,-0.0309876673550113,-1.3733702680216515,0.946905309469053,0.1125887411258874,0.354575,0.0623474229673578,0.0057558310532423,-1.3431455973811426,0.9455054494550544,0.1145885411458854,0.0091999999999999,0.3548125,0.0617915357096808,0.0029718937837601,-1.3590723341337791,0.9492050794920508,0.1138886111388861
20170705_01_02_02,invisible,0.1,P3,60.0,180.0,119.6,151,149,1,41.0,0.2733333333333333,0.3759933333333333,0.0412749222454153,0.1006228030340115,-2.4872245522256105,0.9962003799620038,0.0067993200679932,0.374838,0.0419901187543843,0.101695279936166,-2.4173465014568025,0.996000399960004,0.0080991900809919,0.0206999999999999,0.3763026666666667,0.0410875581393503,0.1028211873124839,-2.5060952267863685,0.996000399960004,0.0062993700629937
20170705_01_02_03,invisible,0.1,P1,0.0,20.0,14.0,19,18,1,9.0,0.4864864864864865,0.3898216216216216,0.1021269791270502,0.0013290118952312,0.9465164415037652,0.2432756724327567,0.8892110788921108,0.3813837837837838,0.0995159590515083,0.0301245807010568,1.056139173097881,0.1986801319868013,0.9134086591340866,0.0445999999999999,0.389745945945946,0.1003429984928384,0.013310788654723,0.964098561868718,0.2335766423357664,0.893010698930107
20170705_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,44,58,1,17.0,0.3333333333333333,0.3755549019607843,0.0751066557710601,0.0649219151564359,-0.5621548209542256,0.7359264073592641,0.3447655234476552,0.3762725490196078,0.0756916795865804,0.0330771726546121,-0.5672910935627767,0.7390260973902609,0.3442655734426557,0.0128,0.3752921568627451,0.0752650102289244,0.0453132918584368,-0.5574811376732791,0.7383261673832616,0.3430656934306569
20170705_01_02_03,invisible,0.1,P3,60.0,180.0,119.7,144,150,1,52.0,0.3537414965986394,0.3674578231292517,0.0371143214068517,-0.0023782708712452,-0.3695696434875424,0.6655334466553344,0.3988601139886011,0.3680428571428571,0.0374970484884721,-0.0075852672103171,-0.3813996333235246,0.672932706729327,0.3912608739126087,0.0116,0.3671863945578231,0.037009555495033,0.0049717856903635,-0.3632818005876368,0.6648335166483351,0.4016598340165983
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,16.8,22,23,1,14.0,0.6222222222222222,0.3838088888888888,0.0837508427560077,0.147440448527293,2.846697722528064,0.0066993300669933,0.9934006599340066,0.3879644444444444,0.0881666310840912,0.2344555451990838,2.65698910004113,0.0198980101989801,0.9922007799220078,0.0307,0.3823155555555555,0.0841859714824632,0.1369094681757255,2.849722613424277,0.0065993400659934,0.9935006499350064
