pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S_obs,null_mean_shiftA,null_sd_shiftA,null_skew_shiftA,z_S_shiftA,p_right_shiftA,p_left_shiftA,null_mean_shiftB,null_sd_shiftB,null_skew_shiftB,z_S_shiftB,p_right_shiftB,p_left_shiftB,ks_AB,null_mean_shiftA_ref,null_sd_shiftA_ref,null_skew_shiftA_ref,z_S_shiftA_ref,p_right_shiftA_ref,p_left_shiftA_ref
20170706_03_04_01,visible,0.1,P2,20.0,60.0,40.0,51,52,1,19.0,0.36893203883495146,0.38324077669902906,0.06521036596902044,0.02911024860298069,-0.21942428402986222,0.6514348565143485,0.4704529547045295,0.3868349514563106,0.063466292896547,0.06639486727651238,-0.2820853685363615,0.6719328067193281,0.45135486451354867,0.02739999999999998,0.3834504854368931,0.06404215698240294,0.09541053865925052,-0.22670139929751124,0.6555344465553444,0.46935306469353066
20170706_03_04_01,visible,0.1,P3,60.0,180.0,119.69999999999999,154,157,1,70.0,0.45016077170418006,0.38788745980707395,0.04130162309491228,0.10262037893023035,1.507769119726852,0.08149185081491851,0.935006499350065,0.3886231511254019,0.041342309427101764,0.07352953077880924,1.4884901552799428,0.08029197080291971,0.9352064793520648,0.018299999999999983,0.3887845659163987,0.041782576035447765,0.07958774571716067,1.46894259788364,0.08849115088491151,0.930906909309069
20170706_03_04_02,visible,0.1,P1,0.0,20.0,14.9,21,21,1,8.0,0.38095238095238093,0.42314285714285715,0.10331330404381943,0.07729613551766584,-0.40837408677377607,0.7111288871112889,0.42425757424257576,0.4107809523809523,0.10241622436220567,0.11360686553176513,-0.29124849714318224,0.6836316368363163,0.48785121487851213,0.06359999999999999,0.42247619047619045,0.10455496975393912,0.06079625559417415,-0.39714811855937726,0.7030296970302969,0.42445755424457554
20170706_03_04_02,visible,0.1,P2,20.0,60.0,40.0,55,53,1,22.0,0.4074074074074074,0.40022592592592593,0.07693399691452824,0.02498874377046111,0.09334600787035546,0.5065493450654934,0.5937406259374063,0.39696296296296296,0.07748856038738214,0.08824870277064002,0.13478692070455792,0.47265273472652736,0.6220377962203779,0.033899999999999986,0.3995425925925926,0.07603293193886367,0.04294985745019029,0.10343958353649556,0.4958504149585041,0.6040395960403959
20170706_03_04_02,visible,0.1,P3,60.0,180.0,119.30000000000001,153,157,1,62.0,0.4,0.38659354838709675,0.042807080459121745,-0.04967005974874727,0.3131830404950332,0.408959104089591,0.6537346265373463,0.3857670967741935,0.042963991687426775,0.005285802716057421,0.33127516012372055,0.39516048395160486,0.6639336066393361,0.015000000000000013,0.3866845161290322,0.04340413043939982,-0.0007185904459146781,0.3067791875143931,0.41105889411058893,0.646935306469353
20170706_03_04_03,visible,0.1,P1,0.0,20.0,13.8,19,26,1,13.0,0.5777777777777777,0.43919111111111103,0.09560919971389616,0.12488441811637728,1.4495118365322333,0.12068793120687932,0.948005199480052,0.43931111111111115,0.0957220628087792,0.10042262638857381,1.4465491298832207,0.12768723127687232,0.9517048295170483,0.007000000000000006,0.4373911111111112,0.09640639114598823,0.13468487595111295,1.4561966794719965,0.12088791120887911,0.948905109489051
20170706_03_04_03,visible,0.1,P2,20.0,60.0,40.0,58,63,1,25.0,0.4132231404958678,0.4505206611570247,0.07192077437754055,0.057009780413304255,-0.5185917557751467,0.714028597140286,0.35906409359064095,0.44805785123966946,0.07020211951786125,0.0589258245611715,-0.4962059690368582,0.712028797120288,0.34896510348965104,0.0252,0.45116694214876035,0.07209477615001911,0.07629757755937254,-0.5263044519888216,0.7210278972102789,0.3511648835116488
20170706_03_04_03,visible,0.1,P3,60.0,180.0,119.4,156,171,1,79.0,0.4831804281345566,0.40695107033639144,0.041595112519269686,0.004047432296938481,1.832651799243253,0.039396060393960604,0.9704029597040296,0.4082299694189603,0.04143389852334721,0.011303981156340265,1.8089164038803434,0.04329567043295671,0.9686031396860314,0.014500000000000068,0.4072360856269113,0.04107770438599521,-0.021663663856106956,1.8487971429468995,0.037396260373962605,0.9725027497250275
20170706_05_06_01,visible,0.1,P1,0.0,20.0,15.5,26,19,1,6.0,0.26666666666666666,0.4004933333333333,0.0866536391997083,-0.04627609947150321,-1.5443859935096316,0.9551044895510449,0.11558844115588442,0.40719555555555553,0.08875419994199679,0.03609124455187125,-1.5833491708643446,0.963003699630037,0.10968903109689031,0.02789999999999998,0.4010311111111111,0.08741724693363868,-0.04953958969130364,-1.537047312259158,0.9546045395460454,0.1161883811618838
20170706_05_06_01,visible,0.1,P2,20.0,60.0,40.0,57,44,1,19.0,0.37623762376237624,0.3690653465346534,0.06408031661965567,0.017808527627659453,0.11192637000053238,0.5089491050894911,0.6101389861013898,0.3683386138613861,0.06432759168825061,0.007525930432943059,0.12279349644039102,0.5101489851014899,0.6202379762023797,0.010099999999999998,0.36823564356435634,0.0642611825646099,0.028199461443272747,0.12452276597889393,0.504049595040496,0.6146385361463854
20170706_05_06_01,visible,0.1,P3,60.0,180.0,119.30000000000001,122,131,1,44.0,0.34782608695652173,0.3169130434782608,0.03947726965056913,-0.02198977659792929,0.7830593086068515,0.24067593240675933,0.8143185681431857,0.3171422924901186,0.039692280455673384,-0.012329131586519661,0.7730418639127942,0.24267573242675733,0.809019098090191,0.006699999999999928,0.31746403162055337,0.03952265203766328,-0.01524972889093355,0.7682190786952938,0.24577542245775422,0.8109189081091891
20170706_05_06_02,visible,0.1,P1,0.0,20.0,15.5,28,21,1,13.0,0.5306122448979592,0.4449224489795919,0.08775398080145419,-0.08092203471565367,0.9764775926489634,0.23767623237676233,0.894010598940106,0.45539183673469386,0.08941942910965921,-0.0783862665226538,0.8412087721005138,0.28947105289471053,0.8457154284571543,0.05179999999999996,0.4444897959183674,0.08988849586272367,-0.06663698874783058,0.9581031271356092,0.2405759424057594,0.8822117788221178
