variable,rhat,ess_bulk,ess_tail,condition,block,is_imputed,is_lp
y_mis[60],1.0001357659561945,38261.77943093001,13791.177838771097,visible_pair,y_mis,TRUE,FALSE
y_mis[61],1.0003605531795141,33515.26167035192,12465.290062802942,visible_pair,y_mis,TRUE,FALSE
y_mis[62],1.0004198904010178,31259.63091081111,12678.201289146915,visible_pair,y_mis,TRUE,FALSE
y_mis[63],1.0003690663659248,33158.83939878676,10199.811830472709,visible_pair,y_mis,TRUE,FALSE
y_mis[64],1.000460292648555,34437.32903107096,13778.738787471033,visible_pair,y_mis,TRUE,FALSE
y_mis[65],1.0002315442652978,34530.37404544267,13066.538635114057,visible_pair,y_mis,TRUE,FALSE
y_mis[66],1.0003761601451189,35597.378491537886,13948.518388922716,visible_pair,y_mis,TRUE,FALSE
y_mis[67],1.000608733698827,34181.83026915247,12123.099565961458,visible_pair,y_mis,TRUE,FALSE
y_mis[68],1.0000292632972005,32441.097269669513,11663.52219493816,visible_pair,y_mis,TRUE,FALSE
y_mis[69],1.000125041752599,36942.51407489993,14228.429475150915,visible_pair,y_mis,TRUE,FALSE
y_mis[70],1.0001934714437164,37583.73352589476,13614.293620010603,visible_pair,y_mis,TRUE,FALSE
y_mis[71],1.0001047713578042,36616.48195638145,13801.208257684986,visible_pair,y_mis,TRUE,FALSE
y_mis[72],1.0003453482146927,30584.57180193226,13395.093115476675,visible_pair,y_mis,TRUE,FALSE
y_mis[73],1.000711652141552,37552.767316227735,14077.970883549611,visible_pair,y_mis,TRUE,FALSE
y_mis[74],1.0001365768321027,34610.1121821092,13783.777700950786,visible_pair,y_mis,TRUE,FALSE
y_mis[75],1.0003417278612405,31972.990455118837,13852.436835933431,visible_pair,y_mis,TRUE,FALSE
y_mis[76],0.999855087389937,34667.229301246734,14289.796853272708,visible_pair,y_mis,TRUE,FALSE
y_mis[77],1.0002572622869623,32623.859074003056,13169.920267312777,visible_pair,y_mis,TRUE,FALSE
y_mis[78],1.0004229199399093,35231.38066204992,14659.8664421213,visible_pair,y_mis,TRUE,FALSE
y_mis[79],1.0005148555748193,33238.43548413706,13444.770812478846,visible_pair,y_mis,TRUE,FALSE
y_mis[80],1.0002646986314954,35187.393917406895,14200.969647251517,visible_pair,y_mis,TRUE,FALSE
y_mis[81],1.0002446056983063,34598.6328880854,13677.46447119999,visible_pair,y_mis,TRUE,FALSE
y_mis[82],0.9999459523177054,35501.059634101824,13650.183516264464,visible_pair,y_mis,TRUE,FALSE
y_mis[83],1.0004222927720716,36844.840898957,13915.68191361493,visible_pair,y_mis,TRUE,FALSE
y_mis[84],1.0002918409855084,30843.23529055733,11889.533402485722,visible_pair,y_mis,TRUE,FALSE
y_mis[85],1.0000339936918485,35073.60023541705,14105.320094072325,visible_pair,y_mis,TRUE,FALSE
y_mis[86],1.0003046782167215,35707.42459584159,14188.117857061432,visible_pair,y_mis,TRUE,FALSE
y_mis[87],1.0000330915706475,35811.17980206399,13544.59626577199,visible_pair,y_mis,TRUE,FALSE
y_mis[88],1.0002701159037206,30917.249539515775,12841.138811341498,visible_pair,y_mis,TRUE,FALSE
y_mis[89],1.0000505002718831,36099.266772056086,14413.120813358073,visible_pair,y_mis,TRUE,FALSE
y_mis[90],1.0004645598224209,29064.109868505304,13403.216252231667,visible_pair,y_mis,TRUE,FALSE
y_mis[91],1.0006991220274384,32450.74255812551,11699.202722932965,visible_pair,y_mis,TRUE,FALSE
y_mis[92],1.0004659629252555,36530.27233217526,11889.658503927756,visible_pair,y_mis,TRUE,FALSE
y_mis[93],1.0003392987122912,38061.68813712346,13369.258688916934,visible_pair,y_mis,TRUE,FALSE
