mode,condition,n_params,n_y_mis,max_rhat_all,max_rhat_all_param,max_rhat_model,max_rhat_model_param,max_rhat_beta,max_rhat_beta_param,min_ess_bulk_model,min_ess_tail_model,n_divergent,n_chain,iter_sampling,iter_warmup
raw,visible_pair,11856,11730,1.0033631916821708,mu_state[4],1.0033631916821708,mu_state[4],1.0002565722766963,beta_state[2],1093.1530008606471,530.2318754764291,129,4,5000,1000
raw,invisible_pair,11826,11700,1.0064680126882213,mu_pair[14],1.0064680126882213,mu_pair[14],1.0009781892879064,beta_state[1],544.3604766906273,609.78373720591,436,4,5000,1000
