Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30,Chew_31,Chew_32,Chew_33
6.3,6.9,8.0,8.7,9.5,10.4,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,
21.9,22.7,23.5,24.3,25.1,25.8,26.6,27.3,28.1,28.6,29.2,29.9,30.9,32.0,,,,,,,,,,,,,,,,,,,
34.4,35.4,36.1,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9,38.9,39.6,40.2,41.1,41.7,42.4,43.2,44.1,,,,,,,,,,,,,,,,,,,,,,,,
51.1,53.3,54.4,55.8,56.8,58.0,58.7,60.0,61.1,62.2,63.1,64.1,65.3,66.3,67.1,68.0,68.8,70.0,71.4,72.1,72.9,74.5,75.3,76.2,77.1,,,,,,,,
91.5,94.3,96.7,97.7,99.1,100.0,100.6,101.3,102.2,103.6,104.4,105.3,106.1,107.5,108.6,109.5,110.5,111.6,112.5,113.6,114.7,116.2,117.3,118.3,119.3,120.3,121.4,122.3,123.5,126.2,127.1,129.7,141.0
