Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16
5.6,6.3,8.0,8.9,9.5,10.1,10.6,11.6,12.1,13.4,,,,,,
17.1,17.9,18.4,19.1,20.0,20.7,21.4,22.0,22.5,23.7,24.5,,,,,
28.3,29.2,29.8,30.4,31.0,31.7,32.4,33.1,34.7,35.5,36.3,37.1,38.4,39.1,,
42.4,43.2,44.0,45.0,45.7,46.6,47.3,48.1,48.9,49.7,50.8,51.9,,,,
54.4,55.2,55.9,56.5,57.1,57.9,59.1,60.0,60.8,,,,,,,
62.8,63.8,64.5,65.1,65.8,66.6,67.8,68.4,,,,,,,,
72.5,73.2,,,,,,,,,,,,,,
74.5,75.7,76.4,77.2,,,,,,,,,,,,
79.0,79.9,80.7,81.2,,,,,,,,,,,,
82.5,83.5,84.1,84.8,85.5,,,,,,,,,,,
87.0,87.7,88.3,89.2,90.0,91.2,91.8,92.5,93.0,93.7,,,,,,
96.4,97.2,97.9,98.5,99.0,99.9,100.4,101.7,102.3,103.2,103.9,105.1,106.0,,,
107.5,108.4,109.1,109.6,110.3,111.7,112.3,113.0,113.9,114.5,115.2,115.9,117.0,,,
120.2,121.6,122.7,123.7,124.4,125.1,125.8,126.5,127.5,129.9,130.6,131.4,132.1,133.0,,
137.7,138.7,139.7,140.4,141.0,142.0,142.6,143.4,144.1,144.8,145.4,146.4,147.1,,,
149.6,150.6,151.4,152.1,152.9,154.0,154.8,155.6,156.1,156.7,157.5,158.3,159.3,160.3,161.5,162.3
164.6,165.3,166.1,167.1,167.7,168.4,169.0,,,,,,,,,
170.7,171.3,172.4,174.0,174.8,175.5,176.2,177.0,177.7,178.5,179.5,,,,,
