Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30,Chew_31
4.2,5.7,6.5,7.5,8.7,9.5,10.0,10.4,11.0,11.9,12.4,13.1,13.9,14.5,15.1,16.2,16.8,17.7,,,,,,,,,,,,,
21.2,21.7,23.3,24.4,25.2,25.8,26.4,27.1,27.9,28.6,29.3,30.2,31.0,32.0,,,,,,,,,,,,,,,,,
38.5,40.5,41.3,42.1,42.8,43.3,44.0,44.7,45.4,46.2,46.9,47.8,48.5,49.1,49.7,50.3,51.1,52.1,53.1,54.0,55.0,55.8,56.7,57.5,58.4,,,,,,
62.4,63.7,64.6,65.4,66.4,67.3,68.7,69.6,70.4,71.3,75.5,75.9,76.8,77.3,,,,,,,,,,,,,,,,,
79.8,80.7,81.8,82.5,83.2,83.9,84.6,85.3,86.0,87.1,87.9,88.7,89.5,90.3,91.1,91.9,92.7,93.6,94.3,95.2,96.2,97.3,97.9,98.6,99.2,100.5,102.0,,,,
105.0,106.7,107.9,108.8,109.9,111.1,112.3,113.4,114.7,115.8,116.7,117.7,118.7,119.9,121.1,122.3,123.2,124.4,125.3,126.3,127.9,128.9,129.8,130.9,131.6,132.8,135.4,137.2,138.2,,
140.8,142.8,143.9,144.4,145.1,145.6,146.3,146.9,147.7,148.3,148.9,149.5,150.2,150.9,152.4,153.3,154.2,155.0,155.9,156.8,157.9,158.7,159.7,160.8,163.2,164.1,165.0,166.1,167.2,168.1,170.0
175.1,176.2,177.4,178.2,178.7,179.4,,,,,,,,,,,,,,,,,,,,,,,,,
