Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30
4.3,5.5,6.6,7.4,8.4,9.0,9.7,10.6,11.7,12.7,13.8,15.0,15.9,16.6,17.7,19.1,19.8,21.1,,,,,,,,,,,,
24.3,25.2,26.5,27.4,28.2,29.0,29.9,30.7,31.5,32.3,33.2,33.9,35.0,35.9,37.1,37.8,38.4,,,,,,,,,,,,,
40.5,41.6,42.5,43.0,44.3,45.7,47.3,48.6,49.5,50.5,,,,,,,,,,,,,,,,,,,,
53.2,54.1,54.8,55.8,56.8,57.5,58.3,59.7,60.8,61.3,62.2,62.8,63.6,64.3,65.2,68.0,,,,,,,,,,,,,,
72.5,73.4,74.2,75.1,76.0,76.9,78.0,78.7,79.6,80.7,81.4,82.2,82.8,83.6,84.4,85.3,86.5,87.2,88.0,88.7,89.4,90.2,90.9,91.5,92.1,93.3,94.1,,,
96.0,96.7,98.7,99.6,100.3,101.4,102.2,103.5,105.1,107.3,108.2,109.6,110.2,111.0,111.8,113.4,114.3,,,,,,,,,,,,,
119.4,121.5,122.3,123.4,124.3,125.3,126.0,127.8,128.5,129.4,130.1,130.9,131.7,132.6,133.6,134.6,135.3,136.8,137.4,,,,,,,,,,,
140.5,142.4,143.2,144.0,144.9,145.8,146.9,147.6,148.2,148.7,149.4,150.1,150.7,151.7,152.5,153.2,153.9,155.2,156.0,156.7,157.4,158.1,158.8,159.5,160.2,161.1,161.8,162.6,163.4,167.5
171.4,172.1,173.0,174.0,174.9,175.7,177.0,178.1,179.2,,,,,,,,,,,,,,,,,,,,,
