t_center,S,nA,nB,nM,S_null_mean,S_null_sd,z_S_t,S_excess,episode
3.5,0.875,7,9,7,0.2729150937040256,0.1484786072239094,4.055027977114679,0.6020849062959743,1
4.5,0.8,9,11,8,0.2967180566337687,0.14822584308246814,3.395372445857645,0.5032819433662313,1
5.5,0.7272727272727273,10,12,8,0.30904176477752665,0.1509034843018347,2.771512960288325,0.41823096249520064,1
6.5,0.6666666666666666,11,13,8,0.31660771322536363,0.14491849407123983,2.415557487571042,0.350058953441303,1
7.5,0.6153846153846154,12,14,8,0.3122272080244728,0.14010053710762504,2.1638561394468994,0.30315740736014263,1
8.5,0.5833333333333334,12,12,7,0.2854597065349959,0.1460862530391553,2.0390257166668433,0.29787362679833745,1
9.5,0.6086956521739131,11,12,7,0.287185619164267,0.13567299266951743,2.369742324419751,0.3215100330096461,1
10.5,0.64,12,13,8,0.3019669951102277,0.13513658233485148,2.5014174478097204,0.33803300488977234,1
11.5,0.72,12,13,9,0.3028675352014462,0.14594831553765808,2.858083447293531,0.41713246479855376,1
12.5,0.75,12,12,9,0.30493780120882696,0.15059804927233333,2.9552985642353624,0.44506219879117304,1
13.5,0.72,12,13,9,0.32700393418930573,0.14837518542933104,2.648664361722888,0.39299606581069424,1
14.5,0.6666666666666666,12,12,8,0.30426923019771995,0.15335259976729798,2.363164609004737,0.3623974364689467,1
15.5,0.6086956521739131,12,11,7,0.28777964292852565,0.156483877388102,2.050792801161686,0.32091600924538743,1
16.5,0.5454545454545454,12,10,6,0.29270926911066225,0.1602866151237974,1.576833325406961,0.25274527634388316,1
17.5,0.6,11,9,6,0.2769257887279559,0.16654393909266874,1.9398737236080288,0.32307421127204405,0
18.5,0.5263157894736842,11,8,5,0.26383879799251314,0.16819880162716744,1.5605164183213527,0.26247699148117104,0
19.5,0.5555555555555556,10,8,5,0.26311597459128416,0.16086523123185947,1.8179166419297295,0.2924395809642714,0
20.5,0.625,8,8,5,0.2625395805432957,0.159922551453981,2.266474716425502,0.3624604194567043,0
21.5,0.46153846153846156,7,6,3,0.24008868925192456,0.16535742798141617,1.339218775895721,0.221449772286537,0
22.5,0.36363636363636365,6,5,2,0.21964312909312908,0.16413472477488888,0.8772868431145304,0.14399323454323457,0
23.5,0.4,5,5,2,0.19627813069283656,0.15121094264426552,1.3472693559383042,0.20372186930716346,0
24.5,0.4444444444444444,4,5,2,0.21543621737739385,0.1747837477610396,1.3102375363877965,0.22900822706705057,0
25.5,0.2857142857142857,3,4,1,0.18841413031413032,0.1802536954325141,0.5397956206483654,0.09730015540015538,0
26.5,0.2222222222222222,3,6,1,0.23592182392770628,0.18704479242004668,-0.07324235830484313,-0.013699601705484066,0
27.5,0.5,4,8,3,0.27198999900168624,0.1899802975945026,1.2001770914423056,0.22801000099831376,0
28.5,0.3333333333333333,4,8,2,0.26982358890679325,0.18097986023931073,0.3509216127284039,0.06350974442654006,0
29.5,0.3076923076923077,5,8,2,0.2714222190004698,0.18543428842563633,0.19559537235414307,0.0362700886918379,0
30.5,0.26666666666666666,7,8,2,0.2558058118609976,0.17311921438029781,0.06273627595034365,0.010860854805669062,0
31.5,0.42857142857142855,7,7,3,0.2584703317837993,0.1788193933922183,0.9512452400200992,0.17010109678762925,0
32.5,0.2,5,5,1,0.21535395405248345,0.1753058437364012,-0.08758381195535286,-0.015353954052483437,0
33.5,0.18181818181818182,5,6,1,0.23427058268528855,0.17545096569517699,-0.29895760709710706,-0.05245240086710673,0
34.5,0.3333333333333333,6,6,2,0.23419257735728324,0.18238092365892353,0.5435916980081558,0.09914075597605007,0
35.5,0.3076923076923077,5,8,2,0.2382047467582297,0.18163621730842616,0.3825644574841873,0.06948756093407801,0
36.5,0.15384615384615385,6,7,1,0.2575652687182099,0.20532795243256952,-0.5051387969502973,-0.10371911487205604,0
37.5,0.125,7,9,1,0.2882366665498244,0.20891485660093864,-0.781354994114339,-0.16323666654982438,0
38.5,0.125,7,9,1,0.27446787880162493,0.20302172017425674,-0.7362161973277258,-0.14946787880162493,0
39.5,0.0,6,7,0,0.26061870972165085,0.20413005079975424,-1.2767287751145977,-0.26061870972165085,0
