t_center,n_valid,coverage,mean_zS_pooled,kept_for_changepoint,mean_zS_visible,sem_zS_visible,mean_zS_invisible,sem_zS_invisible
6.5,10,0.16666666666666666,0.6930918749472859,False,0.1368627013017225,0.1253919823360813,0.8321491683586766,0.09621970036220162
7.5,24,0.4,0.14452255538540698,False,-0.14611077634857764,0.3114455215050583,0.48799831107102515,0.2984352984846733
8.5,42,0.7,0.10138347548802187,True,0.14483187022023117,0.20613962949793968,0.05359024128259164,0.25858132066689127
9.5,49,0.8166666666666667,0.049289475742090846,True,0.07514366465524601,0.17149334387028664,0.014817223857883971,0.2339003108060321
10.5,51,0.85,0.12662756200867498,True,0.178652140969242,0.18913525320259958,0.0632932919697239,0.19606227771993293
11.5,53,0.8833333333333333,0.12694233012701978,True,0.10047275812795974,0.18667230534424856,0.156588250765967,0.1906159473785705
12.5,55,0.9166666666666666,0.12622747837306958,True,0.06959085498528265,0.16035532494812416,0.18939909676713954,0.16993351790498107
13.5,55,0.9166666666666666,0.14004492563328957,True,-0.06435812968630188,0.18596467856444682,0.3680329488743723,0.1635595544854951
14.5,57,0.95,0.15911301772175862,True,-0.05396266905417356,0.17188049247266957,0.3797985504539741,0.14735405997678017
15.5,57,0.95,0.12037168287915889,True,-0.08926652929995595,0.1621009185327879,0.3374969740646708,0.17546103704092073
16.5,57,0.95,0.030925827888206362,True,-0.17856456344459934,0.15478601542902184,0.2478980189114694,0.21187766984605258
17.5,58,0.9666666666666667,-0.00029250832671258204,True,-0.16969713019040614,0.16628446552941992,0.16911211353698097,0.23875204025921432
18.5,58,0.9666666666666667,0.13277076854984127,True,0.2511038686702712,0.17808428806542145,0.014437668429411368,0.22110363022506058
19.5,58,0.9666666666666667,0.09905445363786826,True,0.25373615700218044,0.16753710679403525,-0.05562724972644381,0.22239483068955074
20.5,58,0.9666666666666667,0.007240438887001065,True,0.1594461807835576,0.15250520486793817,-0.1449653030095555,0.2155694377031209
21.5,58,0.9666666666666667,0.14749241828476622,True,0.3463300422383378,0.1325009846710494,-0.051345205668805266,0.2019823935491035
22.5,60,1.0,0.16609159896622802,True,0.3456495089410371,0.15782576097005246,-0.013466311008580948,0.16551612774977856
23.5,60,1.0,0.05258309643481636,True,0.186913705773565,0.1711672215821617,-0.08174751290393231,0.16035286902197587
24.5,60,1.0,0.10828642411292601,True,0.272944407975851,0.20220656263648779,-0.05637155974999894,0.18495890392180672
25.5,60,1.0,0.18612351008152525,True,0.40717549323116314,0.22612969459749208,-0.034928473068112635,0.14843846466163146
26.5,60,1.0,0.17584564595632557,True,0.3512337002337447,0.23511739857618544,0.00045759167890638643,0.18474556113358456
27.5,60,1.0,0.16395316802572227,True,0.30931415372977084,0.2134547646834301,0.018592182321673645,0.2040752330032254
28.5,60,1.0,0.1375917235848655,True,0.30090649929673646,0.19676532210120526,-0.02572305212700546,0.19358666206321865
29.5,60,1.0,0.013605648859322568,True,0.08185322362428535,0.19940970904634603,-0.05464192590564023,0.1997079629707297
30.5,60,1.0,-0.04456615423228848,True,0.0548508856404311,0.187882408580998,-0.1439831941050081,0.20023937055970673
31.5,60,1.0,-0.12646398591920613,True,-0.0010186582713839478,0.17309706634442062,-0.2519093135670283,0.2050059978021678
32.5,60,1.0,-0.0669828497110769,True,0.04304887487908266,0.1744058617359055,-0.17701457430123646,0.18128214898257744
33.5,60,1.0,-0.07144810935663311,True,-0.04959177390757489,0.15466847100943001,-0.09330444480569135,0.1895913008607436
34.5,60,1.0,0.03895949580231428,True,-0.0961919503583102,0.17115738040524586,0.1741109419629388,0.19466688629100098
35.5,59,0.9833333333333333,0.057210574702173486,True,-0.16402580921183293,0.16514945493681055,0.271072412485713,0.1909517838402782
36.5,59,0.9833333333333333,0.06666136669707053,True,-0.15026643476278592,0.16425513798914457,0.2763582414415985,0.1803102646241348
37.5,59,0.9833333333333333,0.029932829864187518,True,-0.17937237463065428,0.17448290012830994,0.2322611942092012,0.1696278120819412
38.5,59,0.9833333333333333,0.011441542013362324,True,-0.27279456989874784,0.175445539987561,0.3054788991638211,0.19030981681841147
39.5,60,1.0,-0.04753128984799978,True,-0.26491453385983577,0.18027616032563915,0.1698519541638363,0.17404876329553234
40.5,60,1.0,0.030085839509433124,True,-0.10924427185478372,0.18386715952705887,0.16941595087364994,0.1500953283573124
41.5,60,1.0,0.1327891405639778,True,0.044101768283581026,0.19025029431190876,0.22147651284437467,0.151529937812505
42.5,60,1.0,0.1578646454989282,True,0.03910488252355015,0.18817683805339266,0.2766244084743064,0.1775439406313394
43.5,60,1.0,0.15171774800747115,True,0.09836527269256463,0.1732329134715814,0.20507022332237765,0.19426383918954476
44.5,60,1.0,0.12363009813761022,True,0.012096614182026285,0.17186255239706022,0.23516358209319413,0.20849519553908075
45.5,60,1.0,0.09645372785049416,True,-0.027667825234848557,0.17335337200680326,0.22057528093583686,0.17268606632981673
46.5,60,1.0,0.015507786019524168,True,-0.13077518278827333,0.18095693986812045,0.1617907548273216,0.17180958089986154
47.5,60,1.0,0.12247095019704869,True,-0.1168324899395879,0.2042414634099456,0.36177439033368536,0.14488534826073132
48.5,60,1.0,0.03589846978929549,True,-0.08948450824863625,0.18038990374194647,0.16128144782722725,0.1432423348605832
49.5,60,1.0,0.08962813479394456,True,0.15439485039608591,0.18082533005228352,0.0248614191918032,0.11177324948654073
50.5,60,1.0,-0.0019347386636838196,True,0.13095661227053765,0.16564194963842022,-0.1348260895979053,0.14516357686909112
51.5,60,1.0,0.10289887694442501,True,0.30577417857079664,0.1797522347980312,-0.09997642468194651,0.14483491818286753
52.5,59,0.9833333333333333,0.05415603605170034,True,0.2919182751199776,0.17812070387503892,-0.17568079504763429,0.17476767909246127
53.5,59,0.9833333333333333,0.0250085935831656,True,0.21121830932752925,0.17504455018918005,-0.15499413163638595,0.18824302343486454
54.5,60,1.0,0.06539211117971762,True,0.14334032838649352,0.20084586623548706,-0.01255610602705834,0.17418883216847858
55.5,60,1.0,0.1355242155660104,True,0.1513816129351998,0.1810684777955332,0.11966681819682097,0.1714633026484895
56.5,60,1.0,0.020215155067333748,True,-0.004528869352108204,0.18027038238381307,0.04495917948677568,0.17429803196943516
57.5,60,1.0,0.030361973274745303,True,0.058953872664691834,0.17821174097870934,0.0017700738847987432,0.18163779158536997
58.5,60,1.0,0.11715376326797956,True,0.1435219702575596,0.15365230288044923,0.09078555627839946,0.15891827578570983
59.5,60,1.0,0.11657467163948287,True,0.0720782376224692,0.17922583527002967,0.16107110565649657,0.16000466373530908
60.5,60,1.0,-0.009199823037364826,True,-0.047781516960443984,0.20385785671742568,0.029381870885714343,0.16543601478302122
61.5,60,1.0,0.08671504510169387,True,0.026459723621179092,0.21071759758416336,0.14697036658220866,0.17693630407272343
62.5,60,1.0,0.006967061215175059,True,-0.11131099700484777,0.1702040164485837,0.12524511943519792,0.1957949597805767
63.5,60,1.0,-0.01878638436998036,True,0.003163819057129132,0.21123113090966952,-0.040736587797089795,0.19105840263625476
64.5,60,1.0,-0.05291083607950663,True,0.16411088470828883,0.18865964161784737,-0.2699325568673021,0.19333695668843354
65.5,60,1.0,-0.04253928379026903,True,0.18410003746183648,0.20011444210979798,-0.26917860504237456,0.19782721761063188
66.5,60,1.0,-0.12450793345588852,True,0.03346281268927795,0.1722414223004823,-0.28247867960105494,0.18310009478431746
67.5,60,1.0,-0.18179106578730791,True,0.06694929417681192,0.18214353608771874,-0.4305314257514276,0.21167807378920514
68.5,60,1.0,-0.04227110679377991,True,0.20329563587652644,0.18912842309242517,-0.2878378494640863,0.19654726677259604
69.5,60,1.0,-0.027713689492868825,True,0.17354597970285193,0.1807286448827647,-0.22897335868858956,0.1895467131287172
70.5,60,1.0,0.02192341828315858,True,0.20123744455264572,0.16382637876868544,-0.15739060798632862,0.17548641748587485
71.5,60,1.0,0.0965699820957713,True,0.3608911095506384,0.18654567355699014,-0.1677511453590959,0.1702681248236939
