pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left,STR,Max_episode
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,10.0,15,11,1,4.0,0.3076923076923077,0.4130230769230769,0.1112044468974369,-0.9471812698993504,0.9071092890710928,0.2740725927407259,,
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,44,1,20.0,0.404040404040404,0.3786484848484848,0.0588026279702144,0.4318160610913694,0.3986601339866013,0.7295270472952705,,
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,119.0,140,133,1,54.0,0.3956043956043956,0.3416410256410256,0.0336237004651817,1.6049206130434823,0.0662933706629337,0.9577042295770424,,
20170705_01_02_02,invisible,0.1,P1,0.0,20.0,12.8,18,16,1,5.0,0.2941176470588235,0.3540235294117647,0.0968416906926924,-0.6185959985254735,0.823917608239176,0.383961603839616,,
20170705_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,54,42,1,13.0,0.2708333333333333,0.32666875,0.0554787916861847,-1.0064281317174169,0.8839116088391161,0.2077792220777922,,
20170705_01_02_02,invisible,0.1,P3,60.0,180.0,119.6,151,149,1,41.0,0.2733333333333333,0.3576873333333333,0.0337183883111925,-2.5017209963146283,0.9951004899510048,0.0070992900709929,,
20170705_01_02_03,invisible,0.1,P1,0.0,20.0,14.0,19,18,1,9.0,0.4864864864864865,0.4314756756756757,0.0988660505909746,0.5564176022201972,0.3882611738826117,0.7973202679732027,,
20170705_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,44,58,1,17.0,0.3333333333333333,0.3516431372549019,0.0553789338425952,-0.3306275988196335,0.6918308169183082,0.431956804319568,,
20170705_01_02_03,invisible,0.1,P3,60.0,180.0,119.7,144,150,1,52.0,0.3537414965986394,0.3650074829931973,0.0335510488607705,-0.3357864143475573,0.6714328567143286,0.401959804019598,,
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,16.8,22,23,1,14.0,0.6222222222222222,0.4659022222222222,0.0939992274740781,1.662992390475846,0.0735926407359264,0.9771022897710228,,
20170705_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,49,61,1,23.0,0.4181818181818181,0.3780763636363636,0.0541773465312339,0.740262436484099,0.2794720527947205,0.8181181881811819,,
20170705_03_04_01,invisible,0.1,P3,60.0,180.0,119.8,160,153,1,68.0,0.4345047923322683,0.3965546325878594,0.0315575668111132,1.2025692592701576,0.136986301369863,0.9033096690330968,,
20170705_03_04_02,invisible,0.1,P1,0.0,20.0,16.2,30,26,1,18.0,0.6428571428571429,0.519625,0.0770519902297715,1.5993375705112944,0.0810918908109189,0.9698030196980302,,
20170705_03_04_02,invisible,0.1,P2,20.0,60.0,40.0,66,54,1,26.0,0.4333333333333333,0.4324933333333332,0.0501347204386719,0.0167548555701564,0.5621437856214379,0.5666433356664333,,
20170705_03_04_02,invisible,0.1,P3,60.0,180.0,119.6,175,170,1,74.0,0.4289855072463768,0.4100962318840578,0.0299863751574127,0.6299286013451152,0.2948705129487051,0.7675232476752325,,
20170705_03_04_03,invisible,0.1,P1,0.0,20.0,16.7,30,31,1,19.0,0.6229508196721312,0.5064754098360655,0.0807453204698286,1.4425035303388003,0.1040895910408959,0.953004699530047,,
20170705_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,57,62,1,34.0,0.5714285714285714,0.4494739495798319,0.0545643248138053,2.2350615033704893,0.0170982901709829,0.9934006599340066,,
20170705_03_04_03,invisible,0.1,P3,60.0,180.0,118.8,181,181,1,89.0,0.4917127071823204,0.4427872928176795,0.0311895979965801,1.5686452377489928,0.0680931906809319,0.9507049295070492,,
20170707_01_02_01,invisible,0.1,P1,0.0,20.0,16.1,27,28,1,20.0,0.7272727272727273,0.4939963636363636,0.0855306834858131,2.7273997369032705,0.0050994900509949,0.9988001199880012,,
20170707_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,64,59,1,24.0,0.3902439024390244,0.4182634146341464,0.0506517822966617,-0.5531791957687668,0.7616238376162384,0.3490650934906509,,
20170707_01_02_01,invisible,0.1,P3,60.0,180.0,118.7,152,158,1,61.0,0.3935483870967742,0.3877470967741936,0.0327163643359519,0.1773207518723452,0.472952704729527,0.6081391860813918,,
20170707_01_02_02,invisible,0.1,P1,0.0,20.0,14.7,29,15,1,9.0,0.4090909090909091,0.3961363636363637,0.0748586301883942,0.1730534665401057,0.5620437956204379,0.680931906809319,,
20170707_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,70,63,1,28.0,0.4210526315789473,0.4582436090225564,0.0480608260991272,-0.7738314228494797,0.8281171882811719,0.2633736626337366,,
20170707_01_02_02,invisible,0.1,P3,60.0,180.0,114.2,139,175,1,66.0,0.4203821656050955,0.4043025477707007,0.0304991755276905,0.5272148363419209,0.3375662433756624,0.7338266173382662,,
20170707_01_02_03,invisible,0.1,P1,0.0,20.0,16.3,29,31,1,14.0,0.4666666666666667,0.4510366666666667,0.0735626703489555,0.2124718954036976,0.5109489051094891,0.67003299670033,,
20170707_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,60,66,1,23.0,0.365079365079365,0.4190031746031745,0.0495299290088333,-1.088711625534382,0.8937106289371063,0.1770822917708229,,
20170707_01_02_03,invisible,0.1,P3,60.0,180.0,119.6,168,192,1,74.0,0.4111111111111111,0.4266427777777778,0.029183286747266,-0.532211015201081,0.7327267273272673,0.3334666533346665,,
20170707_03_04_01,invisible,0.1,P1,0.0,20.0,15.5,28,24,1,11.0,0.4230769230769231,0.4531961538461539,0.0823482358921938,-0.3657544140795125,0.7313268673132687,0.4434556544345565,,
20170707_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,59,49,1,24.0,0.4444444444444444,0.4067537037037037,0.0568177460417946,0.6633621248019183,0.3080691930806919,0.798020197980202,,
20170707_03_04_01,invisible,0.1,P3,60.0,180.0,119.9,178,131,1,60.0,0.3883495145631068,0.3554084142394822,0.0301691591105277,1.0918799626778302,0.1620837916208379,0.8837116288371163,,
20170707_03_04_02,invisible,0.1,P1,0.0,20.0,14.4,23,16,1,6.0,0.3076923076923077,0.4148615384615384,0.0883426584824739,-1.2131085096391088,0.9344065593440656,0.1771822817718228,,
20170707_03_04_02,invisible,0.1,P2,20.0,60.0,40.0,64,53,1,24.0,0.4102564102564102,0.4193333333333333,0.0547885682611407,-0.1656718429592715,0.6314368563143685,0.4911508849115088,,
20170707_03_04_02,invisible,0.1,P3,60.0,180.0,119.7,178,127,1,45.0,0.2950819672131147,0.3806229508196721,0.0325478755117378,-2.628158743439597,0.9972002799720028,0.0053994600539946,,
20170707_03_04_03,invisible,0.1,P1,0.0,20.0,14.9,26,22,1,10.0,0.4166666666666667,0.4529125,0.0860394005960573,-0.4212701748528249,0.742025797420258,0.4321567843215678,,
20170707_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,66,50,1,27.0,0.4655172413793103,0.4617293103448275,0.0559983618291686,0.0676436043975432,0.5325467453254674,0.5926407359264073,,
20170707_03_04_03,invisible,0.1,P3,60.0,180.0,119.5,181,138,1,53.0,0.3322884012539185,0.3762257053291536,0.0319400703381193,-1.3756170105485808,0.9294070592940706,0.098990100989901,,
20170707_05_06_01,invisible,0.1,P1,0.0,20.0,5.4,6,3,0,0.0,0.0,0.0,0.0,,1.0,1.0,,
20170707_05_06_01,invisible,0.1,P2,20.0,60.0,40.0,46,38,1,15.0,0.3571428571428571,0.3282166666666666,0.0608349446580128,0.4754864270659043,0.3894610538946105,0.7485251474852515,,
20170707_05_06_01,invisible,0.1,P3,60.0,180.0,119.4,129,119,1,38.0,0.3064516129032258,0.2868693548387097,0.032855658800218,0.5960086870754256,0.3178682131786821,0.7659234076592341,,
20170707_05_06_02,invisible,0.1,P1,0.0,20.0,8.9,14,8,1,3.0,0.2727272727272727,0.3431363636363636,0.1132613802319296,-0.6216513586971267,0.8466153384661533,0.406959304069593,,
20170707_05_06_02,invisible,0.1,P2,20.0,60.0,40.0,47,45,1,13.0,0.2826086956521739,0.3160347826086956,0.0553073279180264,-0.6043699490610734,0.789021097890211,0.343965603439656,,
20170707_05_06_02,invisible,0.1,P3,60.0,180.0,119.3,138,122,1,39.0,0.3,0.3180415384615385,0.0331678160963854,-0.5439471326393611,0.7450254974502549,0.3337666233376662,,
20170707_05_06_03,invisible,0.1,P1,0.0,20.0,8.7,14,11,1,7.0,0.56,0.44568,0.1179986863019961,0.968824345276343,0.2666733326667333,0.9095090490950904,,
20170707_05_06_03,invisible,0.1,P2,20.0,60.0,40.0,51,45,1,12.0,0.25,0.33109375,0.0554059005641026,-1.4636302122041571,0.952204779522048,0.1022897710228977,,
20170707_05_06_03,invisible,0.1,P3,60.0,180.0,118.1,124,129,1,30.0,0.2371541501976284,0.2803897233201581,0.0319849503342023,-1.3517473896558398,0.9298070192980702,0.1105889411058894,,
20170707_07_08_01,invisible,0.1,P1,0.0,20.0,11.1,10,16,1,3.0,0.2307692307692307,0.3102307692307692,0.1062681060155132,-0.7477458801226633,0.8679132086791321,0.3538646135386461,,
20170707_07_08_01,invisible,0.1,P2,20.0,60.0,40.0,50,54,1,21.0,0.4038461538461538,0.3945326923076923,0.0600817047336236,0.1550132703416687,0.5016498350164984,0.6219378062193781,,
20170707_07_08_01,invisible,0.1,P3,60.0,180.0,118.2,144,177,1,72.0,0.4485981308411215,0.4027271028037383,0.0335734458105434,1.3662889503876234,0.1034896510348965,0.927907209279072,,
20170707_07_08_02,invisible,0.1,P1,0.0,20.0,11.0,12,21,1,6.0,0.3636363636363636,0.3582545454545455,0.0922436629276418,0.058343500366413,0.6103389661033897,0.6434356564343565,,
20170707_07_08_02,invisible,0.1,P2,20.0,60.0,40.0,52,65,1,19.0,0.3247863247863248,0.3668700854700854,0.0534267351171944,-0.7876910425360569,0.8305169483051695,0.2626737326267373,,
20170707_07_08_02,invisible,0.1,P3,60.0,180.0,119.6,150,201,1,70.0,0.3988603988603988,0.4008957264957264,0.0312945680864825,-0.0650377289024399,0.5637436256374363,0.507949205079492,,
20170707_07_08_03,invisible,0.1,P2,20.0,60.0,40.0,47,73,1,26.0,0.4333333333333333,0.3947,0.053455861102801,0.7227146385133993,0.2873712628737126,0.81001899810019,,
20170707_07_08_03,invisible,0.1,P3,60.0,180.0,119.4,140,202,1,81.0,0.4736842105263157,0.3981134502923976,0.0310641551635412,2.4327318684852743,0.0082991700829917,0.9946005399460054,,
20170707_09_10_01,invisible,0.1,P1,0.0,20.0,14.6,18,23,1,11.0,0.5365853658536586,0.4009317073170731,0.087012869347546,1.5590068406405353,0.0961903809619038,0.971002899710029,,
20170707_09_10_01,invisible,0.1,P2,20.0,60.0,40.0,50,50,1,19.0,0.38,0.367758,0.0572407292590565,0.2138686938210718,0.4813518648135186,0.648935106489351,,
20170707_09_10_01,invisible,0.1,P3,60.0,180.0,119.5,145,150,1,54.0,0.3661016949152542,0.3597179661016949,0.0325400374227714,0.1961807459106375,0.4633536646335366,0.6161383861613838,,
20170707_09_10_02,invisible,0.1,P1,0.0,20.0,14.3,24,21,1,8.0,0.3555555555555555,0.41752,0.0903394916250144,-0.6859064992489601,0.8215178482151785,0.3298670132986701,,
20170707_09_10_02,invisible,0.1,P2,20.0,60.0,40.0,55,59,1,26.0,0.4561403508771929,0.4090508771929824,0.0558184838012589,0.84361792863941,0.2464753524647535,0.8374162583741626,,
20170707_09_10_02,invisible,0.1,P3,60.0,180.0,119.5,172,167,1,68.0,0.4011799410029498,0.4102961651917405,0.0315744039572391,-0.2887219724285735,0.6447355264473552,0.4255574442555744,,
20170707_09_10_03,invisible,0.1,P1,0.0,20.0,15.6,23,25,1,10.0,0.4166666666666667,0.4324125,0.0790816628641356,-0.1991085260863198,0.6866313368663134,0.5127487251274873,,
20170707_09_10_03,invisible,0.1,P2,20.0,60.0,40.0,57,60,1,32.0,0.5470085470085471,0.4434358974358974,0.0537451434355818,1.927107138467131,0.0370962903709629,0.9836016398360165,,
20170707_09_10_03,invisible,0.1,P3,60.0,180.0,119.8,152,164,1,57.0,0.360759493670886,0.3732082278481013,0.031831437604043,-0.391083002032999,0.6877312268773123,0.3886611338866113,,
20170707_11_12_01,invisible,0.1,P1,0.0,20.0,16.0,20,28,1,10.0,0.4166666666666667,0.4082916666666666,0.0838898537977118,0.0998332887812055,0.5648435156484352,0.6311368863113689,,
20170707_11_12_01,invisible,0.1,P2,20.0,60.0,40.0,59,58,1,23.0,0.3931623931623931,0.4258940170940172,0.0561897307244965,-0.5825196794786258,0.7698230176982301,0.3310668933106689,,
20170707_11_12_01,invisible,0.1,P3,60.0,180.0,119.4,168,159,1,55.0,0.3363914373088685,0.3969204892966361,0.032685992538344,-1.8518346021391496,0.9725027497250276,0.0407959204079592,,
20170707_11_12_02,invisible,0.1,P1,0.0,20.0,16.3,28,26,1,18.0,0.6666666666666666,0.4937481481481481,0.0845664153470548,2.044765854256357,0.0304969503049695,0.9906009399060094,,
20170707_11_12_02,invisible,0.1,P2,20.0,60.0,40.0,67,63,1,34.0,0.5230769230769231,0.4729538461538461,0.0549058574406634,0.9128912516710032,0.2228777122287771,0.8543145685431457,,
20170707_11_12_02,invisible,0.1,P3,60.0,180.0,119.3,191,180,1,85.0,0.4582210242587601,0.4547477088948786,0.0323933996975048,0.1072229341877012,0.495950404959504,0.567943205679432,,
20170707_11_12_03,invisible,0.1,P1,0.0,20.0,15.0,26,25,1,12.0,0.4705882352941176,0.4834509803921569,0.0834388601222573,-0.1541577279362677,0.652934706529347,0.5316468353164684,,
20170707_11_12_03,invisible,0.1,P2,20.0,60.0,40.0,66,62,1,28.0,0.4375,0.4692125,0.0546596973852931,-0.5801806727260183,0.7665233476652334,0.3242675732426757,,
20170707_11_12_03,invisible,0.1,P3,60.0,180.0,119.5,166,166,1,70.0,0.4216867469879518,0.4146216867469879,0.0334137119689234,0.2114419447780829,0.4546545345465453,0.6147385261473852,,
20170710_13_14_01,invisible,0.1,P1,0.0,20.0,14.6,19,24,1,7.0,0.3255813953488372,0.3810976744186046,0.0903008129477843,-0.6147926830057355,0.8122187781221878,0.358964103589641,,
20170710_13_14_01,invisible,0.1,P2,20.0,60.0,40.0,47,53,1,19.0,0.38,0.386798,0.0589380570213893,-0.1153414337621087,0.6064393560643936,0.522047795220478,,
20170710_13_14_01,invisible,0.1,P3,60.0,180.0,118.1,139,170,1,52.0,0.3365695792880259,0.3516446601941748,0.0323138052893424,-0.466521375961898,0.7139286071392861,0.3523647635236476,,
20170710_13_14_02,invisible,0.1,P1,0.0,20.0,14.8,22,29,1,10.0,0.392156862745098,0.4616862745098039,0.0852103996114499,-0.8159733093818636,0.8540145985401459,0.2798720127987201,,
20170710_13_14_02,invisible,0.1,P2,20.0,60.0,40.0,55,63,1,32.0,0.5423728813559322,0.4458491525423728,0.0566110057356237,1.7050346935069498,0.061993800619938,0.9658034196580342,,
20170710_13_14_02,invisible,0.1,P3,60.0,180.0,119.7,163,196,1,85.0,0.4735376044568245,0.4137281337047353,0.0312969743582579,1.9110304423503468,0.0357964203579642,0.9766023397660234,,
