t_center,S,nA,nB,nM,S_null_mean,S_null_sd,z_S_t,S_excess,episode
3.5,0.8421052631578947,10,9,8,0.663531859577882,0.11434897528163933,1.56165285382042,0.17857340358001272,0
4.5,0.8571428571428571,11,10,9,0.6620118261436743,0.11986256293418486,1.6279564379607585,0.19513103099918283,0
5.5,0.8695652173913043,12,11,10,0.6606660982247736,0.13431768376450862,1.5552614764618884,0.2088991191665307,0
6.5,0.8695652173913043,11,12,10,0.641429027065948,0.13805613655156024,1.6524885892352468,0.22813619032535637,0
7.5,0.8181818181818182,12,10,9,0.6923828269384703,0.1281190248031456,0.9818915764980072,0.12579899124334792,0
8.5,0.8181818181818182,12,10,9,0.6717180527519772,0.12950402364617924,1.1309591880326275,0.14646376542984108,0
9.5,0.782608695652174,13,10,9,0.6693458994577011,0.1236131260329366,0.9162683594321053,0.11326279619447288,0
10.5,0.72,14,11,9,0.6312839728820857,0.11639015692011467,0.7622296375010924,0.08871602711791426,0
11.5,0.7692307692307693,15,11,10,0.6549597048698448,0.13226019518765852,0.8639868117447581,0.11427106436092449,0
12.5,0.7692307692307693,13,13,10,0.6033387589774459,0.12905008488507372,1.2854854795412138,0.16589201025332334,0
13.5,0.72,12,13,9,0.6070155360026124,0.12772960223087762,0.8845597420178491,0.1129844639973876,0
14.5,0.75,11,13,9,0.609693563423908,0.13080425916490623,1.0726442508206577,0.140306436576092,0
15.5,0.782608695652174,11,12,9,0.6476254980346675,0.13253927738600807,1.018439214998741,0.13498319761750643,0
16.5,0.75,12,12,9,0.6463858802469423,0.13767176567766817,0.7526170616250402,0.10361411975305768,0
17.5,0.8,13,12,10,0.6465208079780107,0.13439802508108153,1.14197505453965,0.15347919202198934,0
18.5,0.88,13,12,11,0.6480359512177596,0.13653944105249274,1.6988794372833382,0.23196404878224042,0
19.5,0.8461538461538461,14,12,11,0.6410775065044286,0.13862702600503432,1.4793388097496232,0.20507633964941752,0
20.5,0.7692307692307693,14,12,10,0.6287452665453479,0.13171499966705702,1.0665869721788257,0.14048550268542137,0
21.5,0.782608695652174,12,11,9,0.6453391545953485,0.12718892812390029,1.0792570004450794,0.13726954105682543,0
22.5,0.7,12,8,7,0.637955232323576,0.1326311941834326,0.4677992086131287,0.06204476767642397,0
23.5,0.5263157894736842,13,6,5,0.5528736965820555,0.1360301162002957,-0.19523549527272716,-0.02655790710837136,0
24.5,0.47058823529411764,12,5,4,0.5837802550820352,0.12611119963866077,-0.8975572360919588,-0.1131920197879176,0
25.5,0.5333333333333333,11,4,4,0.6002236111927287,0.1335799494815606,-0.5007508845377198,-0.06689027785939539,0
26.5,0.5,12,4,4,0.6216592342298224,0.13777652067620758,-0.8830186277946235,-0.12165923422982239,0
27.5,0.5882352941176471,12,5,5,0.7353112079698767,0.12374662375746254,-1.1885246593918504,-0.14707591385222962,0
