condition,dyad_id,n_sessions,zS_mean,zS_min,zS_max,delta,period
invisible,20170705_01_02,3,-0.4863424149358694,-2.4684980377484695,1.3711402183512595,0.1,P3
invisible,20170705_03_04,3,0.6976543506723432,-0.0649825729152593,1.1338839138073489,0.1,P3
invisible,20170707_01_02,3,-0.14715514373452823,-0.9375957230449176,0.4483448462887962,0.1,P3
invisible,20170707_03_04,3,-1.0841187694873602,-2.09506381936605,0.3949959905224355,0.1,P3
invisible,20170707_05_06,3,-0.9487583065072733,-2.192542204881806,-0.0247651146627703,0.1,P3
invisible,20170707_07_08,3,0.6792976411595768,-0.7571267716526691,1.6379525253843406,0.1,P3
invisible,20170707_09_10,3,-0.4907765623311211,-0.7710597112340671,-0.0839630366660738,0.1,P3
invisible,20170707_11_12,3,-0.6135183173811782,-1.8582633989052668,0.1366133937620946,0.1,P3
invisible,20170710_13_14,3,-0.9795189047867318,-2.3635417732872623,0.8528184533505095,0.1,P3
invisible,20170710_15_16,3,-0.9252206682421793,-1.5467428154906295,-0.3648412836159877,0.1,P3
visible,20170706_01_02,3,-0.6715703667095427,-1.2502542848946314,-0.3021926080687059,0.1,P3
visible,20170706_03_04,3,1.2121038763771061,0.3200308987233096,1.8327364603886147,0.1,P3
visible,20170706_05_06,3,0.15189885129121566,-0.378044959024405,0.7662584525875927,0.1,P3
visible,20170706_11_12,3,0.5136901418560151,-0.0532619556233208,1.187199581802123,0.1,P3
visible,20170710_01_02,3,1.726446193110491,1.0313781121263468,2.9726629181786866,0.1,P3
visible,20170710_07_08,3,0.38475124677320915,0.1514394253346496,0.5796446020142407,0.1,P3
visible,20170714_01_02,3,0.3071296527241414,0.0935653923061953,0.7293563117035192,0.1,P3
visible,20170714_03_04,3,-0.21782249392221895,-1.0146231177978169,0.2967360276012964,0.1,P3
visible,20170714_05_06,3,0.6024973715690789,-0.023786131592018,1.6745608197811217,0.1,P3
visible,20170714_07_08,3,-0.23275341773707225,-1.746600738503784,0.5743022493879766,0.1,P3
