pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,null_type,jitter_w,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left
20170705_01_02_01,invisible,0.2,P1,0.0,20.0,10.0,15,11,1,jitter,0.35,8.0,0.6153846153846154,0.6129846153846155,0.08279662165596832,0.028986689939745337,0.678932106789321,0.6791320867913209
20170705_01_02_01,invisible,0.2,P1,0.0,20.0,10.0,15,11,1,jitter,0.5,8.0,0.6153846153846154,0.5506461538461539,0.0933358339725556,0.6936077900958937,0.39416058394160586,0.8727127287271272
20170705_01_02_01,invisible,0.2,P1,0.0,20.0,10.0,15,11,1,isi,,8.0,0.6153846153846154,0.696923076923077,0.07781415921385967,-1.0478614992724684,0.9334066593340666,0.276972302769723
20170705_01_02_01,invisible,0.2,P1,0.0,20.0,10.0,15,11,1,circ,,8.0,0.6153846153846154,0.5981307692307694,0.1083820775158156,0.15919464314870976,0.6556344365563443,0.6722327767223277
20170705_01_02_01,invisible,0.2,P2,20.0,60.0,40.0,55,44,1,jitter,0.35,31.0,0.6262626262626263,0.5801414141414142,0.04717531319164017,0.9776556635427944,0.22807719228077192,0.8858114188581142
20170705_01_02_01,invisible,0.2,P2,20.0,60.0,40.0,55,44,1,jitter,0.5,31.0,0.6262626262626263,0.5391151515151514,0.048100736340572166,1.8117700762507336,0.0524947505249475,0.9799020097990201
20170705_01_02_01,invisible,0.2,P2,20.0,60.0,40.0,55,44,1,isi,,31.0,0.6262626262626263,0.6090888888888889,0.051633783934879954,0.33260660104625983,0.46055394460553944,0.6982301769823017
20170705_01_02_01,invisible,0.2,P2,20.0,60.0,40.0,55,44,1,circ,,31.0,0.6262626262626263,0.5996545454545456,0.053921837327392697,0.49345649419411836,0.3584641535846415,0.7604239576042395
20170705_01_02_01,invisible,0.2,P3,60.0,180.0,119.0,140,133,1,jitter,0.35,74.0,0.5421245421245421,0.5319677655677655,0.030753403591795236,0.3302651209470145,0.41685831416858316,0.6717328267173283
20170705_01_02_01,invisible,0.2,P3,60.0,180.0,119.0,140,133,1,jitter,0.5,74.0,0.5421245421245421,0.4995428571428572,0.0313186888617949,1.3596254035279727,0.10918908109189081,0.929007099290071
20170705_01_02_01,invisible,0.2,P3,60.0,180.0,119.0,140,133,1,isi,,74.0,0.5421245421245421,0.5630556776556775,0.03627722519924719,-0.5769773023205151,0.7525247475252475,0.3163683631636836
20170705_01_02_01,invisible,0.2,P3,60.0,180.0,119.0,140,133,1,circ,,74.0,0.5421245421245421,0.5641421245421244,0.0354579612896224,-0.6209489101119386,0.7792220777922207,0.288971102889711
20170705_01_02_02,invisible,0.2,P1,0.0,20.0,12.8,18,16,1,jitter,0.35,9.0,0.5294117647058824,0.5955176470588236,0.08178939294450528,-0.8082451767039593,0.8789121087891211,0.3114688531146885
20170705_01_02_02,invisible,0.2,P1,0.0,20.0,12.8,18,16,1,jitter,0.5,9.0,0.5294117647058824,0.5724529411764706,0.08339500581684056,-0.5161121586239716,0.8147185281471853,0.42425757424257576
20170705_01_02_02,invisible,0.2,P1,0.0,20.0,12.8,18,16,1,isi,,9.0,0.5294117647058824,0.6784823529411765,0.08268060702382363,-1.8029692040400829,0.9808019198080192,0.07749225077492251
20170705_01_02_02,invisible,0.2,P1,0.0,20.0,12.8,18,16,1,circ,,9.0,0.5294117647058824,0.6165529411764706,0.09742583645228091,-0.8944360104444159,0.8978102189781022,0.29817018298170184
20170705_01_02_02,invisible,0.2,P2,20.0,60.0,40.0,54,42,1,jitter,0.35,27.0,0.5625,0.5405625,0.045834635528389345,0.4786227652320322,0.4056594340565943,0.7591240875912408
20170705_01_02_02,invisible,0.2,P2,20.0,60.0,40.0,54,42,1,jitter,0.5,27.0,0.5625,0.5147625,0.0483846056289322,0.9866257951156004,0.22377762223777622,0.8907109289071092
20170705_01_02_02,invisible,0.2,P2,20.0,60.0,40.0,54,42,1,isi,,27.0,0.5625,0.5732395833333334,0.051510900474256036,-0.2084914694648127,0.6714328567143286,0.48595140485951405
20170705_01_02_02,invisible,0.2,P2,20.0,60.0,40.0,54,42,1,circ,,27.0,0.5625,0.5859333333333333,0.054092493726630254,-0.43320859732885364,0.7446255374462554,0.3922607739226077
20170705_01_02_02,invisible,0.2,P3,60.0,180.0,119.6,151,149,1,jitter,0.35,90.0,0.6,0.5677786666666667,0.02781551812436854,1.1583941449253448,0.1468853114688531,0.9043095690430957
20170705_01_02_02,invisible,0.2,P3,60.0,180.0,119.6,151,149,1,jitter,0.5,90.0,0.6,0.5345553333333334,0.028165768079241045,2.3235534171319525,0.0143985601439856,0.9927007299270073
20170705_01_02_02,invisible,0.2,P3,60.0,180.0,119.6,151,149,1,isi,,90.0,0.6,0.6158586666666667,0.03337691624242397,-0.4751387621157588,0.7234276572342766,0.34526547345265474
