pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,null_type,jitter_w,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left
20170706_01_02_01,visible,0.1,P1,0.0,20.0,15.7,25,16,1,jitter,0.35,6.0,0.2926829268292683,0.3315609756097561,0.09151956642915199,-0.4248058671757857,0.7512248775122488,0.44345565443455653
20170706_01_02_01,visible,0.1,P1,0.0,20.0,15.7,25,16,1,jitter,0.2,6.0,0.2926829268292683,0.3122048780487805,0.08664210350657556,-0.2253171429295993,0.6902309769023097,0.5246475352464753
20170706_01_02_01,visible,0.1,P1,0.0,20.0,15.7,25,16,1,jitter,0.5,6.0,0.2926829268292683,0.3498780487804878,0.09128462446457326,-0.6265581119131012,0.8149185081491851,0.36426357364263573
20170706_01_02_01,visible,0.1,P1,0.0,20.0,15.7,25,16,1,isi,,6.0,0.2926829268292683,0.3161219512195122,0.08685032279228452,-0.26987837968434314,0.7054294570542946,0.5125487451254874
20170706_01_02_01,visible,0.1,P1,0.0,20.0,15.7,25,16,1,circ,,6.0,0.2926829268292683,0.3763121951219512,0.09840415616792064,-0.8498550421993835,0.8438156184381562,0.3160683931606839
20170706_01_02_01,visible,0.1,P2,20.0,60.0,40.0,62,39,1,jitter,0.35,22.0,0.43564356435643564,0.36037623762376236,0.0600216206243089,1.2540035732089152,0.140985901409859,0.9225077492250775
20170706_01_02_01,visible,0.1,P2,20.0,60.0,40.0,62,39,1,jitter,0.2,22.0,0.43564356435643564,0.3915702970297029,0.059721502129879714,0.7379798858857252,0.28757124287571245,0.8172182781721827
20170706_01_02_01,visible,0.1,P2,20.0,60.0,40.0,62,39,1,jitter,0.5,22.0,0.43564356435643564,0.3307782178217822,0.05538201351156007,1.8934910431301772,0.0418958104189581,0.9816018398160185
20170706_01_02_01,visible,0.1,P2,20.0,60.0,40.0,62,39,1,isi,,22.0,0.43564356435643564,0.35954653465346526,0.059320456652598885,1.282812607944354,0.12988701129887012,0.9273072692730727
20170706_01_02_01,visible,0.1,P2,20.0,60.0,40.0,62,39,1,circ,,22.0,0.43564356435643564,0.35896435643564356,0.07044513272168001,1.088495470989346,0.1708829117088291,0.8755124487551245
20170706_01_02_01,visible,0.1,P3,60.0,180.0,119.69999999999999,165,126,1,jitter,0.35,45.0,0.30927835051546393,0.34730240549828184,0.03432921832080667,-1.107629501711428,0.8868113188681132,0.1573842615738426
20170706_01_02_01,visible,0.1,P3,60.0,180.0,119.69999999999999,165,126,1,jitter,0.2,45.0,0.30927835051546393,0.33343230240549826,0.032995773701599174,-0.7320316871025118,0.8002199780021998,0.27107289271072893
