a_id,b_id,is_real,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,n_matched,S,z_S,p_right,p_left,sufficient
20170707_03_04_03,20170707_03_04_03,1,invisible,0.1,P2,20.0,60.0,39.99999999999999,65,53,29,0.4915254237288136,0.927697749371414,0.20777922207779223,0.8754124587541245,1
20170707_03_04_03,20170707_03_04_03,1,invisible,0.1,P3,60.0,180.0,114.4,173,130,48,0.31683168316831684,-1.962162563701437,0.9835016498350165,0.025997400259974,1
20170707_05_06_01,20170707_05_06_01,1,invisible,0.1,P1,0.0,20.0,20.0,22,18,4,0.2,-0.6780562203975782,0.8262173782621738,0.3341665833416658,1
20170707_05_06_01,20170707_05_06_01,1,invisible,0.1,P2,20.0,60.0,39.99999999999999,48,41,19,0.42696629213483145,1.4609279315726553,0.1040895910408959,0.9381061893810619,1
20170707_05_06_01,20170707_05_06_01,1,invisible,0.1,P3,60.0,180.0,104.80000000000001,110,101,30,0.2843601895734597,-0.3836021478025815,0.6997300269973002,0.3935606439356064,1
20170707_05_06_02,20170707_05_06_02,1,invisible,0.1,P1,0.0,20.0,20.0,25,20,6,0.26666666666666666,-0.7182974941825158,0.8272172782721727,0.33456654334566543,1
20170707_05_06_02,20170707_05_06_02,1,invisible,0.1,P2,20.0,60.0,39.99999999999999,50,44,15,0.3191489361702128,-0.40355814749259344,0.6934306569343066,0.40575942405759424,1
20170707_05_06_02,20170707_05_06_02,1,invisible,0.1,P3,60.0,180.0,108.20000000000002,123,112,34,0.28936170212765955,-0.9126798383713519,0.8428157184281572,0.22227777222277773,1
20170707_05_06_03,20170707_05_06_03,1,invisible,0.1,P1,0.0,20.0,20.0,29,25,11,0.4074074074074074,0.054129782054652034,0.5521447855214479,0.6052394760523948,1
20170707_05_06_03,20170707_05_06_03,1,invisible,0.1,P2,20.0,60.0,40.0,48,46,10,0.2127659574468085,-2.3255689922068754,0.9967003299670033,0.011198880111988802,1
20170707_05_06_03,20170707_05_06_03,1,invisible,0.1,P3,60.0,180.0,106.8,112,114,28,0.24778761061946902,-1.588384624998926,0.9521047895210479,0.06999300069993,1
20170707_07_08_01,20170707_07_08_01,1,invisible,0.1,P1,0.0,20.0,20.0,20,26,7,0.30434782608695654,-0.32555941986502845,0.7341265873412659,0.4537546245375462,1
20170707_07_08_01,20170707_07_08_01,1,invisible,0.1,P2,20.0,60.0,40.00000000000001,52,57,24,0.44036697247706424,0.5594734316803257,0.34266573342665735,0.7612238776122388,1
20170707_07_08_01,20170707_07_08_01,1,invisible,0.1,P3,60.0,180.0,109.29999999999998,132,164,65,0.4391891891891892,0.8674595285282563,0.21097890210978903,0.825917408259174,1
20170707_07_08_02,20170707_07_08_02,1,invisible,0.1,P1,0.0,20.0,20.0,23,37,12,0.4,-0.19552913132061223,0.6468353164683531,0.5375462453754625,1
20170707_07_08_02,20170707_07_08_02,1,invisible,0.1,P2,20.0,60.0,40.0,51,64,19,0.33043478260869563,-1.262027847198818,0.9132086791320868,0.142985701429857,1
