a_id,b_id,is_real,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,n_matched,S,z_S,p_right,p_left,sufficient
20170706_11_12_02,20170706_11_12_02,1,visible,0.1,P2,20.0,60.0,40.0,44,46,20,0.4444444444444444,1.0992877220885566,0.1678832116788321,0.8795120487951205,1
20170706_11_12_02,20170706_11_12_02,1,visible,0.1,P3,60.0,180.0,119.2,97,125,36,0.3243243243243243,1.187199581802123,0.1445855414458554,0.8977102289771023,1
20170706_11_12_03,20170706_11_12_03,1,visible,0.1,P1,0.0,20.0,13.9,15,16,4,0.2580645161290322,-0.4758445093521791,0.7257274272572742,0.4110588941105889,1
20170706_11_12_03,20170706_11_12_03,1,visible,0.1,P2,20.0,60.0,40.0,43,45,10,0.2272727272727272,-1.4781893305438218,0.9577042295770424,0.0760923907609239,1
20170706_11_12_03,20170706_11_12_03,1,visible,0.1,P3,60.0,180.0,119.3,113,135,38,0.3064516129032258,-0.0532619556233208,0.557044295570443,0.5238476152384761,1
20170710_01_02_01,20170710_01_02_01,1,visible,0.1,P1,0.0,20.0,15.0,20,23,8,0.3720930232558139,-0.4296648269504711,0.7201279872012799,0.3976602339766023,1
20170710_01_02_01,20170710_01_02_01,1,visible,0.1,P2,20.0,60.0,40.0,60,49,18,0.3302752293577982,-1.0433363810545973,0.8734126587341265,0.1994800519948005,1
20170710_01_02_01,20170710_01_02_01,1,visible,0.1,P3,60.0,180.0,118.0,162,153,80,0.5079365079365079,2.9726629181786866,0.0015998400159984,0.9991000899910008,1
20170710_01_02_02,20170710_01_02_02,1,visible,0.1,P1,0.0,20.0,14.3,27,21,12,0.5,0.2807390112463787,0.4564543545645435,0.6818318168183182,1
20170710_01_02_02,20170710_01_02_02,1,visible,0.1,P2,20.0,60.0,40.0,67,53,28,0.4666666666666667,0.5114714646038369,0.3805619438056194,0.7542245775422458,1
20170710_01_02_02,20170710_01_02_02,1,visible,0.1,P3,60.0,180.0,117.5,180,159,80,0.471976401179941,1.1752975490264397,0.1355864413558644,0.8948105189481051,1
20170710_01_02_03,20170710_01_02_03,1,visible,0.1,P1,0.0,20.0,14.8,24,22,12,0.5217391304347826,0.69347692335954,0.3260673932606739,0.782021797820218,1
20170710_01_02_03,20170710_01_02_03,1,visible,0.1,P2,20.0,60.0,40.0,69,54,27,0.4390243902439024,-0.2633063101908354,0.6506349365063494,0.4554544545545445,1
20170710_01_02_03,20170710_01_02_03,1,visible,0.1,P3,60.0,180.0,119.5,198,172,92,0.4972972972972973,1.0313781121263468,0.1740825917408259,0.8629137086291371,1
20170714_01_02_01,20170714_01_02_01,1,visible,0.1,P1,0.0,20.0,15.0,26,21,12,0.5106382978723404,0.7694205964532086,0.3028697130286971,0.8407159284071593,1
20170714_01_02_01,20170714_01_02_01,1,visible,0.1,P2,20.0,60.0,40.0,60,63,27,0.4390243902439024,-0.2532312671289241,0.6297370262973703,0.470952904709529,1
20170714_01_02_01,20170714_01_02_01,1,visible,0.1,P3,60.0,180.0,119.1,165,177,74,0.4327485380116959,0.0935653923061953,0.5124487551244875,0.5454454554544546,1
20170714_01_02_02,20170714_01_02_02,1,visible,0.1,P1,0.0,20.0,13.9,23,24,8,0.3404255319148936,-1.4666475189293182,0.945905409459054,0.1172882711728827,1
20170714_01_02_02,20170714_01_02_02,1,visible,0.1,P2,20.0,60.0,40.0,65,59,32,0.5161290322580645,0.743580039436806,0.2820717928207179,0.8008199180081992,1
20170714_01_02_02,20170714_01_02_02,1,visible,0.1,P3,60.0,180.0,118.7,157,198,83,0.4676056338028169,0.7293563117035192,0.2535746425357464,0.7793220677932207,1
20170714_01_02_03,20170714_01_02_03,1,visible,0.1,P1,0.0,20.0,14.9,24,26,14,0.56,0.8388423554442939,0.2762723727627237,0.8455154484551545,1
20170714_01_02_03,20170714_01_02_03,1,visible,0.1,P2,20.0,60.0,40.0,53,65,27,0.4576271186440678,0.4405066824002268,0.3995600439956004,0.7304269573042695,1
20170714_01_02_03,20170714_01_02_03,1,visible,0.1,P3,60.0,180.0,118.8,170,199,86,0.4661246612466124,0.0984672541627097,0.4938506149385061,0.5525447455254474,1
20170714_03_04_01,20170714_03_04_01,1,visible,0.1,P1,0.0,20.0,16.1,19,24,8,0.3720930232558139,-0.185421308232919,0.6447355264473552,0.4956504349565043,1
20170714_03_04_01,20170714_03_04_01,1,visible,0.1,P2,20.0,60.0,40.0,46,58,16,0.3076923076923077,-1.1275481364572146,0.8895110488951105,0.1655834416558344,1
20170714_03_04_01,20170714_03_04_01,1,visible,0.1,P3,60.0,180.0,119.2,140,130,46,0.3407407407407407,0.0644196084298636,0.4985501449855014,0.5588441155884412,1
20170714_03_04_02,20170714_03_04_02,1,visible,0.1,P1,0.0,20.0,14.5,18,22,8,0.4,0.0677944893226954,0.5575442455754425,0.6147385261473852,1
20170714_03_04_02,20170714_03_04_02,1,visible,0.1,P2,20.0,60.0,40.0,52,57,21,0.3853211009174312,-0.2569307564010218,0.6299370062993701,0.4741525847415258,1
20170714_03_04_02,20170714_03_04_02,1,visible,0.1,P3,60.0,180.0,119.4,148,145,47,0.3208191126279863,-1.0146231177978169,0.8596140385961404,0.1867813218678132,1
20170714_03_04_03,20170714_03_04_03,1,visible,0.1,P1,0.0,20.0,14.8,19,22,13,0.6341463414634146,2.283576672531628,0.0220977902209779,0.9927007299270072,1
20170714_03_04_03,20170714_03_04_03,1,visible,0.1,P2,20.0,60.0,40.0,41,53,17,0.3617021276595745,0.2356963693306354,0.4700529947005299,0.6604339566043396,1
20170714_03_04_03,20170714_03_04_03,1,visible,0.1,P3,60.0,180.0,118.6,156,167,68,0.4210526315789473,0.2967360276012964,0.4144585541445855,0.642035796420358,1
20170714_05_06_01,20170714_05_06_01,1,visible,0.1,P1,0.0,20.0,14.8,19,14,4,0.2424242424242424,-0.7086383393779706,0.8192180781921807,0.3412658734126587,1
20170714_05_06_01,20170714_05_06_01,1,visible,0.1,P2,20.0,60.0,40.0,61,41,14,0.2745098039215686,-1.614507248939545,0.9645035496450356,0.064993500649935,1
20170714_05_06_01,20170714_05_06_01,1,visible,0.1,P3,60.0,180.0,119.3,156,123,57,0.4086021505376344,1.6745608197811217,0.0607939206079392,0.961903809619038,1
20170714_05_06_02,20170714_05_06_02,1,visible,0.1,P1,0.0,20.0,15.6,23,11,2,0.1176470588235294,-1.6127284748773916,0.9751024897510248,0.0925907409259074,1
20170714_05_06_02,20170714_05_06_02,1,visible,0.1,P2,20.0,60.0,40.0,53,39,18,0.391304347826087,0.7983980572713691,0.2734726527347265,0.8331166883311669,1
20170714_05_06_02,20170714_05_06_02,1,visible,0.1,P3,60.0,180.0,119.3,173,141,61,0.3885350318471338,-0.023786131592018,0.5454454554544546,0.5209479052094791,1
20170714_05_06_03,20170714_05_06_03,1,visible,0.1,P1,0.0,20.0,15.4,23,19,9,0.4285714285714285,0.2230942366538772,0.5044495550444955,0.6966303369663034,1
20170714_05_06_03,20170714_05_06_03,1,visible,0.1,P2,20.0,60.0,40.0,55,59,28,0.4912280701754385,0.94639822017644,0.2055794420557944,0.844015598440156,1
20170714_05_06_03,20170714_05_06_03,1,visible,0.1,P3,60.0,180.0,119.4,180,141,64,0.3987538940809969,0.1567174265181329,0.4763523647635236,0.5902409759024098,1
20170714_07_08_01,20170714_07_08_01,1,visible,0.1,P1,0.0,20.0,15.0,19,17,6,0.3333333333333333,-0.1051861722125942,0.6283371662833717,0.5752424757524247,1
20170714_07_08_01,20170714_07_08_01,1,visible,0.1,P2,20.0,60.0,40.0,43,41,13,0.3095238095238095,-0.0772879465368105,0.6051394860513949,0.523947605239476,1
20170714_07_08_01,20170714_07_08_01,1,visible,0.1,P3,60.0,180.0,119.6,123,98,22,0.1990950226244343,-1.746600738503784,0.9728027197280272,0.0518948105189481,1
20170714_07_08_02,20170714_07_08_02,1,visible,0.1,P1,0.0,20.0,13.6,17,17,7,0.4117647058823529,0.4836900063386399,0.4313568643135686,0.7844215578442156,1
20170714_07_08_02,20170714_07_08_02,1,visible,0.1,P2,20.0,60.0,40.0,48,39,14,0.3218390804597701,-0.0140830092126104,0.5760423957604239,0.5457454254574543,1
20170714_07_08_02,20170714_07_08_02,1,visible,0.1,P3,60.0,180.0,117.1,150,101,41,0.3266932270916334,0.4740382359045907,0.3558644135586441,0.7192280771922808,1
20170714_07_08_03,20170714_07_08_03,1,visible,0.1,P1,0.0,20.0,15.1,20,16,2,0.1111111111111111,-2.045522421279553,0.9948005199480052,0.0307969203079692,1
20170714_07_08_03,20170714_07_08_03,1,visible,0.1,P2,20.0,60.0,40.0,49,44,16,0.3440860215053763,-0.0435661863867687,0.5672432756724327,0.5480451954804519,1
20170714_07_08_03,20170714_07_08_03,1,visible,0.1,P3,60.0,180.0,119.5,140,117,44,0.3424124513618677,0.5743022493879766,0.3013698630136986,0.7633236676332367,1
20170706_01_02_01,20170706_01_02_03,0,visible,0.1,P1,0.0,20.0,15.0,24,18,9,0.4285714285714285,0.3201397147344435,0.4551544845515448,0.7012298770122988,1
20170706_01_02_01,20170706_01_02_03,0,visible,0.1,P2,20.0,60.0,40.0,62,42,23,0.4423076923076923,0.9782038750774784,0.2223777622237776,0.8801119888011198,1
20170706_01_02_01,20170706_01_02_03,0,visible,0.1,P3,60.0,180.0,119.6,164,108,50,0.3676470588235294,1.063246163515322,0.1731826817318268,0.8693130686931307,1
20170706_01_02_01,20170706_03_04_02,0,visible,0.1,P1,0.0,20.0,15.3,25,22,8,0.3404255319148936,-0.9512201887049392,0.8596140385961404,0.2554744525547445,1
20170706_01_02_01,20170706_03_04_02,0,visible,0.1,P2,20.0,60.0,40.0,62,53,21,0.3652173913043478,-0.7627047138940134,0.7876212378762124,0.2644735526447355,1
20170706_01_02_01,20170706_03_04_02,0,visible,0.1,P3,60.0,180.0,119.3,164,157,72,0.4485981308411215,1.1782058097750951,0.1414858514148585,0.8928107189281071,1
20170706_01_02_01,20170706_05_06_01,0,visible,0.1,P1,0.0,20.0,15.5,25,19,10,0.4545454545454545,0.6333161554736255,0.3515648435156484,0.8033196680331967,1
20170706_01_02_01,20170706_05_06_01,0,visible,0.1,P2,20.0,60.0,40.0,62,44,24,0.4528301886792453,0.966168897629752,0.2098790120987901,0.8572142785721428,1
20170706_01_02_01,20170706_05_06_01,0,visible,0.1,P3,60.0,180.0,119.7,165,131,57,0.3851351351351351,0.4769659507178808,0.3437656234376562,0.724027597240276,1
20170706_01_02_01,20170706_11_12_02,0,visible,0.1,P1,0.0,20.0,15.6,25,21,14,0.6086956521739131,1.3683512366963508,0.1270872912708729,0.938106189381062,1
20170706_01_02_01,20170706_11_12_02,0,visible,0.1,P2,20.0,60.0,40.0,62,46,21,0.3888888888888889,-0.1187826972691469,0.5824417558244176,0.5269473052694731,1
20170706_01_02_01,20170706_11_12_02,0,visible,0.1,P3,60.0,180.0,119.7,165,126,58,0.3986254295532646,1.023467979571585,0.1763823617638236,0.8625137486251375,1
20170706_01_02_01,20170710_01_02_01,0,visible,0.1,P1,0.0,20.0,15.0,24,23,11,0.4680851063829787,0.1177761744582578,0.5501449855014499,0.6512348765123488,1
20170706_01_02_01,20170710_01_02_01,0,visible,0.1,P2,20.0,60.0,40.0,62,49,26,0.4684684684684684,0.8377997424295104,0.2248775122487751,0.8412158784121588,1
20170706_01_02_01,20170710_01_02_01,0,visible,0.1,P3,60.0,180.0,119.7,165,155,66,0.4125,0.3286344918517841,0.418958104189581,0.6382361763823617,1
20170706_01_02_01,20170710_01_02_02,0,visible,0.1,P1,0.0,20.0,14.3,23,21,10,0.4545454545454545,0.0883362017023122,0.5564443555644436,0.5828417158284172,1
20170706_01_02_01,20170710_01_02_02,0,visible,0.1,P2,20.0,60.0,40.0,62,53,21,0.3652173913043478,-0.9099435582575484,0.8447155284471553,0.2148785121487851,1
20170706_01_02_01,20170710_01_02_02,0,visible,0.1,P3,60.0,180.0,119.7,165,163,78,0.4756097560975609,1.6895622564993733,0.0620937906209379,0.9497050294970504,1
20170706_01_02_01,20170710_01_02_03,0,visible,0.1,P1,0.0,20.0,14.8,24,22,14,0.6086956521739131,1.5073175345505012,0.110988901109889,0.9585041495850416,1
20170706_01_02_01,20170710_01_02_03,0,visible,0.1,P2,20.0,60.0,40.0,62,54,34,0.5862068965517241,2.1597202627096173,0.0188981101889811,0.9858014198580142,1
20170706_01_02_01,20170710_01_02_03,0,visible,0.1,P3,60.0,180.0,119.5,164,172,67,0.3988095238095238,-0.5035421732006422,0.7041295870412959,0.3430656934306569,1
20170706_01_02_01,20170714_01_02_01,0,visible,0.1,P1,0.0,20.0,15.0,24,21,6,0.2666666666666666,-1.3977268775036509,0.9486051394860514,0.1244875512448755,1
20170706_01_02_01,20170714_01_02_01,0,visible,0.1,P2,20.0,60.0,40.0,62,63,34,0.544,1.019357751688657,0.1737826217378262,0.8591140885911409,1
20170706_01_02_01,20170714_01_02_01,0,visible,0.1,P3,60.0,180.0,119.1,163,177,62,0.3647058823529411,-1.6548943494339474,0.9595040495950404,0.0553944605539446,1
20170706_01_02_01,20170714_03_04_01,0,visible,0.1,P1,0.0,20.0,16.7,26,25,12,0.4705882352941176,0.219438397360035,0.4818518148185181,0.6193380661933806,1
20170706_01_02_01,20170714_03_04_01,0,visible,0.1,P2,20.0,60.0,40.0,62,58,25,0.4166666666666667,-0.4588494074820327,0.6862313768623137,0.384961503849615,1
20170706_01_02_01,20170714_03_04_01,0,visible,0.1,P3,60.0,180.0,119.2,163,130,65,0.4436860068259385,2.0900880492990055,0.0261973802619738,0.9876012398760124,1
20170706_01_02_01,20170714_03_04_02,0,visible,0.1,P1,0.0,20.0,14.5,23,22,6,0.2666666666666666,-1.7985603837427293,0.9851014898510148,0.0587941205879412,1
20170706_01_02_01,20170714_03_04_02,0,visible,0.1,P2,20.0,60.0,40.0,62,57,31,0.5210084033613446,1.2655957915629894,0.1241875812418758,0.9107089291070892,1
