t_center,t_center_abs,S,S_null_mean,S_null_sd,z_S_t,S_excess,nA,nB,nM,dt,episode
9.5,9.5,0.625,0.47510789803591663,0.22449763658606395,0.6676778617516553,0.14989210196408337,8.0,8.0,5.0,0.0,0
9.5,9.5,0.625,0.47510789803591663,0.22449763658606395,0.6676778617516553,0.14989210196408337,8.0,8.0,5.0,0.0,0
9.5,9.5,0.625,0.47510789803591663,0.22449763658606395,0.6676778617516553,0.14989210196408337,8.0,8.0,5.0,0.09999999999999964,0
9.5,9.5,0.625,0.47510789803591663,0.22449763658606395,0.6676778617516553,0.14989210196408337,8.0,8.0,5.0,-0.09999999999999964,0
9.5,9.5,0.625,0.47510789803591663,0.22449763658606395,0.6676778617516553,0.14989210196408337,8.0,8.0,5.0,0.09999999999999964,0
10.5,10.5,0.625,0.49772172579742235,0.2131447676277452,0.597144727591285,0.12727827420257765,7.0,9.0,5.0,0.0,0
10.5,10.5,0.625,0.49772172579742235,0.2131447676277452,0.597144727591285,0.12727827420257765,7.0,9.0,5.0,0.0,0
10.5,10.5,0.625,0.49772172579742235,0.2131447676277452,0.597144727591285,0.12727827420257765,7.0,9.0,5.0,0.09999999999999964,0
10.5,10.5,0.625,0.49772172579742235,0.2131447676277452,0.597144727591285,0.12727827420257765,7.0,9.0,5.0,-0.09999999999999964,0
10.5,10.5,0.625,0.49772172579742235,0.2131447676277452,0.597144727591285,0.12727827420257765,7.0,9.0,5.0,0.09999999999999964,0
11.5,11.5,0.4,0.4718448655919244,0.20891485887304914,-0.34389543175376625,-0.07184486559192438,8.0,7.0,3.0,-0.09999999999999964,0
11.5,11.5,0.4,0.4718448655919244,0.20891485887304914,-0.34389543175376625,-0.07184486559192438,8.0,7.0,3.0,0.09999999999999964,0
11.5,11.5,0.4,0.4718448655919244,0.20891485887304914,-0.34389543175376625,-0.07184486559192438,8.0,7.0,3.0,-0.20000000000000107,0
12.5,12.5,0.42857142857142855,0.4737805620849738,0.21262959705014986,-0.212619193850433,-0.045209133513545274,8.0,6.0,3.0,0.09999999999999964,0
12.5,12.5,0.42857142857142855,0.4737805620849738,0.21262959705014986,-0.212619193850433,-0.045209133513545274,8.0,6.0,3.0,-0.20000000000000107,0
12.5,12.5,0.42857142857142855,0.4737805620849738,0.21262959705014986,-0.212619193850433,-0.045209133513545274,8.0,6.0,3.0,-0.1999999999999993,0
13.5,13.5,0.4,0.4411892107892108,0.22711576489760624,-0.18135777940285513,-0.041189210789210784,10.0,5.0,3.0,-0.20000000000000107,0
13.5,13.5,0.4,0.4411892107892108,0.22711576489760624,-0.18135777940285513,-0.041189210789210784,10.0,5.0,3.0,-0.1999999999999993,0
13.5,13.5,0.4,0.4411892107892108,0.22711576489760624,-0.18135777940285513,-0.041189210789210784,10.0,5.0,3.0,0.0,0
14.5,14.5,0.4,0.44379794372294373,0.2305450223859808,-0.18997566405756855,-0.04379794372294371,10.0,5.0,3.0,-0.20000000000000107,0
14.5,14.5,0.4,0.44379794372294373,0.2305450223859808,-0.18997566405756855,-0.04379794372294371,10.0,5.0,3.0,-0.1999999999999993,0
14.5,14.5,0.4,0.44379794372294373,0.2305450223859808,-0.18997566405756855,-0.04379794372294371,10.0,5.0,3.0,0.0,0
15.5,15.5,0.5333333333333333,0.3860856421356421,0.2259382592958666,0.651716498376975,0.1472476911976912,11.0,4.0,4.0,-0.20000000000000107,0
15.5,15.5,0.5333333333333333,0.3860856421356421,0.2259382592958666,0.651716498376975,0.1472476911976912,11.0,4.0,4.0,-0.1999999999999993,0
15.5,15.5,0.5333333333333333,0.3860856421356421,0.2259382592958666,0.651716498376975,0.1472476911976912,11.0,4.0,4.0,0.0,0
15.5,15.5,0.5333333333333333,0.3860856421356421,0.2259382592958666,0.651716498376975,0.1472476911976912,11.0,4.0,4.0,0.09999999999999787,0
16.5,16.5,0.46153846153846156,0.3266817349317349,0.21772169701774563,0.6193995750259792,0.13485672660672665,10.0,3.0,3.0,-0.1999999999999993,0
16.5,16.5,0.46153846153846156,0.3266817349317349,0.21772169701774563,0.6193995750259792,0.13485672660672665,10.0,3.0,3.0,0.0,0
16.5,16.5,0.46153846153846156,0.3266817349317349,0.21772169701774563,0.6193995750259792,0.13485672660672665,10.0,3.0,3.0,0.09999999999999787,0
