t_center,S,nA,nB,nM,S_null_mean,S_null_sd,z_S_t,S_excess,episode
3.5,0.782608695652174,13,10,9,0.7047514719946002,0.08962762187767533,0.8686744334668844,0.07785722365757375,0
4.5,0.7692307692307693,14,12,10,0.6846062047493195,0.0933754847399529,0.9062824650080892,0.08462456448144973,0
5.5,0.8275862068965517,15,14,12,0.6547192141698158,0.101437808912969,1.7041672585322825,0.1728669927267359,1
6.5,0.8571428571428571,14,14,12,0.6606351476860038,0.09753461452504493,2.014748409205985,0.19650770945685325,1
7.5,0.8888888888888888,13,14,12,0.6517246229530629,0.09623391727224957,2.464456115455415,0.23716426593582596,1
8.5,0.9230769230769231,13,13,12,0.6832671260888645,0.09741143715536797,2.461823826760404,0.2398097969880586,1
9.5,0.88,14,11,11,0.7214040147373005,0.10036274750394912,1.5802276163918187,0.15859598526269947,1
10.5,0.8,14,11,10,0.7009893398642307,0.09468910979887454,1.0456393596483693,0.09901066013576931,0
11.5,0.6923076923076923,14,12,9,0.6659746577265482,0.09102353491298572,0.2892991862633908,0.02633303458114411,0
12.5,0.7142857142857143,15,13,10,0.6415831849840531,0.0867969693256518,0.8376159889741087,0.07270252930166121,0
13.5,0.6896551724137931,15,14,10,0.6421766707829892,0.09486648054032534,0.5004771059322898,0.047478501630803915,0
14.5,0.7333333333333333,14,16,11,0.6096823918175689,0.09531788800929393,1.2972480202636032,0.12365094151576439,0
15.5,0.7586206896551724,13,16,11,0.6121648600784465,0.09704723604059314,1.5091190182424772,0.14645582957672587,0
16.5,0.7586206896551724,14,15,11,0.6317724056116079,0.09553294569584794,1.3277962185675345,0.12684828404356452,0
17.5,0.6428571428571429,14,14,9,0.6395352891491133,0.09582732722866243,0.03466499383941951,0.0033218537080296207,0
18.5,0.6428571428571429,14,14,9,0.6339552949062573,0.0963495655367276,0.09239115818838071,0.008901847950885555,0
19.5,0.6206896551724138,14,15,9,0.6037133399396486,0.09757859379227113,0.17397581347508465,0.016976315232765216,0
20.5,0.5185185185185185,12,15,7,0.6084343144118098,0.09752508210568506,-0.9219761106773768,-0.08991579589329135,0
21.5,0.6153846153846154,11,15,8,0.6234794808293663,0.09963911579306799,-0.08124184342986793,-0.00809486544475091,0
22.5,0.72,10,15,9,0.6217398065367535,0.09351292790946426,1.0507658744080637,0.09826019346324644,0
23.5,0.7272727272727273,8,14,8,0.6499436406906834,0.09509515508862604,0.8131758816732071,0.07732908658204385,0
24.5,0.6666666666666666,6,12,6,0.712706745760185,0.09573696803084517,-0.48090178789331284,-0.04604007909351837,0
25.5,0.7777777777777778,8,10,7,0.7525558536713134,0.09198596608499462,0.27419317511064084,0.0252219241064644,0
26.5,0.75,7,9,6,0.7574592608715673,0.10319833175048104,-0.07228082804286777,-0.007459260871567341,0
27.5,0.7777777777777778,8,10,7,0.7576343944086306,0.09459149035296374,0.2129513267417939,0.020143383369147227,0
28.5,0.75,7,9,6,0.7965550315346249,0.10185386469597679,-0.45707673119313497,-0.046555031534624924,0
29.5,0.8235294117647058,8,9,7,0.7779987586825015,0.0986814985648444,0.4613899641206384,0.045530653082204386,0
30.5,0.7777777777777778,8,10,7,0.7988459729674463,0.09363016793483804,-0.22501503152628044,-0.021068195189668515,0
31.5,0.8421052631578947,9,10,8,0.8005784817009914,0.09289903389532696,0.4470098311645859,0.04152678145690325,0
32.5,0.7368421052631579,9,10,7,0.7951936557392744,0.09603539634184881,-0.6076046197425748,-0.05835155047611651,0
33.5,0.7058823529411765,9,8,6,0.7347927287882396,0.11123106739866404,-0.2599127790749796,-0.02891037584706313,0
34.5,0.8888888888888888,9,9,8,0.7342930064420407,0.10304575894799385,1.5002643876384196,0.1545958824468482,0
35.5,0.8235294117647058,8,9,7,0.7330065885386655,0.10211077653219548,0.8865158634602932,0.09052282322604033,0
36.5,0.8235294117647058,8,9,7,0.739436310984524,0.10144461451850015,0.8289557920775187,0.08409310078018184,0
37.5,0.75,7,9,6,0.721537349464971,0.10644298899683727,0.26739807669131466,0.028462650535029055,0
38.5,0.6666666666666666,6,12,6,0.7269982631046582,0.10392620898119644,-0.5805234024162998,-0.060331596437991575,0
39.5,0.7142857142857143,5,9,5,0.7354727325313742,0.1051572413771721,-0.20147940330297873,-0.02118701824565994,0
40.5,0.7142857142857143,5,9,5,0.7725877217680691,0.10084960309933046,-0.5781084475357928,-0.05830200748235481,0
41.5,0.7142857142857143,5,9,5,0.7631436614756745,0.09658335334019305,-0.5058630240127311,-0.04885794718996017,0
42.5,0.875,7,9,7,0.763560601834414,0.09770743333499111,1.140541659543084,0.11143939816558601,0
43.5,0.875,8,8,7,0.7506458839663948,0.09998330438932414,1.2437488117954554,0.12435411603360524,0
44.5,0.8888888888888888,8,10,8,0.7899686503315861,0.09763624794101132,1.0131507574632233,0.0989202385573027,0
45.5,0.8235294117647058,7,10,7,0.7901260875638921,0.09913834369097871,0.33693647641455715,0.03340332420081371,0
46.5,0.8888888888888888,8,10,8,0.7993188704346162,0.0991485291182873,0.9033923069843302,0.08957001845427259,0
47.5,0.75,6,10,6,0.8000981078335971,0.0980448728189525,-0.510971215456694,-0.05009810783359714,0
48.5,0.7142857142857143,5,9,5,0.7780454631748952,0.09997661741167968,-0.6377466105562821,-0.0637597488891809,0
49.5,0.7692307692307693,5,8,5,0.7683219570419262,0.0967113634625773,0.009397160336745288,0.0009088121888430889,0
50.5,0.8,6,9,6,0.7346877398987844,0.09249653059719636,0.706104971500361,0.0653122601012156,0
51.5,0.7142857142857143,5,9,5,0.7278415918084549,0.09635918517092186,-0.1406806989774266,-0.013555877522740567,0
52.5,0.875,7,9,7,0.7370379168478879,0.09749053030155713,1.415133169604972,0.1379620831521121,0
53.5,0.8235294117647058,7,10,7,0.7588323286179728,0.10509703712748582,0.6155937875608575,0.06469708314673306,0
54.5,0.8421052631578947,8,11,8,0.7609336024621346,0.10353399929872592,0.7840097093280061,0.0811716606957601,0
55.5,0.8421052631578947,8,11,8,0.7620754309055984,0.09872571145885213,0.8106280630416316,0.08002983225229632,0
56.5,0.8421052631578947,8,11,8,0.749512335077988,0.09831154398763324,0.9418316946741688,0.09259292807990671,0
57.5,0.8421052631578947,8,11,8,0.7542605737635183,0.09687996664888214,0.9067374033348721,0.0878446893943764,0
58.5,0.9473684210526315,9,10,9,0.7903085002507402,0.09748739351482247,1.611079290759899,0.15705992080189135,0
59.5,0.875,8,8,7,0.7262877896527278,0.10798013550473537,1.3772182230753969,0.14871221034727222,0
60.5,0.8,8,7,6,0.687813343321625,0.10462685603373792,1.0722548772965077,0.11218665667837502,0
61.5,0.75,8,8,6,0.701268673019447,0.10198200953027682,0.4778423881330314,0.04873132698055305,0
62.5,0.7142857142857143,7,7,5,0.7410413680574671,0.10652342255099792,-0.251171555804486,-0.02675565377175282,0
63.5,0.5714285714285714,7,7,4,0.7144574274710498,0.11059424047734187,-1.2932758109748184,-0.1430288560424784,0
64.5,0.5714285714285714,5,9,4,0.7987535520569677,0.09702926317602849,-2.3428497052068513,-0.22732498062839634,0
65.5,0.7142857142857143,5,9,5,0.813235742110823,0.10035507408995163,-0.985999250385849,-0.09895002782510864,0
66.5,0.7142857142857143,5,9,5,0.8170604944736692,0.10234253868116307,-1.0042234784515016,-0.10277478018795494,0
67.5,0.7692307692307693,5,8,5,0.8147127174339248,0.10599175062344054,-0.4291083781108622,-0.04548194820315554,0
68.5,0.7142857142857143,6,8,5,0.8091705188258596,0.10718632896239243,-0.8852323375440602,-0.09488480454014525,0
69.5,0.6666666666666666,7,8,5,0.7825949141244034,0.11161948975666237,-1.0386021985091294,-0.11592824745773678,0
70.5,0.75,7,9,6,0.7791100786475904,0.10428933043476753,-0.27912806157863507,-0.02911007864759041,0
71.5,0.75,7,9,6,0.7754811649430272,0.10452321779827958,-0.24378473491127656,-0.025481164943027212,0
72.5,0.8235294117647058,7,10,7,0.7892960448638872,0.10406711974975051,0.3289546879277473,0.034233366900818685,0
73.5,0.8235294117647058,7,10,7,0.7874772010172266,0.09634575937875033,0.37419613462957213,0.03605221074747922,0
74.5,0.8235294117647058,7,10,7,0.7987202652087596,0.09781521063837353,0.253632808169954,0.024809146555946238,0
75.5,0.7142857142857143,6,8,5,0.7574047679788392,0.10409295818237295,-0.4142360294687697,-0.043119053693124854,0
76.5,0.7142857142857143,6,8,5,0.7738659169691677,0.0967085229694898,-0.6160801639194734,-0.05958020268345343,0
77.5,0.75,7,9,6,0.7322992270999068,0.09194087753821985,0.1925234278162614,0.017700772900093198,0
78.5,0.6666666666666666,6,9,5,0.7273016442285523,0.09435125423175408,-0.6426515265281849,-0.06063497756188563,0
79.5,0.75,7,9,6,0.6891761324659695,0.10346975232559066,0.5878420134092386,0.06082386753403046,0
80.5,0.8421052631578947,8,11,8,0.76021018743771,0.10078498840801979,0.812572159939526,0.08189507572018473,0
81.5,0.8888888888888888,8,10,8,0.7858673494488342,0.0995589832200242,1.0347789431756071,0.10302153944005465,0
82.5,0.875,8,8,7,0.8051967740721612,0.10313744636555501,0.6767980824387672,0.06980322592783883,0
83.5,0.7777777777777778,9,9,7,0.7408194742507908,0.09279294801001728,0.3982878475096758,0.036958303526987035,0
84.5,0.7058823529411765,8,9,6,0.7377763995916439,0.09185069785646219,-0.34723793498345684,-0.031894046650467356,0
85.5,0.7058823529411765,8,9,6,0.7428979239464264,0.09641934645421994,-0.3839019073088712,-0.03701557100524988,0
86.5,0.7777777777777778,9,9,7,0.7514615146291617,0.09974459802966981,0.2638364750418679,0.026316263148616126,0
87.5,0.8421052631578947,9,10,8,0.7605236921971107,0.0992421807045315,0.8220453277187902,0.081581570960784,0
88.5,0.8421052631578947,8,11,8,0.7616159703975898,0.09802070657542834,0.8211458126795612,0.08048929276030492,0
89.5,1.0,9,9,9,0.8141195561527806,0.10162517531036123,1.8290787029842186,0.18588044384721936,0
90.5,0.8888888888888888,8,10,8,0.7613875146801717,0.09270949569642585,1.3752784787678718,0.1275013742087171,0
91.5,0.9411764705882353,8,9,8,0.7686617277100787,0.09721675304746212,1.7745371807874852,0.1725147428781566,0
92.5,0.9411764705882353,8,9,8,0.7869043492537436,0.10200619579061462,1.5123799112277638,0.15427212133449164,0
93.5,0.75,6,10,6,0.770456818604288,0.1070724721653988,-0.19105581659390147,-0.020456818604288052,0
94.5,0.5333333333333333,4,11,4,0.7562869323914296,0.0959915448250045,-2.32263788924897,-0.2229535990580963,0
95.5,0.6666666666666666,5,10,5,0.7813988376376619,0.09261198959799796,-1.238847923136245,-0.1147321709709953,0
96.5,0.5714285714285714,4,10,4,0.783724706386478,0.09569865647024899,-2.2183815613326363,-0.21229613495790656,0
97.5,0.46153846153846156,3,10,3,0.7826121245063398,0.10103935617551345,-3.177708915822341,-0.3210736629678782,0
98.5,0.6153846153846154,4,9,4,0.7492770996868554,0.10369116837535582,-1.2912621817275434,-0.13389248430224,0
99.5,0.8571428571428571,6,8,6,0.758969491550761,0.1035136928598195,0.9484094604280481,0.0981733655920961,0
100.5,0.7692307692307693,5,8,5,0.7508745774349489,0.09964847338623582,0.18420946324658766,0.018356191795820376,0
101.5,0.8235294117647058,7,10,7,0.7147204648259265,0.09580226620885367,1.1357658982885688,0.1088089469387793,0
102.5,0.8888888888888888,8,10,8,0.7400168627669873,0.09977265340351485,1.4921125282677605,0.14887202612190154,0
103.5,0.8,8,12,8,0.7244279507499873,0.09455205914006237,0.7992639180714818,0.07557204925001271,0
104.5,0.9,9,11,9,0.7527913879065252,0.09299501774158259,1.5829731061780385,0.1472086120934748,0
105.5,0.8421052631578947,8,11,8,0.7606495368740381,0.09659085762120569,0.8433067920702845,0.08145572628385656,0
106.5,0.8888888888888888,8,10,8,0.7965046455533668,0.09461529779553954,0.9764197279721226,0.09238424333552209,0
107.5,0.8888888888888888,8,10,8,0.7889990991703739,0.09450405358917587,1.0569894721421338,0.09988978971851492,0
108.5,0.8235294117647058,8,9,7,0.7793929407795506,0.09884408487402946,0.44652617343166684,0.044136470985155274,0
109.5,0.75,7,9,6,0.7833939640764853,0.10209940171588373,-0.3270730632625262,-0.033393964076485316,0
110.5,0.5333333333333333,5,10,4,0.7449249205756778,0.10151860959480463,-2.084264038749926,-0.2115915872423445,0
111.5,0.42857142857142855,4,10,3,0.7457533655445825,0.10321644226944161,-3.072978781279494,-0.31718193697315394,0
