n_A,n_B,n_matched,z_S,p_S,ETR,Max_episode,T_overlap,timeline_csv,file_a,file_b,condition
227,202,162,0.94313815,0.202579742,0.04494382,4,178,out/pair_20170705_01_02_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_01_B.csv,invisible_pair_Human
248,223,179,0.646817425,0.303769623,0,0,178.6,out/pair_20170705_01_02_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_02_B.csv,invisible_pair_Human
226,240,173,-0.189195596,0.620037996,0.016787913,3,178.7,out/pair_20170705_01_02_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_01_02_03_B.csv,invisible_pair_Human
247,261,186,1.402191865,0.094190581,0,0,178.8,out/pair_20170705_03_04_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_01_B.csv,invisible_pair_Human
290,273,212,1.48458254,0.088691131,0,0,178.6,out/pair_20170705_03_04_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_02_B.csv,invisible_pair_Human
280,299,229,2.753813712,0.00429957,0.016872891,3,177.8,out/pair_20170705_03_04_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170705_03_04_03_B.csv,invisible_pair_Human
259,267,202,2.944450649,0.00489951,0.050647158,9,177.7,out/pair_20170707_01_02_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_01_B.csv,invisible_pair_Human
254,283,198,1.924298621,0.04579542,0,0,173.2,out/pair_20170707_01_02_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_02_B.csv,invisible_pair_Human
274,316,221,1.777485407,0.04149585,0.033594625,6,178.6,out/pair_20170707_01_02_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_01_02_03_B.csv,invisible_pair_Human
294,216,179,-0.202249408,0.632436756,0,0,178.9,out/pair_20170707_03_04_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_01_B.csv,invisible_pair_Human
293,210,188,1.510560879,0.091790821,0,0,178.7,out/pair_20170707_03_04_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_02_B.csv,invisible_pair_Human
291,223,203,3.275278394,0.00069993,0.033613445,3,178.5,out/pair_20170707_03_04_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_03_04_03_B.csv,invisible_pair_Human
197,181,131,0.03658738,0.548045195,0,0,178.4,out/pair_20170707_05_06_01_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_05_06_01_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_05_06_01_B.csv,invisible_pair_Human
210,191,139,0.112609741,0.505349465,0,0,178.3,out/pair_20170707_05_06_02_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_05_06_02_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_05_06_02_B.csv,invisible_pair_Human
200,202,139,-1.036782955,0.888111189,0,0,177.1,out/pair_20170707_05_06_03_timeline.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_05_06_03_A.csv,/Users/jyou/PyCharmProjects/statistics/invisible_pair_Human/20170707_05_06_03_B.csv,invisible_pair_Human
