t_center,S,nA,nB,nM,S_null_mean,S_null_sd,z_S_t,S_excess,episode
3.5,0.8,7,8,6,0.621762739427755,0.12355401926850343,1.4425856935087307,0.1782372605722451,0
4.5,0.7058823529411765,7,10,6,0.6265394887183081,0.11162055757136731,0.7108266250340007,0.0793428642228684,0
5.5,0.6,9,11,6,0.6399796055763682,0.1128667506552993,-0.3542195141106522,-0.03997960557636826,0
6.5,0.5454545454545454,11,11,6,0.642071898586076,0.11957804296574452,-0.8079857366390297,-0.09661735313153064,0
7.5,0.5217391304347826,11,12,6,0.6410180207678384,0.12067078800039735,-0.9884653304216682,-0.11927889033305583,0
8.5,0.5217391304347826,11,12,6,0.6326604975956126,0.1235337898624506,-0.8979030537663908,-0.11092136716083001,0
9.5,0.6086956521739131,12,11,7,0.668912173472121,0.12937531337081878,-0.46544058313206754,-0.06021652129820787,0
10.5,0.6956521739130435,12,11,8,0.6726001582562157,0.13388153158110688,0.1721821926040832,0.023052015656827796,0
11.5,0.6956521739130435,12,11,8,0.6577514757258565,0.13122833496522338,0.28881489807236377,0.037900698187187,0
12.5,0.6956521739130435,12,11,8,0.6396955775958536,0.11487291823678013,0.4871173917759287,0.055956596317189855,0
13.5,0.6666666666666666,14,10,8,0.6392634412360049,0.11806550727711862,0.23210187346539754,0.02740322543066176,0
14.5,0.6666666666666666,14,10,8,0.6284928000900103,0.10701750654888544,0.3567067464725369,0.038173866576656335,0
15.5,0.6666666666666666,13,11,8,0.6179253222230574,0.10528423940673003,0.4629500551864514,0.048741344443609225,0
16.5,0.75,12,12,9,0.637916291529024,0.10310463742646293,1.0870869756068657,0.11208370847097604,0
17.5,0.782608695652174,11,12,9,0.6801102670183945,0.09828038828182906,1.0429184339387705,0.10249842863377945,0
18.5,0.8181818181818182,9,13,9,0.6819856711703367,0.09744104055458268,1.397728782824212,0.13619614701148153,0
19.5,0.782608695652174,9,14,9,0.6543820137181235,0.09504963948845827,1.3490496400001684,0.1282266819340504,0
20.5,0.782608695652174,10,13,9,0.682054445031345,0.09374469021117905,1.0726394251696807,0.1005542506208289,0
21.5,0.8181818181818182,10,12,9,0.7044226310389629,0.0960850855535772,1.183942195476561,0.11375918714285538,0
22.5,0.6956521739130435,10,13,8,0.660823082097753,0.10132127893647862,0.34374903456485084,0.03482909181529048,0
23.5,0.72,11,14,9,0.6564902407965795,0.08470313246921625,0.7497923317830296,0.0635097592034205,0
24.5,0.75,11,13,9,0.683692742505098,0.09179407531893147,0.7223478995188141,0.06630725749490196,0
25.5,0.6363636363636364,9,13,7,0.6664241492068602,0.1046137927282974,-0.2873475099148439,-0.030060512843223863,0
26.5,0.6,9,11,6,0.6216705078980486,0.10417123876873235,-0.2080277450300718,-0.021670507898048585,0
27.5,0.6666666666666666,8,10,6,0.6835907623530655,0.0963696585968337,-0.1756164329397646,-0.016924095686398855,0
28.5,0.625,7,9,5,0.7185857031169725,0.10331885250614778,-0.905795030112281,-0.09358570311697245,0
29.5,0.46153846153846156,5,8,3,0.7078063634765647,0.10842484326851223,-2.271323568605259,-0.2462679019381031,0
30.5,0.5714285714285714,6,8,4,0.7589788322616496,0.10985883649067199,-1.7071932201739908,-0.18755026083307824,0
31.5,0.5714285714285714,5,9,4,0.8284421301694522,0.09813164399212954,-2.6190691227133027,-0.25701355874088083,0
32.5,0.5,4,8,3,0.7640405589766271,0.10666009645040361,-2.4755327227685813,-0.26404055897662715,0
33.5,0.6666666666666666,5,7,4,0.7613505484539539,0.10501810156404676,-0.9015958237403765,-0.09468388178728726,0
34.5,0.7142857142857143,7,7,5,0.7292205706144559,0.11152014391701638,-0.13392070530194805,-0.014934856328741586,0
35.5,0.8333333333333334,6,6,5,0.7002781506677017,0.11490792190330787,1.1579287177223017,0.13305518266563165,0
36.5,0.9230769230769231,7,6,6,0.7160952521936268,0.11352847487012502,1.8231696595949207,0.20698167088329633,0
37.5,0.9411764705882353,9,8,8,0.7633094809988772,0.10230513650178999,1.7385929550687422,0.1778669895893581,0
38.5,0.8,8,7,6,0.7625769242195714,0.10295804405758832,0.36347889203777567,0.037423075780428694,0
39.5,0.875,8,8,7,0.791037991944416,0.09756403635082168,0.8605835838287028,0.08396200805558396,0
40.5,0.875,8,8,7,0.7835913711503495,0.10443433501531486,0.8752737194740199,0.09140862884965051,0
41.5,0.6666666666666666,7,8,5,0.748860032528531,0.10687678983039424,-0.7690478540036547,-0.08219336586186432,0
42.5,0.6153846153846154,6,7,4,0.7540400686860439,0.11355120772791433,-1.2210830344813917,-0.13865545330142848,0
43.5,0.7142857142857143,6,8,5,0.7716768944419873,0.10861737838023289,-0.5283793533974441,-0.05739118015627298,0
44.5,0.6666666666666666,5,7,4,0.7554353485094197,0.114535323868291,-0.7750332285682621,-0.0887686818427531,0
45.5,0.6153846153846154,6,7,4,0.7487163391561998,0.11717397839718945,-1.1378953381579688,-0.13333172377158442,0
46.5,0.8,7,8,6,0.7694655607722172,0.11103483865833387,0.2749987264964704,0.030534439227782872,0
47.5,0.8571428571428571,7,7,6,0.7617335754029252,0.11719207049980064,0.8141274519089089,0.0954092817399319,0
48.5,0.75,9,7,6,0.7204499800766828,0.11788042314985721,0.2506779254240655,0.029550019923317183,0
49.5,0.875,9,7,7,0.7716028747396394,0.1088850831620139,0.949598625061547,0.1033971252603606,0
50.5,0.9411764705882353,9,8,8,0.7769249549212398,0.10719699054631604,1.5322399894801915,0.16425151566699547,0
51.5,0.875,9,7,7,0.7654108397020937,0.11155109847711298,0.9824122020671165,0.10958916029790633,0
52.5,0.8235294117647058,10,7,7,0.7671103716716721,0.11296085384384696,0.49945656546670086,0.05641904009303378,0
53.5,0.8,8,7,6,0.7183940183569442,0.11485284647852938,0.7105264183270488,0.08160598164305588,0
54.5,0.7142857142857143,7,7,5,0.7652395188660669,0.1021108873678001,-0.4990046203086909,-0.05095380458035259,0
