delta,condition,period,dyad_id,pair_id,n_matches,median_dt,median_abs_dt,prop_pos,prop_band_150_300
0.1,invisible,P2,20170707_11_12,20170707_11_12_02,33,0,0.1000000000000014,0.36363636363636365,0
0.1,invisible,P2,20170707_11_12,20170707_11_12_03,28,0,0.09999999999999959,0.39285714285714285,0
0.1,invisible,P2,20170710_13_14,20170710_13_14_01,19,0,0.1000000000000014,0.3157894736842105,0
0.1,invisible,P2,20170710_13_14,20170710_13_14_02,29,0,0.0999999999999978,0.3103448275862069,0
0.1,invisible,P2,20170710_13_14,20170710_13_14_03,31,0.0999999999999943,0.1000000000000014,0.5161290322580645,0
0.1,invisible,P2,20170710_15_16,20170710_15_16_01,10,0.09999999999999605,0.1000000000000014,0.6,0
0.1,invisible,P2,20170710_15_16,20170710_15_16_02,14,0,0.04999999999999715,0.2857142857142857,0
0.1,invisible,P2,20170710_15_16,20170710_15_16_03,15,0,0,0.3333333333333333,0
0.1,invisible,P3,20170705_01_02,20170705_01_02_01,46,0,0.0999999999999943,0.30434782608695654,0
0.1,invisible,P3,20170705_01_02,20170705_01_02_02,40,0,0.0999999999999943,0.35,0
0.1,invisible,P3,20170705_01_02,20170705_01_02_03,51,0,0.0999999999999943,0.39215686274509803,0
0.1,invisible,P3,20170705_03_04,20170705_03_04_01,67,0,0.0999999999999943,0.34328358208955223,0
0.1,invisible,P3,20170705_03_04,20170705_03_04_02,71,0,0.0999999999999943,0.352112676056338,0
0.1,invisible,P3,20170705_03_04,20170705_03_04_03,87,0,0.0999999999999943,0.27586206896551724,0
0.1,invisible,P3,20170707_01_02,20170707_01_02_01,57,0,0.0999999999999943,0.3333333333333333,0
0.1,invisible,P3,20170707_01_02,20170707_01_02_02,59,0,0.0999999999999943,0.3898305084745763,0
0.1,invisible,P3,20170707_01_02,20170707_01_02_03,69,0,0.0999999999999943,0.42028985507246375,0
0.1,invisible,P3,20170707_03_04,20170707_03_04_01,56,0,0.0999999999999943,0.30357142857142855,0
0.1,invisible,P3,20170707_03_04,20170707_03_04_02,42,0,0.0999999999999943,0.47619047619047616,0
0.1,invisible,P3,20170707_03_04,20170707_03_04_03,48,0,0.0999999999999943,0.22916666666666666,0
0.1,invisible,P3,20170707_05_06,20170707_05_06_01,30,0,0.0999999999999943,0.23333333333333334,0
0.1,invisible,P3,20170707_05_06,20170707_05_06_02,34,0,0.0999999999999943,0.3235294117647059,0
0.1,invisible,P3,20170707_05_06,20170707_05_06_03,28,0,0.04999999999999715,0.14285714285714285,0
0.1,invisible,P3,20170707_07_08,20170707_07_08_01,65,0,0.0999999999999943,0.36923076923076925,0
0.1,invisible,P3,20170707_07_08,20170707_07_08_02,64,0,0.0999999999999943,0.28125,0
0.1,invisible,P3,20170707_07_08,20170707_07_08_03,67,0,0.0999999999999943,0.2835820895522388,0
0.1,invisible,P3,20170707_09_10,20170707_09_10_01,54,0,0.0999999999999943,0.3888888888888889,0
0.1,invisible,P3,20170707_09_10,20170707_09_10_02,65,0,0.0999999999999943,0.46153846153846156,0
0.1,invisible,P3,20170707_09_10,20170707_09_10_03,55,0,0.0999999999999943,0.34545454545454546,0
0.1,invisible,P3,20170707_11_12,20170707_11_12_01,52,0,0.0999999999999943,0.34615384615384615,0
0.1,invisible,P3,20170707_11_12,20170707_11_12_02,83,0,0.0999999999999943,0.26506024096385544,0
0.1,invisible,P3,20170707_11_12,20170707_11_12_03,67,0,0.0999999999999943,0.208955223880597,0
0.1,invisible,P3,20170710_13_14,20170710_13_14_01,50,0,0.0999999999999943,0.34,0
0.1,invisible,P3,20170710_13_14,20170710_13_14_02,83,0,0.0999999999999943,0.3253012048192771,0
0.1,invisible,P3,20170710_13_14,20170710_13_14_03,73,0,0.0999999999999943,0.2328767123287671,0
0.1,invisible,P3,20170710_15_16,20170710_15_16_01,23,0,0.0999999999999943,0.30434782608695654,0
0.1,invisible,P3,20170710_15_16,20170710_15_16_02,30,0,0.0999999999999943,0.36666666666666664,0
0.1,invisible,P3,20170710_15_16,20170710_15_16_03,27,0,0.0999999999999943,0.4444444444444444,0
0.1,visible,P1,20170706_01_02,20170706_01_02_01,9,-0.0999999999999996,0.1000000000000005,0.2222222222222222,0
0.1,visible,P1,20170706_01_02,20170706_01_02_02,14,0,0.0999999999999987,0.21428571428571427,0
0.1,visible,P1,20170706_01_02,20170706_01_02_03,6,-0.0999999999999978,0.0999999999999987,0.16666666666666666,0
0.1,visible,P1,20170706_03_04,20170706_03_04_01,11,-0.0999999999999978,0.0999999999999978,0.09090909090909091,0
0.1,visible,P1,20170706_03_04,20170706_03_04_02,13,0,0.0999999999999978,0.38461538461538464,0
0.1,visible,P1,20170706_03_04,20170706_03_04_03,15,0,0.0999999999999996,0.4666666666666667,0
0.1,visible,P1,20170706_05_06,20170706_05_06_01,9,-0.0999999999999978,0.0999999999999996,0.4444444444444444,0
0.1,visible,P1,20170706_05_06,20170706_05_06_02,16,0.0499999999999998,0.0999999999999996,0.5,0
0.1,visible,P1,20170706_05_06,20170706_05_06_03,10,0,0.0999999999999978,0.3,0
0.1,visible,P1,20170706_11_12,20170706_11_12_01,10,0,0.0999999999999978,0.4,0
0.1,visible,P1,20170706_11_12,20170706_11_12_02,9,-0.0999999999999996,0.0999999999999996,0.3333333333333333,0
0.1,visible,P1,20170706_11_12,20170706_11_12_03,9,0,0,0.1111111111111111,0
0.1,visible,P1,20170710_01_02,20170710_01_02_01,11,0,0.0999999999999996,0.2727272727272727,0
0.1,visible,P1,20170710_01_02,20170710_01_02_02,17,0,0.0999999999999978,0.29411764705882354,0
0.1,visible,P1,20170710_01_02,20170710_01_02_03,16,0,0.0999999999999996,0.375,0
0.1,visible,P1,20170710_07_08,20170710_07_08_01,5,-0.0999999999999978,0.0999999999999978,0,0
0.1,visible,P1,20170710_07_08,20170710_07_08_02,8,0,0.0499999999999989,0.375,0
0.1,visible,P1,20170710_07_08,20170710_07_08_03,8,0,0.0499999999999989,0.25,0
0.1,visible,P1,20170714_01_02,20170714_01_02_01,16,0,0.0999999999999987,0.3125,0
0.1,visible,P1,20170714_01_02,20170714_01_02_02,13,-0.0999999999999978,0.0999999999999996,0.15384615384615385,0
0.1,visible,P1,20170714_01_02,20170714_01_02_03,17,0,0.0999999999999996,0.35294117647058826,0
