pair_id,condition,delta,period,a_time,b_time,dt,a_time_rel,b_time_rel
20170705_01_02_01,invisible,0.1,P3,139.3,139.2,0.1000000000000227,129.3,129.2
20170705_01_02_01,invisible,0.1,P3,139.9,140.0,-0.0999999999999943,129.9,130.0
20170705_01_02_01,invisible,0.1,P3,142.3,142.4,-0.0999999999999943,132.3,132.4
20170705_01_02_01,invisible,0.1,P3,143.3,143.2,0.1000000000000227,133.3,133.2
20170705_01_02_01,invisible,0.1,P3,147.4,147.3,0.0999999999999943,137.4,137.3
20170705_01_02_01,invisible,0.1,P3,149.9,150.0,-0.0999999999999943,139.9,140.0
20170705_01_02_01,invisible,0.1,P3,150.6,150.7,-0.0999999999999943,140.6,140.7
20170705_01_02_01,invisible,0.1,P3,151.4,151.4,0.0,141.4,141.4
20170705_01_02_01,invisible,0.1,P3,159.8,159.9,-0.0999999999999943,149.8,149.9
20170705_01_02_01,invisible,0.1,P3,160.4,160.4,0.0,150.4,150.4
20170705_01_02_01,invisible,0.1,P3,161.0,161.1,-0.0999999999999943,151.0,151.1
20170705_01_02_01,invisible,0.1,P3,162.8,162.9,-0.0999999999999943,152.8,152.9
20170705_01_02_01,invisible,0.1,P3,171.0,170.9,0.0999999999999943,161.0,160.9
20170705_01_02_01,invisible,0.1,P3,171.6,171.5,0.0999999999999943,161.6,161.5
20170705_01_02_01,invisible,0.1,P3,172.3,172.3,0.0,162.3,162.3
20170705_01_02_01,invisible,0.1,P3,172.9,173.0,-0.0999999999999943,162.9,163.0
20170705_01_02_01,invisible,0.1,P3,177.7,177.8,-0.1000000000000227,167.7,167.8
20170705_01_02_01,invisible,0.1,P3,179.0,179.0,0.0,169.0,169.0
20170705_01_02_02,invisible,0.1,P1,7.3,7.2,0.0999999999999996,0.0999999999999996,0.0
20170705_01_02_02,invisible,0.1,P1,7.9,8.0,-0.0999999999999996,0.7000000000000002,0.7999999999999998
20170705_01_02_02,invisible,0.1,P1,8.7,8.7,0.0,1.4999999999999991,1.4999999999999991
20170705_01_02_02,invisible,0.1,P1,13.6,13.5,0.0999999999999996,6.3999999999999995,6.3
20170705_01_02_02,invisible,0.1,P1,15.6,15.5,0.0999999999999996,8.399999999999999,8.3
20170705_01_02_02,invisible,0.1,P1,24.6,24.5,0.1000000000000014,17.400000000000002,17.3
20170705_01_02_02,invisible,0.1,P1,25.2,25.3,-0.1000000000000014,18.0,18.1
20170705_01_02_02,invisible,0.1,P2,27.7,27.8,-0.1000000000000014,20.5,20.6
20170705_01_02_02,invisible,0.1,P2,29.7,29.7,0.0,22.5,22.5
20170705_01_02_02,invisible,0.1,P2,30.6,30.6,0.0,23.4,23.4
20170705_01_02_02,invisible,0.1,P2,35.2,35.1,0.1000000000000014,28.000000000000004,27.9
20170705_01_02_02,invisible,0.1,P2,35.7,35.6,0.1000000000000014,28.500000000000004,28.4
20170705_01_02_02,invisible,0.1,P2,40.0,40.1,-0.1000000000000014,32.8,32.9
20170705_01_02_02,invisible,0.1,P2,44.8,44.9,-0.1000000000000014,37.599999999999994,37.7
20170705_01_02_02,invisible,0.1,P2,49.7,49.6,0.1000000000000014,42.5,42.4
20170705_01_02_02,invisible,0.1,P2,54.0,54.1,-0.1000000000000014,46.8,46.9
20170705_01_02_02,invisible,0.1,P2,54.8,54.7,0.0999999999999943,47.599999999999994,47.5
20170705_01_02_02,invisible,0.1,P2,56.6,56.6,0.0,49.4,49.4
20170705_01_02_02,invisible,0.1,P2,63.0,63.1,-0.1000000000000014,55.8,55.9
20170705_01_02_02,invisible,0.1,P3,68.2,68.2,0.0,61.0,61.0
20170705_01_02_02,invisible,0.1,P3,68.9,68.9,0.0,61.7,61.7
20170705_01_02_02,invisible,0.1,P3,72.5,72.4,0.0999999999999943,65.3,65.2
20170705_01_02_02,invisible,0.1,P3,73.5,73.6,-0.0999999999999943,66.3,66.39999999999999
20170705_01_02_02,invisible,0.1,P3,76.9,77.0,-0.0999999999999943,69.7,69.8
20170705_01_02_02,invisible,0.1,P3,87.1,87.0,0.0999999999999943,79.89999999999999,79.8
20170705_01_02_02,invisible,0.1,P3,88.5,88.6,-0.0999999999999943,81.3,81.39999999999999
20170705_01_02_02,invisible,0.1,P3,92.4,92.3,0.1000000000000085,85.2,85.1
20170705_01_02_02,invisible,0.1,P3,93.2,93.2,0.0,86.0,86.0
20170705_01_02_02,invisible,0.1,P3,93.9,93.8,0.1000000000000085,86.7,86.6
20170705_01_02_02,invisible,0.1,P3,95.0,94.9,0.0999999999999943,87.8,87.7
20170705_01_02_02,invisible,0.1,P3,95.8,95.7,0.0999999999999943,88.6,88.5
20170705_01_02_02,invisible,0.1,P3,97.1,97.0,0.0999999999999943,89.89999999999999,89.8
20170705_01_02_02,invisible,0.1,P3,105.4,105.3,0.1000000000000085,98.2,98.1
20170705_01_02_02,invisible,0.1,P3,108.4,108.3,0.1000000000000085,101.2,101.1
20170705_01_02_02,invisible,0.1,P3,110.1,110.1,0.0,102.9,102.9
20170705_01_02_02,invisible,0.1,P3,110.6,110.7,-0.1000000000000085,103.4,103.5
20170705_01_02_02,invisible,0.1,P3,112.9,112.9,0.0,105.7,105.7
20170705_01_02_02,invisible,0.1,P3,114.4,114.5,-0.0999999999999943,107.2,107.3
20170705_01_02_02,invisible,0.1,P3,115.3,115.2,0.0999999999999943,108.1,108.0
20170705_01_02_02,invisible,0.1,P3,116.4,116.3,0.1000000000000085,109.2,109.1
20170705_01_02_02,invisible,0.1,P3,125.6,125.6,0.0,118.4,118.4
20170705_01_02_02,invisible,0.1,P3,126.2,126.2,0.0,119.0,119.0
20170705_01_02_02,invisible,0.1,P3,127.0,126.9,0.0999999999999943,119.8,119.7
20170705_01_02_02,invisible,0.1,P3,127.6,127.6,0.0,120.4,120.4
20170705_01_02_02,invisible,0.1,P3,129.2,129.3,-0.1000000000000227,122.0,122.1
20170705_01_02_02,invisible,0.1,P3,139.9,139.9,0.0,132.70000000000002,132.70000000000002
20170705_01_02_02,invisible,0.1,P3,141.2,141.3,-0.1000000000000227,134.0,134.10000000000002
20170705_01_02_02,invisible,0.1,P3,146.3,146.3,0.0,139.10000000000002,139.10000000000002
20170705_01_02_02,invisible,0.1,P3,152.2,152.2,0.0,145.0,145.0
20170705_01_02_02,invisible,0.1,P3,152.9,152.8,0.0999999999999943,145.70000000000002,145.60000000000002
20170705_01_02_02,invisible,0.1,P3,153.4,153.4,0.0,146.20000000000002,146.20000000000002
20170705_01_02_02,invisible,0.1,P3,154.0,154.0,0.0,146.8,146.8
20170705_01_02_02,invisible,0.1,P3,155.8,155.9,-0.0999999999999943,148.60000000000002,148.70000000000002
20170705_01_02_02,invisible,0.1,P3,156.5,156.4,0.0999999999999943,149.3,149.20000000000002
20170705_01_02_02,invisible,0.1,P3,160.2,160.3,-0.1000000000000227,153.0,153.10000000000002
20170705_01_02_02,invisible,0.1,P3,169.3,169.4,-0.0999999999999943,162.10000000000002,162.20000000000002
20170705_01_02_02,invisible,0.1,P3,172.9,173.0,-0.0999999999999943,165.70000000000002,165.8
20170705_01_02_02,invisible,0.1,P3,175.4,175.4,0.0,168.20000000000002,168.20000000000002
20170705_01_02_02,invisible,0.1,P3,179.1,179.2,-0.0999999999999943,171.9,172.0
20170705_01_02_03,invisible,0.1,P1,7.5,7.6,-0.0999999999999996,1.5,1.5999999999999996
20170705_01_02_03,invisible,0.1,P1,8.2,8.2,0.0,2.1999999999999993,2.1999999999999993
20170705_01_02_03,invisible,0.1,P1,10.1,10.2,-0.0999999999999996,4.1,4.199999999999999
20170705_01_02_03,invisible,0.1,P1,13.0,13.0,0.0,7.0,7.0
20170705_01_02_03,invisible,0.1,P1,15.1,15.0,0.0999999999999996,9.1,9.0
20170705_01_02_03,invisible,0.1,P1,15.8,15.8,0.0,9.8,9.8
20170705_01_02_03,invisible,0.1,P1,17.4,17.5,-0.1000000000000014,11.4,11.5
20170705_01_02_03,invisible,0.1,P1,18.5,18.5,0.0,12.5,12.5
20170705_01_02_03,invisible,0.1,P1,19.2,19.2,0.0,13.2,13.2
20170705_01_02_03,invisible,0.1,P1,21.0,20.9,0.1000000000000014,15.0,14.9
20170705_01_02_03,invisible,0.1,P2,33.0,33.0,0.0,27.0,27.0
20170705_01_02_03,invisible,0.1,P2,33.6,33.7,-0.1000000000000014,27.6,27.700000000000003
20170705_01_02_03,invisible,0.1,P2,39.1,39.0,0.1000000000000014,33.1,33.0
20170705_01_02_03,invisible,0.1,P2,39.6,39.5,0.1000000000000014,33.6,33.5
20170705_01_02_03,invisible,0.1,P2,40.3,40.4,-0.1000000000000014,34.3,34.4
20170705_01_02_03,invisible,0.1,P2,41.6,41.6,0.0,35.6,35.6
20170705_01_02_03,invisible,0.1,P2,42.1,42.2,-0.1000000000000014,36.1,36.2
20170705_01_02_03,invisible,0.1,P2,42.8,42.8,0.0,36.8,36.8
20170705_01_02_03,invisible,0.1,P2,44.5,44.6,-0.1000000000000014,38.5,38.6
20170705_01_02_03,invisible,0.1,P2,48.5,48.5,0.0,42.5,42.5
20170705_01_02_03,invisible,0.1,P2,49.5,49.6,-0.1000000000000014,43.5,43.6
20170705_01_02_03,invisible,0.1,P2,50.2,50.1,0.1000000000000014,44.2,44.1
20170705_01_02_03,invisible,0.1,P2,50.8,50.7,0.0999999999999943,44.8,44.7
20170705_01_02_03,invisible,0.1,P2,53.8,53.8,0.0,47.8,47.8
20170705_01_02_03,invisible,0.1,P2,54.3,54.4,-0.1000000000000014,48.3,48.4
20170705_01_02_03,invisible,0.1,P2,58.0,57.9,0.1000000000000014,52.0,51.9
20170705_01_02_03,invisible,0.1,P2,61.2,61.1,0.1000000000000014,55.2,55.1
20170705_01_02_03,invisible,0.1,P3,71.4,71.5,-0.0999999999999943,65.4,65.5
20170705_01_02_03,invisible,0.1,P3,74.5,74.6,-0.0999999999999943,68.5,68.6
20170705_01_02_03,invisible,0.1,P3,75.3,75.3,0.0,69.3,69.3
20170705_01_02_03,invisible,0.1,P3,76.1,76.0,0.0999999999999943,70.1,70.0
20170705_01_02_03,invisible,0.1,P3,77.3,77.2,0.0999999999999943,71.3,71.2
20170705_01_02_03,invisible,0.1,P3,78.9,78.9,0.0,72.9,72.9
20170705_01_02_03,invisible,0.1,P3,81.2,81.1,0.1000000000000085,75.2,75.1
20170705_01_02_03,invisible,0.1,P3,84.3,84.4,-0.1000000000000085,78.3,78.4
20170705_01_02_03,invisible,0.1,P3,86.5,86.4,0.0999999999999943,80.5,80.4
20170705_01_02_03,invisible,0.1,P3,90.3,90.4,-0.1000000000000085,84.3,84.4
20170705_01_02_03,invisible,0.1,P3,93.2,93.2,0.0,87.2,87.2
20170705_01_02_03,invisible,0.1,P3,95.0,94.9,0.0999999999999943,89.0,88.9
20170705_01_02_03,invisible,0.1,P3,96.4,96.3,0.1000000000000085,90.4,90.3
20170705_01_02_03,invisible,0.1,P3,96.9,96.8,0.1000000000000085,90.9,90.8
20170705_01_02_03,invisible,0.1,P3,98.0,97.9,0.0999999999999943,92.0,91.9
20170705_01_02_03,invisible,0.1,P3,99.7,99.7,0.0,93.7,93.7
20170705_01_02_03,invisible,0.1,P3,100.3,100.3,0.0,94.3,94.3
20170705_01_02_03,invisible,0.1,P3,100.8,100.9,-0.1000000000000085,94.8,94.9
20170705_01_02_03,invisible,0.1,P3,107.9,107.9,0.0,101.9,101.9
20170705_01_02_03,invisible,0.1,P3,111.2,111.1,0.1000000000000085,105.2,105.1
20170705_01_02_03,invisible,0.1,P3,117.1,117.0,0.0999999999999943,111.1,111.0
20170705_01_02_03,invisible,0.1,P3,117.7,117.8,-0.0999999999999943,111.7,111.8
20170705_01_02_03,invisible,0.1,P3,118.3,118.4,-0.1000000000000085,112.3,112.4
20170705_01_02_03,invisible,0.1,P3,119.6,119.7,-0.1000000000000085,113.6,113.7
20170705_01_02_03,invisible,0.1,P3,122.6,122.5,0.0999999999999943,116.6,116.5
20170705_01_02_03,invisible,0.1,P3,124.9,125.0,-0.0999999999999943,118.9,119.0
20170705_01_02_03,invisible,0.1,P3,126.8,126.9,-0.1000000000000085,120.8,120.9
20170705_01_02_03,invisible,0.1,P3,127.8,127.9,-0.1000000000000085,121.8,121.9
20170705_01_02_03,invisible,0.1,P3,129.2,129.1,0.0999999999999943,123.2,123.1
20170705_01_02_03,invisible,0.1,P3,130.5,130.6,-0.0999999999999943,124.5,124.6
20170705_01_02_03,invisible,0.1,P3,134.8,134.9,-0.0999999999999943,128.8,128.9
20170705_01_02_03,invisible,0.1,P3,136.6,136.7,-0.0999999999999943,130.6,130.7
20170705_01_02_03,invisible,0.1,P3,137.4,137.3,0.0999999999999943,131.4,131.3
20170705_01_02_03,invisible,0.1,P3,138.1,138.0,0.0999999999999943,132.1,132.0
20170705_01_02_03,invisible,0.1,P3,138.7,138.6,0.0999999999999943,132.7,132.6
20170705_01_02_03,invisible,0.1,P3,139.4,139.4,0.0,133.4,133.4
20170705_01_02_03,invisible,0.1,P3,147.4,147.3,0.0999999999999943,141.4,141.3
20170705_01_02_03,invisible,0.1,P3,149.5,149.4,0.0999999999999943,143.5,143.4
20170705_01_02_03,invisible,0.1,P3,150.0,150.0,0.0,144.0,144.0
20170705_01_02_03,invisible,0.1,P3,150.7,150.8,-0.1000000000000227,144.7,144.8
20170705_01_02_03,invisible,0.1,P3,158.8,158.7,0.1000000000000227,152.8,152.7
20170705_01_02_03,invisible,0.1,P3,159.8,159.9,-0.0999999999999943,153.8,153.9
20170705_01_02_03,invisible,0.1,P3,160.5,160.4,0.0999999999999943,154.5,154.4
20170705_01_02_03,invisible,0.1,P3,166.6,166.5,0.0999999999999943,160.6,160.5
20170705_01_02_03,invisible,0.1,P3,167.2,167.2,0.0,161.2,161.2
20170705_01_02_03,invisible,0.1,P3,167.8,167.8,0.0,161.8,161.8
20170705_01_02_03,invisible,0.1,P3,168.4,168.5,-0.0999999999999943,162.4,162.5
20170705_01_02_03,invisible,0.1,P3,171.6,171.7,-0.0999999999999943,165.6,165.7
20170705_01_02_03,invisible,0.1,P3,173.0,173.1,-0.0999999999999943,167.0,167.1
20170705_01_02_03,invisible,0.1,P3,177.8,177.8,0.0,171.8,171.8
20170705_01_02_03,invisible,0.1,P3,178.8,178.8,0.0,172.8,172.8
20170705_03_04_01,invisible,0.1,P1,3.2,3.2,0.0,0.0,0.0
20170705_03_04_01,invisible,0.1,P1,5.0,5.1,-0.0999999999999996,1.7999999999999998,1.8999999999999997
20170705_03_04_01,invisible,0.1,P1,6.5,6.4,0.0999999999999996,3.3,3.2
20170705_03_04_01,invisible,0.1,P1,7.7,7.6,0.1000000000000005,4.5,4.3999999999999995
20170705_03_04_01,invisible,0.1,P1,8.9,8.9,0.0,5.7,5.7
20170705_03_04_01,invisible,0.1,P1,9.4,9.5,-0.0999999999999996,6.2,6.3
20170705_03_04_01,invisible,0.1,P1,9.9,10.0,-0.0999999999999996,6.7,6.8
20170705_03_04_01,invisible,0.1,P1,10.6,10.5,0.0999999999999996,7.4,7.3
20170705_03_04_01,invisible,0.1,P1,11.8,11.7,0.1000000000000014,8.600000000000001,8.5
20170705_03_04_01,invisible,0.1,P1,12.4,12.4,0.0,9.2,9.2
20170705_03_04_01,invisible,0.1,P1,13.4,13.5,-0.0999999999999996,10.2,10.3
20170705_03_04_01,invisible,0.1,P1,17.0,17.0,0.0,13.8,13.8
20170705_03_04_01,invisible,0.1,P1,17.7,17.7,0.0,14.5,14.5
20170705_03_04_01,invisible,0.1,P1,18.8,18.8,0.0,15.6,15.6
20170705_03_04_01,invisible,0.1,P1,20.5,20.4,0.1000000000000014,17.3,17.2
20170705_03_04_01,invisible,0.1,P1,21.0,20.9,0.1000000000000014,17.8,17.7
20170705_03_04_01,invisible,0.1,P1,21.6,21.6,0.0,18.4,18.4
20170705_03_04_01,invisible,0.1,P2,27.2,27.3,-0.1000000000000014,24.0,24.1
20170705_03_04_01,invisible,0.1,P2,28.3,28.3,0.0,25.1,25.1
20170705_03_04_01,invisible,0.1,P2,29.5,29.6,-0.1000000000000014,26.3,26.4
20170705_03_04_01,invisible,0.1,P2,31.3,31.3,0.0,28.1,28.1
20170705_03_04_01,invisible,0.1,P2,36.9,36.8,0.1000000000000014,33.699999999999996,33.599999999999994
20170705_03_04_01,invisible,0.1,P2,38.5,38.6,-0.1000000000000014,35.3,35.4
20170705_03_04_01,invisible,0.1,P2,39.0,39.1,-0.1000000000000014,35.8,35.9
20170705_03_04_01,invisible,0.1,P2,39.6,39.6,0.0,36.4,36.4
20170705_03_04_01,invisible,0.1,P2,40.5,40.6,-0.1000000000000014,37.3,37.4
20170705_03_04_01,invisible,0.1,P2,45.9,45.8,0.1000000000000014,42.7,42.599999999999994
20170705_03_04_01,invisible,0.1,P2,46.3,46.2,0.0999999999999943,43.099999999999994,43.0
20170705_03_04_01,invisible,0.1,P2,47.7,47.8,-0.0999999999999943,44.5,44.599999999999994
20170705_03_04_01,invisible,0.1,P2,48.4,48.3,0.1000000000000014,45.2,45.099999999999994
20170705_03_04_01,invisible,0.1,P2,49.0,49.0,0.0,45.8,45.8
20170705_03_04_01,invisible,0.1,P2,51.7,51.8,-0.0999999999999943,48.5,48.599999999999994
20170705_03_04_01,invisible,0.1,P2,52.4,52.5,-0.1000000000000014,49.2,49.3
20170705_03_04_01,invisible,0.1,P2,53.9,53.9,0.0,50.7,50.7
20170705_03_04_01,invisible,0.1,P2,56.1,56.1,0.0,52.9,52.9
20170705_03_04_01,invisible,0.1,P2,58.7,58.7,0.0,55.5,55.5
20170705_03_04_01,invisible,0.1,P2,59.2,59.3,-0.0999999999999943,56.0,56.099999999999994
20170705_03_04_01,invisible,0.1,P2,61.4,61.3,0.1000000000000014,58.2,58.099999999999994
20170705_03_04_01,invisible,0.1,P3,70.8,70.7,0.0999999999999943,67.6,67.5
20170705_03_04_01,invisible,0.1,P3,72.5,72.5,0.0,69.3,69.3
20170705_03_04_01,invisible,0.1,P3,73.0,73.0,0.0,69.8,69.8
20170705_03_04_01,invisible,0.1,P3,73.6,73.5,0.0999999999999943,70.39999999999999,70.3
20170705_03_04_01,invisible,0.1,P3,75.7,75.8,-0.0999999999999943,72.5,72.6
20170705_03_04_01,invisible,0.1,P3,78.1,78.0,0.0999999999999943,74.89999999999999,74.8
20170705_03_04_01,invisible,0.1,P3,78.7,78.6,0.1000000000000085,75.5,75.39999999999999
20170705_03_04_01,invisible,0.1,P3,79.2,79.2,0.0,76.0,76.0
