analysis,macro_measure,n,spearman_rho,spearman_perm_p,pearson_r,pearson_ci_low,pearson_ci_high,pearson_perm_p
pooled (20 dyads),macro_index,20,-0.04962406015037594,0.8364163583641636,-0.1936288647201713,-0.5859432211143768,0.2722167547066501,0.41355864413558646
"within-condition (condition-centred, strata-permuted)",macro_index,20,0.15639097744360902,0.5206479352064793,0.08464660256759467,-0.37180105933642793,0.50813377052517394,0.7295270472952705
visible only,macro_index,10,0.7696969696969695,0.0115988401159884,0.4687526422546736,-0.22823458283845977,0.8480780437300224,0.16628337166283372
invisible only,macro_index,10,-0.1636363636363636,0.6553344665533447,-0.35631406152305156,-0.8052800477039048,0.35236301536533227,0.31596840315968405
pooled (20 dyads),macro_real,20,-0.09624060150375939,0.688031196880312,-0.1770781443597396,-0.574574808450917,0.2880114322038002,0.46455354464553544
"within-condition (condition-centred, strata-permuted)",macro_real,20,0.06315789473684211,0.8004199580041996,0.06116299534242003,-0.3919667174292234,0.4904103808644496,0.8024197580241976
