order,file,condition
1,20170710_11_02,solo
2,20170706_05_06_03,visible
3,20170707_01_02_03,invisible
4,20170725_07_01,solo
5,20170706_03_04_03,visible
6,20170705_03_04_01,invisible
7,20170724_04_03,solo
8,20170706_01_02_03,visible
9,20170707_03_04_02,invisible
10,20170725_05_01,solo
11,20170714_07_08_02,visible
12,20170707_11_12_01,invisible
13,20170725_07_03,solo
14,20170714_03_04_03,visible
15,20170707_01_02_01,invisible
