video,condition,coder,period,n_a,n_b,n_match,S,zS,p
20170706_01_02_03,visible,original,P1,22,18,11,0.55,-1.0013360108540876,0.9113088691130887
20170706_01_02_03,visible,original,P2,60,42,33,0.6470588235294118,0.8095921338227035,0.27747225277472254
20170706_01_02_03,visible,original,P3,151,107,65,0.5038759689922481,-0.3735616955306201,0.6846315368463154
20170706_01_02_03,visible,second,P1,27,23,17,0.68,-0.1766900326863093,0.708029197080292
20170706_01_02_03,visible,second,P2,62,45,34,0.6355140186915887,-0.12931165598989577,0.6328367163283671
20170706_01_02_03,visible,second,P3,168,116,80,0.5633802816901409,0.03778105579944775,0.5194480551944806
20170706_03_04_02,visible,original,P1,21,21,11,0.5238095238095238,-1.945043971289101,0.9913008699130087
20170706_03_04_02,visible,original,P2,55,53,36,0.6666666666666666,0.20782313080968015,0.49655034496550343
20170706_03_04_02,visible,original,P3,153,157,103,0.6645161290322581,0.8067237620393434,0.24697530246975302
20170706_03_04_02,visible,second,P1,21,25,14,0.6086956521739131,-1.3917546372064167,0.9471052894710529
20170706_03_04_02,visible,second,P2,53,59,38,0.6785714285714286,0.25148757023582585,0.45835416458354167
20170706_03_04_02,visible,second,P3,151,156,93,0.6058631921824105,-0.4819461661477543,0.7418258174182581
20170706_05_06_03,visible,original,P1,25,20,13,0.5777777777777777,-0.6766665467383014,0.8237176282371763
20170706_05_06_03,visible,original,P2,59,46,36,0.6857142857142857,1.1378889978814202,0.17428257174282571
20170706_05_06_03,visible,original,P3,152,147,92,0.6153846153846154,0.3554177027863813,0.41325867413258677
20170706_05_06_03,visible,second,P1,29,21,16,0.64,-0.22016391081847247,0.7026297370262974
20170706_05_06_03,visible,second,P2,63,52,38,0.6608695652173913,-0.25556732851504727,0.6636336366363363
20170706_05_06_03,visible,second,P3,170,156,98,0.6012269938650306,-1.8907964927792391,0.9804019598040196
20170710_01_02_01,visible,original,P1,20,23,15,0.6976744186046512,0.3356264796044199,0.5560443955604439
20170710_01_02_01,visible,original,P2,60,49,31,0.5688073394495413,-1.7616678371096344,0.9743025697430256
