video,condition,coder,period,n_a,n_b,n_match,S,zS,p
20170706_01_02_03,visible,original,P1,22,18,3,0.15,-2.027392010359211,1.0
20170706_01_02_03,visible,original,P2,60,42,22,0.43137254901960786,0.9915765951729486,0.203979602039796
20170706_01_02_03,visible,original,P3,151,107,39,0.3023255813953488,-0.26535976006307777,0.6364363563643636
20170706_01_02_03,visible,second,P1,27,23,12,0.48,0.31466799297317327,0.4216578342165783
20170706_01_02_03,visible,second,P2,62,45,20,0.37383177570093457,-0.2748009937853656,0.6651334866513349
20170706_01_02_03,visible,second,P3,168,116,49,0.34507042253521125,0.0459436381037131,0.5115488451154885
20170706_03_04_02,visible,original,P1,21,21,8,0.38095238095238093,-0.3172309292415292,0.677032296770323
20170706_03_04_02,visible,original,P2,55,53,22,0.4074074074074074,0.18040842038415425,0.44915508449155084
20170706_03_04_02,visible,original,P3,153,157,62,0.4,0.3341039402387277,0.39546045395460455
20170706_03_04_02,visible,second,P1,21,25,8,0.34782608695652173,-1.0926720049085676,0.9164083591640836
20170706_03_04_02,visible,second,P2,53,59,25,0.44642857142857145,0.5842467433733073,0.30786921307869214
20170706_03_04_02,visible,second,P3,151,156,59,0.38436482084690554,0.0444261707184803,0.5089491050894911
20170706_05_06_03,visible,original,P1,25,20,7,0.3111111111111111,-1.1346472705890844,0.9126087391260874
20170706_05_06_03,visible,original,P2,59,46,22,0.41904761904761906,0.542607452276794,0.35796420357964204
20170706_05_06_03,visible,original,P3,152,147,56,0.3745819397993311,0.09189236486160586,0.49695030496950304
20170706_05_06_03,visible,second,P1,29,21,11,0.44,0.08891585684331271,0.5383461653834617
20170706_05_06_03,visible,second,P2,63,52,24,0.41739130434782606,-0.1100962961344251,0.5773422657734226
20170706_05_06_03,visible,second,P3,170,156,61,0.37423312883435583,-0.8749482500674709,0.8265173482651735
20170710_01_02_01,visible,original,P1,20,23,8,0.37209302325581395,-0.43186384382884674,0.7462253774622538
20170710_01_02_01,visible,original,P2,60,49,18,0.3302752293577982,-0.997253268206858,0.8673132686731326
20170710_01_02_01,visible,original,P3,162,153,80,0.5079365079365079,2.898789382690958,0.0029997000299970002
20170710_01_02_01,visible,second,P1,24,22,11,0.4782608695652174,0.40149132467627313,0.4276572342765723
20170710_01_02_01,visible,second,P2,69,51,28,0.4666666666666667,0.6256443484299817,0.3404659534046595
20170710_01_02_01,visible,second,P3,171,153,74,0.4567901234567901,1.3501885460745517,0.09529047095290472
20170710_07_08_01,visible,original,P1,2,0,0,,,
20170710_07_08_01,visible,original,P2,39,42,12,0.2962962962962963,-0.03984214180546411,0.6077392260773923
20170710_07_08_01,visible,original,P3,77,79,18,0.23076923076923078,0.46570581296382446,0.37066293370662934
20170710_07_08_01,visible,second,P1,4,3,1,0.2857142857142857,-0.26946111813509255,0.8489151084891511
20170710_07_08_01,visible,second,P2,41,47,12,0.2727272727272727,-0.7591152039494301,0.8245175482451755
20170710_07_08_01,visible,second,P3,86,87,15,0.17341040462427745,-1.0379066610264918,0.8934106589341065
20170714_01_02_02,visible,original,P1,23,24,8,0.3404255319148936,-1.5929333547351383,0.9602039796020398
20170714_01_02_02,visible,original,P2,65,59,32,0.5161290322580645,0.7471049449122721,0.27407259274072593
20170714_01_02_02,visible,original,P3,157,198,83,0.4676056338028169,0.7262937733250595,0.25707429257074293
20170714_01_02_02,visible,second,P1,25,27,15,0.5769230769230769,0.33974789895174146,0.42845715428457154
20170714_01_02_02,visible,second,P2,58,66,25,0.4032258064516129,-1.0376694085591824,0.8756124387561244
20170714_01_02_02,visible,second,P3,162,209,79,0.42587601078167114,-1.0071873290260045,0.8637136286371363
20170705_01_02_01,invisible,original,P1,15,11,4,0.3076923076923077,-0.5877013382654892,0.8263173682631737
20170705_01_02_01,invisible,original,P2,55,44,20,0.40404040404040403,0.6830895217909726,0.288971102889711
20170705_01_02_01,invisible,original,P3,140,133,54,0.3956043956043956,1.3778090828130294,0.09779022097790221
20170705_01_02_01,invisible,second,P1,13,13,6,0.46153846153846156,0.8417175092911753,0.3043695630436956
20170705_01_02_01,invisible,second,P2,51,49,25,0.5,1.988390622990578,0.031996800319968
20170705_01_02_01,invisible,second,P3,134,132,40,0.3007518796992481,-0.8570649020831053,0.8246175382461753
20170705_03_04_02,invisible,original,P1,30,26,18,0.6428571428571429,1.4524735947430867,0.12818718128187181
20170705_03_04_02,invisible,original,P2,66,54,26,0.43333333333333335,-0.1166959342909013,0.6118388161183882
20170705_03_04_02,invisible,original,P3,175,170,74,0.4289855072463768,-0.04786145227379273,0.5433456654334566
20170705_03_04_02,invisible,second,P1,30,27,12,0.42105263157894735,-1.066014236248241,0.8994100589941005
20170705_03_04_02,invisible,second,P2,71,56,32,0.5039370078740157,0.6532461281223578,0.2836716328367163
20170705_03_04_02,invisible,second,P3,187,188,95,0.5066666666666667,1.0315512325859095,0.16928307169283072
20170707_01_02_03,invisible,original,P1,29,31,14,0.4666666666666667,-0.865359445163778,0.8389161083891611
20170707_01_02_03,invisible,original,P2,60,66,23,0.36507936507936506,-1.4634162480144142,0.9451054894510549
20170707_01_02_03,invisible,original,P3,168,192,74,0.4111111111111111,-0.9150053474092291,0.8416158384161584
20170707_01_02_03,invisible,second,P1,35,30,18,0.5538461538461539,-0.239640774406918,0.6719328067193281
20170707_01_02_03,invisible,second,P2,66,61,26,0.4094488188976378,-1.0545607447180863,0.8703129687031297
20170707_01_02_03,invisible,second,P3,182,172,80,0.4519774011299435,0.21207008642339883,0.4467553244675532
20170707_11_12_01,invisible,original,P1,20,28,10,0.4166666666666667,-0.054146654522125824,0.583941605839416
20170707_11_12_01,invisible,original,P2,59,58,23,0.39316239316239315,-0.4037662165343156,0.6771322867713229
20170707_11_12_01,invisible,original,P3,168,159,55,0.3363914373088685,-1.8695097255062703,0.9709029097090291
20170707_11_12_01,invisible,second,P1,22,27,14,0.5714285714285714,1.5417600609149997,0.0826917308269173
20170707_11_12_01,invisible,second,P2,61,57,24,0.4067796610169492,-0.5097158594166006,0.7394260573942606
20170707_11_12_01,invisible,second,P3,171,156,70,0.42813455657492355,0.5095324989937227,0.3421657834216578
20170710_13_14_03,invisible,original,P1,28,28,12,0.42857142857142855,-0.5597386083160305,0.690930906909309
20170710_13_14_03,invisible,original,P2,57,77,32,0.47761194029850745,-0.20229530323994815,0.6537346265373463
20170710_13_14_03,invisible,original,P3,162,215,73,0.38726790450928383,-2.356114880828652,0.9905009499050095
20170710_13_14_03,invisible,second,P1,26,29,16,0.5818181818181818,1.0145017372991425,0.20067993200679932
20170710_13_14_03,invisible,second,P2,55,74,33,0.5116279069767442,0.751603439257393,0.27977202279772023
20170710_13_14_03,invisible,second,P3,167,213,80,0.42105263157894735,-1.5022784564147793,0.9419058094190581
