tolerance,n_videos,total_events_a,total_events_b,total_matched,precision_pooled,recall_pooled,f1_pooled,f1_video_mean,f1_video_ci_lo,f1_video_ci_hi
0.05,27,6113,6341,1201,0.18940230247595016,0.1964665467037461,0.19286976071944756,0.1897356679751729,0.17130664865729744,0.2077137924643916
0.1,27,6113,6341,3295,0.5196341271092888,0.53901521347947,0.52914726192388,0.5214522996274398,0.48806952759007266,0.5531434484812766
0.15,27,6113,6341,3295,0.5196341271092888,0.53901521347947,0.52914726192388,0.5214522996274398,0.4883070409157227,0.5536654925586906
0.2,27,6113,6341,4845,0.7640750670241286,0.7925732046458367,0.7780632728440663,0.7663614239497036,0.7385299106448614,0.792912072949621
0.3,27,6113,6341,5452,0.8598012931714241,0.891869785702601,0.8755419945399069,0.8670083295009342,0.8470247845504537,0.8848701056025325
0.5,27,6113,6341,5757,0.9079009619933764,0.9417634549321119,0.9245222418500081,0.9186491527115395,0.9041207682297201,0.9311666839296566
