label,condition,coder,t,matched,local_gap
20170705_03_04_01_A,invisible,original,75.7,1,0.5
20170705_03_04_01_A,invisible,original,76.2,1,0.5
20170705_03_04_01_A,invisible,original,76.7,1,0.5
20170705_03_04_01_A,invisible,original,77.2,1,0.5
20170705_03_04_01_A,invisible,original,77.7,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,78.10000000000001,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,78.7,1,0.5
20170705_03_04_01_A,invisible,original,79.2,1,0.5
20170705_03_04_01_A,invisible,original,79.7,1,0.5
20170705_03_04_01_A,invisible,original,80.4,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,80.80000000000001,0,0.4000000000000057
20170705_03_04_01_A,invisible,original,82.4,1,0.5999999999999943
20170705_03_04_01_A,invisible,original,83.0,1,0.5
20170705_03_04_01_A,invisible,original,83.5,1,0.5
20170705_03_04_01_A,invisible,original,84.0,1,0.5
20170705_03_04_01_A,invisible,original,84.5,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,84.9,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,85.30000000000001,1,0.3999999999999915
20170705_03_04_01_A,invisible,original,85.7,1,0.3999999999999915
20170705_03_04_01_A,invisible,original,86.2,0,0.4000000000000057
20170705_03_04_01_A,invisible,original,86.60000000000001,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,87.2,0,0.5999999999999943
20170705_03_04_01_A,invisible,original,88.30000000000001,1,1.1000000000000085
20170705_03_04_01_A,invisible,original,90.4,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,90.80000000000001,0,0.4000000000000057
20170705_03_04_01_A,invisible,original,91.7,0,0.8999999999999915
20170705_03_04_01_A,invisible,original,92.60000000000001,1,0.5
20170705_03_04_01_A,invisible,original,93.10000000000001,0,0.5
20170705_03_04_01_A,invisible,original,94.60000000000001,1,0.7999999999999972
20170705_03_04_01_A,invisible,original,95.4,1,0.5999999999999943
20170705_03_04_01_A,invisible,original,96.0,1,0.5
20170705_03_04_01_A,invisible,original,96.5,1,0.5
20170705_03_04_01_A,invisible,original,97.0,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,97.4,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,97.80000000000001,1,0.3999999999999915
20170705_03_04_01_A,invisible,original,98.2,0,0.3999999999999915
20170705_03_04_01_A,invisible,original,98.60000000000001,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,99.10000000000001,1,0.3999999999999915
20170705_03_04_01_A,invisible,original,99.5,1,0.3999999999999915
20170705_03_04_01_A,invisible,original,100.0,0,0.5
20170705_03_04_01_A,invisible,original,100.5,1,0.5
20170705_03_04_01_A,invisible,original,101.0,0,0.5
20170705_03_04_01_A,invisible,original,101.80000000000001,1,0.3999999999999915
20170705_03_04_01_A,invisible,original,102.2,1,0.3999999999999915
20170705_03_04_01_A,invisible,original,103.4,0,1.2000000000000028
20170705_03_04_01_A,invisible,original,104.80000000000001,1,0.8999999999999915
20170705_03_04_01_A,invisible,original,105.7,1,0.5
20170705_03_04_01_A,invisible,original,106.2,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,106.60000000000001,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,107.10000000000001,1,0.5
20170705_03_04_01_A,invisible,original,107.60000000000001,1,0.5
20170705_03_04_01_A,invisible,original,108.30000000000001,1,0.29999999999999716
20170705_03_04_01_A,invisible,original,108.60000000000001,1,0.29999999999999716
20170705_03_04_01_A,invisible,original,109.10000000000001,1,0.3999999999999915
20170705_03_04_01_A,invisible,original,109.5,1,0.3999999999999915
20170705_03_04_01_A,invisible,original,110.2,1,0.5
20170705_03_04_01_A,invisible,original,110.7,0,0.5
20170705_03_04_01_A,invisible,original,111.4,0,0.7000000000000028
20170705_03_04_01_A,invisible,original,113.30000000000001,1,0.7999999999999972
20170705_03_04_01_A,invisible,original,114.10000000000001,1,0.7000000000000028
20170705_03_04_01_A,invisible,original,114.80000000000001,1,0.6999999999999886
20170705_03_04_01_A,invisible,original,115.5,1,0.5
20170705_03_04_01_A,invisible,original,116.0,1,0.5
20170705_03_04_01_A,invisible,original,116.5,1,0.5
20170705_03_04_01_A,invisible,original,117.30000000000001,1,0.6999999999999886
20170705_03_04_01_A,invisible,original,118.0,1,0.5
20170705_03_04_01_A,invisible,original,118.5,1,0.5
20170705_03_04_01_A,invisible,original,119.2,1,0.7000000000000028
20170705_03_04_01_A,invisible,original,120.30000000000001,0,1.1000000000000085
20170705_03_04_01_A,invisible,original,122.5,1,0.6000000000000085
20170705_03_04_01_A,invisible,original,123.10000000000001,1,0.5
20170705_03_04_01_A,invisible,original,123.60000000000001,1,0.5
20170705_03_04_01_A,invisible,original,124.10000000000001,0,0.5
20170705_03_04_01_A,invisible,original,124.60000000000001,1,0.5
20170705_03_04_01_A,invisible,original,125.10000000000001,0,0.3999999999999915
20170705_03_04_01_A,invisible,original,125.5,1,0.3999999999999915
20170705_03_04_01_A,invisible,original,126.0,0,0.5
20170705_03_04_01_A,invisible,original,126.5,1,0.5
20170705_03_04_01_A,invisible,original,127.30000000000001,0,0.8000000000000114
20170705_03_04_01_A,invisible,original,128.70000000000002,1,1.4000000000000057
20170705_03_04_01_A,invisible,original,130.20000000000002,1,1.5
20170705_03_04_01_A,invisible,original,132.3,1,0.6999999999999886
20170705_03_04_01_A,invisible,original,133.0,1,0.5
20170705_03_04_01_A,invisible,original,133.5,1,0.5
20170705_03_04_01_A,invisible,original,134.0,1,0.5
20170705_03_04_01_A,invisible,original,134.6,1,0.5
20170705_03_04_01_A,invisible,original,135.1,1,0.5
20170705_03_04_01_A,invisible,original,135.6,1,0.5
20170705_03_04_01_A,invisible,original,136.20000000000002,1,0.5
20170705_03_04_01_A,invisible,original,136.70000000000002,0,0.5
20170705_03_04_01_A,invisible,original,137.3,1,0.5999999999999943
20170705_03_04_01_A,invisible,original,137.9,1,0.5999999999999943
20170705_03_04_01_A,invisible,original,138.5,0,0.5999999999999943
20170705_03_04_01_A,invisible,original,139.4,0,0.9000000000000057
20170705_03_04_01_A,invisible,original,142.8,1,0.9000000000000057
20170705_03_04_01_A,invisible,original,143.70000000000002,1,0.6999999999999886
20170705_03_04_01_A,invisible,original,144.4,1,0.6999999999999886
20170705_03_04_01_A,invisible,original,145.4,1,0.5
20170705_03_04_01_A,invisible,original,145.9,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,146.3,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,146.70000000000002,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,147.3,1,0.5999999999999943
20170705_03_04_01_A,invisible,original,147.9,0,0.5
20170705_03_04_01_A,invisible,original,148.4,0,0.5
20170705_03_04_01_A,invisible,original,149.4,0,1.0
20170705_03_04_01_A,invisible,original,150.5,1,0.9000000000000057
20170705_03_04_01_A,invisible,original,151.4,1,0.5999999999999943
20170705_03_04_01_A,invisible,original,152.0,0,0.5999999999999943
20170705_03_04_01_A,invisible,original,152.6,1,0.5999999999999943
20170705_03_04_01_A,invisible,original,153.70000000000002,0,1.1000000000000227
20170705_03_04_01_A,invisible,original,156.60000000000002,0,0.5
20170705_03_04_01_A,invisible,original,157.10000000000002,0,0.5
20170705_03_04_01_A,invisible,original,158.60000000000002,1,0.799999999999983
20170705_03_04_01_A,invisible,original,159.4,1,0.799999999999983
20170705_03_04_01_A,invisible,original,160.20000000000002,1,0.6999999999999886
20170705_03_04_01_A,invisible,original,160.9,1,0.5999999999999943
20170705_03_04_01_A,invisible,original,161.5,1,0.5999999999999943
20170705_03_04_01_A,invisible,original,162.10000000000002,1,0.5
20170705_03_04_01_A,invisible,original,162.60000000000002,1,0.5
20170705_03_04_01_A,invisible,original,163.20000000000002,0,0.5999999999999943
20170705_03_04_01_A,invisible,original,163.9,1,0.6999999999999886
20170705_03_04_01_A,invisible,original,164.70000000000002,0,0.8000000000000114
20170705_03_04_01_A,invisible,original,166.8,1,0.8000000000000114
20170705_03_04_01_A,invisible,original,167.60000000000002,1,0.5
20170705_03_04_01_A,invisible,original,168.10000000000002,1,0.5
20170705_03_04_01_A,invisible,original,168.60000000000002,1,0.39999999999997726
20170705_03_04_01_A,invisible,original,169.0,1,0.39999999999997726
20170705_03_04_01_A,invisible,original,169.60000000000002,1,0.39999999999997726
20170705_03_04_01_A,invisible,original,170.0,0,0.39999999999997726
20170705_03_04_01_A,invisible,original,170.5,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,170.9,0,0.4000000000000057
20170705_03_04_01_A,invisible,original,171.4,1,0.5
20170705_03_04_01_A,invisible,original,171.9,1,0.5
20170705_03_04_01_A,invisible,original,172.4,1,0.5
20170705_03_04_01_A,invisible,original,173.5,1,1.0999999999999943
20170705_03_04_01_A,invisible,original,174.70000000000002,0,1.200000000000017
20170705_03_04_01_A,invisible,original,176.4,1,0.8000000000000114
20170705_03_04_01_A,invisible,original,177.20000000000002,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,177.60000000000002,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,178.10000000000002,1,0.29999999999998295
20170705_03_04_01_A,invisible,original,178.4,0,0.29999999999998295
20170705_03_04_01_A,invisible,original,179.0,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,179.4,1,0.4000000000000057
20170705_03_04_01_A,invisible,original,179.8,0,0.4000000000000057
20170705_03_04_01_A,invisible,second,2.8000000000000003,1,0.8999999999999999
20170705_03_04_01_A,invisible,second,3.7,1,0.7999999999999998
20170705_03_04_01_A,invisible,second,4.5,1,0.7999999999999998
20170705_03_04_01_A,invisible,second,5.4,0,0.7000000000000002
20170705_03_04_01_A,invisible,second,6.1000000000000005,1,0.5999999999999996
