tolerance,n_videos,total_events_a,total_events_b,total_matched,precision_pooled,recall_pooled,f1_pooled,f1_video_mean,f1_video_ci_lo,f1_video_ci_hi
0.05,25,5583,4776,785,0.1643634840871022,0.14060540927816587,0.15155903079447824,0.15203996408307266,0.13675062237616714,0.16769687803642003
0.1,25,5583,4776,2332,0.4882747068676717,0.4176965789002329,0.450236509315571,0.4483738609667689,0.4169577899525411,0.47970158061702767
0.15,25,5583,4776,2332,0.4882747068676717,0.4176965789002329,0.450236509315571,0.4483738609667689,0.41739786655725947,0.4795110388514095
0.2,25,5583,4776,3594,0.7525125628140703,0.6437399247716281,0.6938893715609614,0.6899308695313695,0.660194290828998,0.7174137237879936
0.3,25,5583,4776,4220,0.8835845896147404,0.7558660218520509,0.8147504585384691,0.8108145022182239,0.7900488614195376,0.8300496548260552
0.5,25,5583,4776,4541,0.9507956448911222,0.8133619917607021,0.876725552659523,0.8733437188535751,0.8523154020486957,0.8915490014281005
