video,condition,coder,period,n_a,n_b,n_match,S,zS,p
20170705_03_04_01,invisible,original,P1,22,23,19,0.8444444444444444,1.8029934653724733,0.09009099090090991
20170705_03_04_01,invisible,original,P2,49,61,39,0.7090909090909091,-0.38225550662184077,0.7450254974502549
20170705_03_04_01,invisible,original,P3,160,153,113,0.7220447284345048,1.5040400814243187,0.09719028097190281
20170705_03_04_01,invisible,second,P1,22,19,15,0.7317073170731707,0.567589433697197,0.40875912408759124
20170705_03_04_01,invisible,second,P2,57,49,35,0.660377358490566,-0.8834979830924193,0.8520147985201479
20170705_03_04_01,invisible,second,P3,131,130,85,0.6513409961685823,1.6799675072406102,0.05929407059294071
20170706_01_02_03,visible,original,P1,22,18,16,0.8,-0.08345102224801346,0.7386261373862614
20170706_01_02_03,visible,original,P2,60,42,36,0.7058823529411765,-0.8860583321833254,0.8888111188881112
20170706_01_02_03,visible,original,P3,151,107,89,0.689922480620155,0.8513845978450832,0.23247675232476753
20170706_01_02_03,visible,second,P1,23,21,17,0.7727272727272727,0.012312722006017024,0.6132386761323868
20170706_01_02_03,visible,second,P2,54,43,38,0.7835051546391752,0.8479196888834247,0.263973602639736
20170706_01_02_03,visible,second,P3,146,109,88,0.6901960784313725,0.5722516247071955,0.33906609339066096
20170706_03_04_03,visible,original,P1,19,26,19,0.8444444444444444,1.8184179037206034,0.06579342065793421
20170706_03_04_03,visible,original,P2,58,63,51,0.8429752066115702,0.09569241749018473,0.6063393660633937
20170706_03_04_03,visible,original,P3,156,171,125,0.764525993883792,-0.31706991864892703,0.6999300069993001
20170706_03_04_03,visible,second,P1,15,22,13,0.7027027027027027,0.2739109465208313,0.57994200579942
20170706_03_04_03,visible,second,P2,37,53,29,0.6444444444444445,0.44223222141798074,0.42155784421557846
20170706_03_04_03,visible,second,P3,100,140,68,0.5666666666666667,-0.9424208223517593,0.8577142285771423
20170706_05_06_03,visible,original,P1,25,20,16,0.7111111111111111,-0.41465211503691723,0.7815218478152185
20170706_05_06_03,visible,original,P2,59,46,42,0.8,2.1055551916729427,0.0301969803019698
20170706_05_06_03,visible,original,P3,152,147,105,0.7023411371237458,-0.862892420660544,0.8517148285171483
20170706_05_06_03,visible,second,P1,23,21,17,0.7727272727272727,0.47167553228548226,0.4904509549045096
20170706_05_06_03,visible,second,P2,50,45,37,0.7789473684210526,1.5677891836361144,0.09909009099090091
20170706_05_06_03,visible,second,P3,127,138,93,0.7018867924528301,1.0677639166716015,0.1817818218178182
20170707_01_02_01,invisible,original,P1,27,28,23,0.8363636363636363,0.7268724002272905,0.49255074492550743
20170707_01_02_01,invisible,original,P2,64,59,47,0.7642276422764228,-0.30864529349051456,0.7157284271572842
20170707_01_02_01,invisible,original,P3,152,158,114,0.7354838709677419,1.3126754212245222,0.131986801319868
20170707_01_02_01,invisible,second,P1,26,25,21,0.8235294117647058,-0.1281780348908818,0.7426257374262574
20170707_01_02_01,invisible,second,P2,50,50,35,0.7,-0.6324634368235755,0.8123187681231877
20170707_01_02_01,invisible,second,P3,124,113,77,0.6497890295358649,0.7745455540489706,0.26977302269773024
20170707_01_02_03,invisible,original,P1,29,31,23,0.7666666666666667,-1.0871110766010255,0.9515048495150485
20170707_01_02_03,invisible,original,P2,60,66,49,0.7777777777777778,0.003489280571866944,0.6154384561543845
20170707_01_02_03,invisible,original,P3,168,192,130,0.7222222222222222,0.05572097488249816,0.5128487151284872
20170707_01_02_03,invisible,second,P1,25,23,18,0.75,-1.2831022699123935,0.9573042695730427
20170707_01_02_03,invisible,second,P2,42,45,27,0.6206896551724138,-0.18683460951219485,0.6826317368263174
20170707_01_02_03,invisible,second,P3,123,126,80,0.642570281124498,1.0657283376937547,0.16648335166483352
20170707_03_04_02,invisible,original,P1,23,16,15,0.7692307692307693,0.5781409109608286,0.5132486751324867
20170707_03_04_02,invisible,original,P2,64,53,45,0.7692307692307693,-0.07547768919601824,0.661033896610339
20170707_03_04_02,invisible,original,P3,178,127,113,0.740983606557377,1.5444146553695541,0.08539146085391461
20170707_03_04_02,invisible,second,P1,20,17,14,0.7567567567567568,0.6480452212573002,0.394960503949605
20170707_03_04_02,invisible,second,P2,57,49,41,0.7735849056603774,2.0676201562942036,0.036196380361963806
