video,condition,coder,period,n_a,n_b,n_match,S,zS,p
20170705_03_04_01,invisible,original,P1,22,23,19,0.8444444444444444,0.8096132733102048,0.39166083391660833
20170705_03_04_01,invisible,original,P2,49,61,41,0.7454545454545455,-0.3564438081402622,0.7486251374862514
20170705_03_04_01,invisible,original,P3,160,153,121,0.7731629392971247,1.9564532277322775,0.031596840315968405
20170705_03_04_01,invisible,second,P1,22,19,17,0.8292682926829268,1.2115468488640062,0.2343765623437656
20170705_03_04_01,invisible,second,P2,57,49,38,0.7169811320754716,-0.5096510310240994,0.7608239176082392
20170705_03_04_01,invisible,second,P3,131,130,93,0.7126436781609196,1.6722640139829175,0.05779422057794221
20170706_01_02_03,visible,original,P1,22,18,16,0.8,-0.852893713017329,0.9321067893210679
20170706_01_02_03,visible,original,P2,60,42,38,0.7450980392156863,-1.4014217847323733,0.9584041595840416
20170706_01_02_03,visible,original,P3,151,107,93,0.7209302325581395,-1.4533663934543963,0.9472052794720528
20170706_01_02_03,visible,second,P1,23,21,18,0.8181818181818182,0.020244000824616724,0.6633336666333367
20170706_01_02_03,visible,second,P2,54,43,39,0.8041237113402062,0.0956764875246057,0.5896410358964104
20170706_01_02_03,visible,second,P3,146,109,97,0.7607843137254902,0.453664558769529,0.3882611738826117
20170706_03_04_03,visible,original,P1,19,26,19,0.8444444444444444,1.3103102586190145,0.256974302569743
20170706_03_04_03,visible,original,P2,58,63,53,0.8760330578512396,0.47475716295313575,0.46325367463253675
20170706_03_04_03,visible,original,P3,156,171,127,0.7767584097859327,-1.6331781542873391,0.9687031296870313
20170706_03_04_03,visible,second,P1,15,22,14,0.7567567567567568,0.27781989764897397,0.5821417858214178
20170706_03_04_03,visible,second,P2,37,53,33,0.7333333333333333,0.9927456774200559,0.20657934206579343
20170706_03_04_03,visible,second,P3,100,140,79,0.6583333333333333,-0.7497421092678926,0.7873212678732127
20170706_05_06_03,visible,original,P1,25,20,19,0.8444444444444444,1.0431368229430693,0.30116988301169884
20170706_05_06_03,visible,original,P2,59,46,43,0.819047619047619,1.2598216972837923,0.19808019198080193
20170706_05_06_03,visible,original,P3,152,147,111,0.7424749163879598,-1.73077177161266,0.9706029397060294
20170706_05_06_03,visible,second,P1,23,21,18,0.8181818181818182,0.19626909942710033,0.5394460553944606
20170706_05_06_03,visible,second,P2,50,45,37,0.7789473684210526,-0.4223247608403248,0.7853214678532147
20170706_05_06_03,visible,second,P3,127,138,104,0.7849056603773585,1.2663399129758337,0.14808519148085192
20170707_01_02_01,invisible,original,P1,27,28,23,0.8363636363636363,0.16399956504213523,0.7256274372562743
20170707_01_02_01,invisible,original,P2,64,59,49,0.7967479674796748,-0.2868467527102513,0.7084291570842915
20170707_01_02_01,invisible,original,P3,152,158,122,0.7870967741935484,1.9746858816380015,0.0408959104089591
20170707_01_02_01,invisible,second,P1,26,25,22,0.8627450980392157,0.24207462210317068,0.5829417058294171
20170707_01_02_01,invisible,second,P2,50,50,41,0.82,0.8082172396391646,0.30556944305569445
20170707_01_02_01,invisible,second,P3,124,113,82,0.6919831223628692,0.1053669927714734,0.49845015498450157
20170707_01_02_03,invisible,original,P1,29,31,24,0.8,-0.6395305063003521,0.8839116088391161
20170707_01_02_03,invisible,original,P2,60,66,50,0.7936507936507936,-0.3820101652333601,0.7578242175782421
20170707_01_02_03,invisible,original,P3,168,192,135,0.75,0.02475019572672348,0.5229477052294771
20170707_01_02_03,invisible,second,P1,25,23,18,0.75,-2.2030460324624435,1.0
20170707_01_02_03,invisible,second,P2,42,45,30,0.6896551724137931,0.018705074302204208,0.5989401059894011
20170707_01_02_03,invisible,second,P3,123,126,90,0.7228915662650602,1.3027936276985634,0.13408659134086592
20170707_03_04_02,invisible,original,P1,23,16,16,0.8205128205128205,0.9869099297411297,0.41215878412158785
20170707_03_04_02,invisible,original,P2,64,53,49,0.8376068376068376,1.6909877765942605,0.07839216078392161
20170707_03_04_02,invisible,original,P3,178,127,118,0.7737704918032787,0.13229201453175216,0.5484451554844516
20170707_03_04_02,invisible,second,P1,20,17,15,0.8108108108108109,0.5684914675580273,0.42855714428557146
20170707_03_04_02,invisible,second,P2,57,49,43,0.8113207547169812,1.774104972541565,0.07679232076792321
20170707_03_04_02,invisible,second,P3,141,116,98,0.7626459143968871,1.114531787152834,0.17228277172282772
20170707_11_12_01,invisible,original,P1,20,28,20,0.8333333333333334,0.7372213392648254,0.6093390660933906
20170707_11_12_01,invisible,original,P2,59,58,49,0.8376068376068376,-0.3852383421800417,0.7277272272772722
20170707_11_12_01,invisible,original,P3,168,159,133,0.8134556574923547,-0.7271592511479923,0.8126187381261873
20170707_11_12_01,invisible,second,P1,23,24,22,0.9361702127659575,2.662119437423919,0.006799320067993201
20170707_11_12_01,invisible,second,P2,62,48,42,0.7636363636363637,-1.5292993687837648,0.9813018698130187
20170707_11_12_01,invisible,second,P3,150,142,119,0.815068493150685,1.5363073365330908,0.08839116088391161
20170714_03_04_03,visible,original,P1,19,22,18,0.8780487804878049,1.0849007620151214,0.35156484351564843
20170714_03_04_03,visible,original,P2,41,53,37,0.7872340425531915,0.5940955039274443,0.41745825417458254
20170714_03_04_03,visible,original,P3,156,167,133,0.8235294117647058,-0.05833235519070678,0.6017398260173983
20170714_03_04_03,visible,second,P1,22,24,20,0.8695652173913043,0.567569140922315,0.5302469753024698
20170714_03_04_03,visible,second,P2,43,50,38,0.8172043010752689,1.1033142515978678,0.21747825217478253
