video,condition,coder,period,n_a,n_b,n_match,S,zS,p
20170706_01_02_03,visible,original,P1,22,18,16,0.8,-0.8739089941466014,0.9373062693730627
20170706_01_02_03,visible,original,P2,60,42,38,0.7450980392156863,-1.2241792444823565,0.9428057194280572
20170706_01_02_03,visible,original,P3,151,107,92,0.7131782945736435,-1.2257771423838248,0.9346065393460654
20170706_01_02_03,visible,second,P1,27,23,21,0.84,0.26212698427731085,0.6864313568643136
20170706_01_02_03,visible,second,P2,62,45,42,0.7850467289719626,0.031024407106879665,0.652034796520348
20170706_01_02_03,visible,second,P3,168,116,107,0.7535211267605634,0.136641513691959,0.5451454854514548
20170706_03_04_02,visible,original,P1,21,21,19,0.9047619047619048,1.7424268252689405,0.13068693130686931
20170706_03_04_02,visible,original,P2,55,53,44,0.8148148148148148,0.055354945449987154,0.5635436456354365
20170706_03_04_02,visible,original,P3,153,157,127,0.8193548387096774,1.3179084830327412,0.13878612138786123
20170706_03_04_02,visible,second,P1,21,25,16,0.6956521739130435,-3.0405802627774237,1.0
20170706_03_04_02,visible,second,P2,53,59,45,0.8035714285714286,-0.08172702239396988,0.6142385761423858
20170706_03_04_02,visible,second,P3,151,156,118,0.7687296416938111,0.20335215208734336,0.46415358464153583
20170706_05_06_03,visible,original,P1,25,20,19,0.8444444444444444,1.312357619751648,0.2226777322267773
20170706_05_06_03,visible,original,P2,59,46,43,0.819047619047619,1.6868061400510677,0.08559144085591441
20170706_05_06_03,visible,original,P3,152,147,110,0.7357859531772575,-1.2677059699280593,0.9278072192780722
20170706_05_06_03,visible,second,P1,29,21,20,0.8,0.4709923255334537,0.5327467253274673
20170706_05_06_03,visible,second,P2,63,52,45,0.782608695652174,-0.5119281111301264,0.8123187681231877
20170706_05_06_03,visible,second,P3,170,156,127,0.7791411042944786,-0.4212258698409579,0.7288271172882712
20170710_01_02_01,visible,original,P1,20,23,17,0.7906976744186046,0.025051567395009088,0.7092290770922908
20170710_01_02_01,visible,original,P2,60,49,40,0.7339449541284404,-1.3008919076522718,0.9493050694930507
20170710_01_02_01,visible,original,P3,162,153,121,0.7682539682539683,1.179190351620702,0.16498350164983502
20170710_01_02_01,visible,second,P1,24,22,20,0.8695652173913043,0.899020139989024,0.40995900409959
20170710_01_02_01,visible,second,P2,69,51,46,0.7666666666666667,0.9122045567529339,0.27647235276472354
20170710_01_02_01,visible,second,P3,171,153,123,0.7592592592592593,0.7623995232530772,0.2743725627437256
20170710_07_08_01,visible,original,P1,2,0,0,,,
20170710_07_08_01,visible,original,P2,39,42,22,0.5432098765432098,-1.2527850515652346,0.9288071192880712
20170710_07_08_01,visible,original,P3,77,79,40,0.5128205128205128,1.2181182183552095,0.11818818118188182
20170710_07_08_01,visible,second,P1,4,3,2,0.5714285714285714,-1.8643841103730834,1.0
20170710_07_08_01,visible,second,P2,41,47,23,0.5227272727272727,-1.609778059756076,0.9591040895910409
20170710_07_08_01,visible,second,P3,86,87,45,0.5202312138728323,1.4681305368056592,0.0978902109789021
20170714_01_02_02,visible,original,P1,23,24,18,0.7659574468085106,-1.737739987460509,0.9952004799520048
20170714_01_02_02,visible,original,P2,65,59,49,0.7903225806451613,-0.24161480257421952,0.7027297270272973
20170714_01_02_02,visible,original,P3,157,198,141,0.7943661971830986,0.9558140650228071,0.22847715228477153
20170714_01_02_02,visible,second,P1,25,27,22,0.8461538461538461,0.2413897442319117,0.5858414158584142
20170714_01_02_02,visible,second,P2,58,66,46,0.7419354838709677,-1.5425007807077367,0.9728027197280272
20170714_01_02_02,visible,second,P3,162,209,142,0.7654986522911051,0.10411114086859924,0.5188481151884812
20170705_01_02_01,invisible,original,P1,15,11,10,0.7692307692307693,-0.06386682201033114,0.827917208279172
20170705_01_02_01,invisible,original,P2,55,44,38,0.7676767676767676,0.11120587612764671,0.5531446855314468
20170705_01_02_01,invisible,original,P3,140,133,106,0.7765567765567766,0.7955973938213472,0.26547345265473454
20170705_01_02_01,invisible,second,P1,13,13,8,0.6153846153846154,-0.6234380138014127,0.8645135486451355
20170705_01_02_01,invisible,second,P2,51,49,39,0.78,0.03049888757557023,0.6311368863113689
20170705_01_02_01,invisible,second,P3,134,132,103,0.7744360902255639,0.7124533381224339,0.2832716728327167
20170705_03_04_02,invisible,original,P1,30,26,24,0.8571428571428571,0.6427126079633095,0.44075592440755923
20170705_03_04_02,invisible,original,P2,66,54,45,0.75,-0.48789327351077644,0.7981201879812019
20170705_03_04_02,invisible,original,P3,175,170,133,0.7710144927536232,0.4891115998838036,0.36136386361363865
20170705_03_04_02,invisible,second,P1,30,27,24,0.8421052631578947,-0.7087254699701326,0.9101089891010898
20170705_03_04_02,invisible,second,P2,71,56,52,0.8188976377952756,2.0743963126267593,0.04229577042295771
