video,condition,coder,period,n_a,n_b,n_match,S,zS,p
20170705_03_04_01,invisible,original,P1,22,23,14,0.6222222222222222,2.644962712524023,0.0184981501849815
20170705_03_04_01,invisible,original,P2,49,61,23,0.41818181818181815,0.15267303600447987,0.49005099490050996
20170705_03_04_01,invisible,original,P3,160,153,68,0.43450479233226835,1.1226087884632672,0.1424857514248575
20170705_03_04_01,invisible,second,P1,22,19,8,0.3902439024390244,0.33981444184875703,0.48495150484951505
20170705_03_04_01,invisible,second,P2,57,49,11,0.20754716981132076,-2.9359897294790622,0.9977002299770023
20170705_03_04_01,invisible,second,P3,131,130,42,0.3218390804597701,-0.04016990088318376,0.5598440155984401
20170706_01_02_03,visible,original,P1,22,18,3,0.15,-2.0013821657601643,1.0
20170706_01_02_03,visible,original,P2,60,42,22,0.43137254901960786,0.9665941334402803,0.20257974202579743
20170706_01_02_03,visible,original,P3,151,107,39,0.3023255813953488,-0.2521477475157623,0.6331366863313669
20170706_01_02_03,visible,second,P1,23,21,10,0.45454545454545453,0.420298181990528,0.40205979402059794
20170706_01_02_03,visible,second,P2,54,43,18,0.3711340206185567,0.15925092584239195,0.48225177482251774
20170706_01_02_03,visible,second,P3,146,109,49,0.3843137254901961,1.5920956973797478,0.07269273072692731
20170706_03_04_03,visible,original,P1,19,26,13,0.5777777777777777,1.4426483309489677,0.12308769123087691
20170706_03_04_03,visible,original,P2,58,63,25,0.4132231404958678,-0.5444828376656554,0.7304269573042695
20170706_03_04_03,visible,original,P3,156,171,79,0.4831804281345566,1.8297039894751468,0.03849615038496151
20170706_03_04_03,visible,second,P1,15,22,8,0.43243243243243246,0.5259841510273285,0.40435956404359563
20170706_03_04_03,visible,second,P2,37,53,13,0.28888888888888886,-0.47764639445349644,0.7446255374462554
20170706_03_04_03,visible,second,P3,100,140,31,0.25833333333333336,-0.8655934253958856,0.833016698330167
20170706_05_06_03,visible,original,P1,25,20,7,0.3111111111111111,-1.1429539060927612,0.9092090790920908
20170706_05_06_03,visible,original,P2,59,46,22,0.41904761904761906,0.5350165247187982,0.3615638436156384
20170706_05_06_03,visible,original,P3,152,147,56,0.3745819397993311,0.05340884571765705,0.5102489751024898
20170706_05_06_03,visible,second,P1,23,21,6,0.2727272727272727,-1.0426404316807731,0.8845115488451155
20170706_05_06_03,visible,second,P2,50,45,20,0.42105263157894735,0.9761677538216832,0.1934806519348065
20170706_05_06_03,visible,second,P3,127,138,51,0.3849056603773585,1.310261478810968,0.11158884111588842
20170707_01_02_01,invisible,original,P1,27,28,20,0.7272727272727273,1.7345836558194803,0.07679232076792321
20170707_01_02_01,invisible,original,P2,64,59,24,0.3902439024390244,-1.110604518759334,0.8956104389561044
20170707_01_02_01,invisible,original,P3,152,158,61,0.3935483870967742,0.08197334805627142,0.49125087491250874
20170707_01_02_01,invisible,second,P1,26,25,10,0.39215686274509803,-0.8304783592807332,0.8412158784121588
20170707_01_02_01,invisible,second,P2,50,50,18,0.36,-0.1856083363503911,0.6277372262773723
20170707_01_02_01,invisible,second,P3,124,113,43,0.3628691983122363,0.5610361447346564,0.31416858314168583
20170707_01_02_03,invisible,original,P1,29,31,14,0.4666666666666667,-0.8695245334793348,0.8344165583441656
20170707_01_02_03,invisible,original,P2,60,66,23,0.36507936507936506,-1.4489992470147113,0.9415058494150585
20170707_01_02_03,invisible,original,P3,168,192,74,0.4111111111111111,-0.916768137031883,0.8409159084091591
20170707_01_02_03,invisible,second,P1,25,23,11,0.4583333333333333,0.18725407163463975,0.47595240475952405
20170707_01_02_03,invisible,second,P2,42,45,18,0.41379310344827586,1.3579775660939524,0.13458654134586542
20170707_01_02_03,invisible,second,P3,123,126,48,0.3855421686746988,1.8842790168640022,0.031296870312968704
20170707_03_04_02,invisible,original,P1,23,16,6,0.3076923076923077,-0.9801830560689292,0.8729127087291271
20170707_03_04_02,invisible,original,P2,64,53,24,0.41025641025641024,-0.32707450221313983,0.666933306669333
20170707_03_04_02,invisible,original,P3,178,127,45,0.29508196721311475,-2.1071260690828764,0.9874012598740126
20170707_03_04_02,invisible,second,P1,20,17,7,0.3783783783783784,-0.10120101108386395,0.5958404159584042
20170707_03_04_02,invisible,second,P2,57,49,25,0.4716981132075472,1.1718587419927395,0.16898310168983102
20170707_03_04_02,invisible,second,P3,141,116,50,0.38910505836575876,1.88479172191828,0.046795320467953205
20170707_11_12_01,invisible,original,P1,20,28,10,0.4166666666666667,-0.054169702901172775,0.5788421157884212
20170707_11_12_01,invisible,original,P2,59,58,23,0.39316239316239315,-0.38890610197955067,0.6736326367363263
20170707_11_12_01,invisible,original,P3,168,159,55,0.3363914373088685,-1.85616911759073,0.9681031896810319
20170707_11_12_01,invisible,second,P1,23,24,14,0.5957446808510638,1.7357091226305499,0.06409359064093591
20170707_11_12_01,invisible,second,P2,62,48,22,0.4,-0.03260029459299352,0.5621437856214379
20170707_11_12_01,invisible,second,P3,150,142,72,0.4931506849315068,2.715362115380915,0.0064993500649935
20170714_03_04_03,visible,original,P1,19,22,13,0.6341463414634146,2.1859868237538054,0.0216978302169783
20170714_03_04_03,visible,original,P2,41,53,17,0.3617021276595745,0.23168199686705232,0.46895310468953105
20170714_03_04_03,visible,original,P3,156,167,68,0.42105263157894735,0.33518560066526776,0.40075992400759924
20170714_03_04_03,visible,second,P1,22,24,11,0.4782608695652174,0.5518729576961973,0.3578642135786421
20170714_03_04_03,visible,second,P2,43,50,10,0.21505376344086022,-1.673298287541968,0.9759024097590241
20170714_03_04_03,visible,second,P3,142,132,49,0.35766423357664234,0.2887538445680493,0.40445955404459555
20170714_07_08_02,visible,original,P1,17,17,7,0.4117647058823529,0.37563795125328775,0.5009499050094991
20170714_07_08_02,visible,original,P2,48,39,14,0.3218390804597701,-0.008104525433762817,0.5751424857514249
20170714_07_08_02,visible,original,P3,150,101,41,0.32669322709163345,0.4224045293220574,0.37046295370462956
20170714_07_08_02,visible,second,P1,18,16,4,0.23529411764705882,-1.0148639771728878,0.8961103889611038
20170714_07_08_02,visible,second,P2,46,43,18,0.4044943820224719,1.001785592613256,0.20017998200179982
20170714_07_08_02,visible,second,P3,134,101,36,0.30638297872340425,0.40357430487389206,0.3855614438556144
