mode,delta,period,n,n_visible,n_invisible,icc_a1,boot_lo,boot_hi,n_boot_ok,f_lo,f_hi,pearson_r,source
inter,0.1,P1,10,5,5,0.07128555799490358,-0.36450167472323675,0.4203838192614432,10000,-0.6346478631560223,0.6608937926040886,0.07901417083928733,./R2-4_zS_inter_d0.1_per_video.csv
inter,0.1,P2,10,5,5,-0.22534009958458145,-0.5635960182677517,0.2460258677507346,10000,-0.8549676829328243,0.48221075001850994,-0.2404629647913181,./R2-4_zS_inter_d0.1_per_video.csv
inter,0.1,P3,10,5,5,-0.7326600530886975,-1.1974826379425494,-0.19616202930569163,10000,-0.7864136982552031,-0.36822644287499307,-0.9311881790268952,./R2-4_zS_inter_d0.1_per_video.csv
inter,0.1,all periods pooled,30,15,15,-0.31968176749568894,-0.5426012527383093,-0.01146768335551732,10000,-0.6156777338287522,0.04708088989345263,-0.317565229666322,./R2-4_zS_inter_d0.1_per_video.csv
inter,0.2,P1,10,5,5,-0.030405011512473087,-0.577802998871108,0.42083705114800657,10000,-0.7315570130845769,0.6082441375472115,-0.03372109363882363,./R2-4_zS_inter_d0.2_per_video.csv
inter,0.2,P2,10,5,5,-0.41651007234065757,-0.747442760153919,0.11122093625522675,10000,-0.9450088578833681,0.32346681522557597,-0.41176614747018064,./R2-4_zS_inter_d0.2_per_video.csv
inter,0.2,P3,10,5,5,0.022619106114156035,-0.4203360804065821,0.6512493858988987,10000,-0.6304160295234603,0.6258960334001309,0.024907634567223422,./R2-4_zS_inter_d0.2_per_video.csv
inter,0.2,all periods pooled,30,15,15,-0.12962759602393892,-0.3725902771934811,0.14184685268067884,10000,-0.4829451622523368,0.2472012864995799,-0.1267341043408755,./R2-4_zS_inter_d0.2_per_video.csv
inter,0.3,P1,10,5,5,0.18384837992610134,-0.5647229224051351,0.7512278819478888,10000,-0.5496179095840207,0.7191188773863835,0.18628971482392712,./R2-4_zS_inter_d0.3_per_video.csv
inter,0.3,P2,10,5,5,0.33158198485312046,-0.27016264593729494,0.8771539625050705,10000,-0.2905597068453158,0.7728484172323554,0.3397109383239699,./R2-4_zS_inter_d0.3_per_video.csv
inter,0.3,P3,10,5,5,0.32296091184221204,-0.2468060934865687,0.8985804517564132,10000,-0.2919948330622005,0.7679866475472544,0.3377600173371369,./R2-4_zS_inter_d0.3_per_video.csv
inter,0.3,all periods pooled,30,15,15,0.27194218095594824,-0.0503700785257855,0.6128654405911909,10000,-0.08394428962927132,0.569164551914505,0.27484087976398613,./R2-4_zS_inter_d0.3_per_video.csv
inter,0.5,P1,10,5,5,0.4390647440817128,-0.21287434507022265,0.675249273519466,10000,-0.25000482337769087,0.8257966778775573,0.4496620639466349,./R2-4_zS_inter_d0.5_per_video.csv
