video,condition,coder,period,n_a,n_b,n_match,S,zS,p
20170705_03_04_01,invisible,original,P1,22,23,19,0.8444444444444444,1.016483232624858,0.28647135286471354
20170705_03_04_01,invisible,original,P2,49,61,40,0.7272727272727273,-0.6583818261329624,0.8255174482551745
20170705_03_04_01,invisible,original,P3,160,153,118,0.7539936102236422,1.7661228248953476,0.0542945705429457
20170705_03_04_01,invisible,second,P1,22,19,17,0.8292682926829268,1.5082132191582518,0.15558444155584442
20170705_03_04_01,invisible,second,P2,57,49,38,0.7169811320754716,-0.2064270106451235,0.6823317668233176
20170705_03_04_01,invisible,second,P3,131,130,89,0.6819923371647509,1.3476914945842422,0.1250874912508749
20170706_01_02_03,visible,original,P1,22,18,16,0.8,-0.8406978496616136,0.9321067893210679
20170706_01_02_03,visible,original,P2,60,42,38,0.7450980392156863,-1.200257745191761,0.941005899410059
20170706_01_02_03,visible,original,P3,151,107,92,0.7131782945736435,-1.2325896790862767,0.9361063893610639
20170706_01_02_03,visible,second,P1,23,21,18,0.8181818181818182,0.051297925742325036,0.6384361563843616
20170706_01_02_03,visible,second,P2,54,43,38,0.7835051546391752,-0.4026217033470115,0.8015198480151985
20170706_01_02_03,visible,second,P3,146,109,97,0.7607843137254902,0.8770536816587597,0.25077492250774924
20170706_03_04_03,visible,original,P1,19,26,19,0.8444444444444444,1.3220855047368822,0.24997500249975002
20170706_03_04_03,visible,original,P2,58,63,53,0.8760330578512396,0.6381674585647676,0.3999600039996
20170706_03_04_03,visible,original,P3,156,171,127,0.7767584097859327,-1.1778831691390903,0.9106089391060894
20170706_03_04_03,visible,second,P1,15,22,13,0.7027027027027027,-0.5964860741425242,0.902009799020098
20170706_03_04_03,visible,second,P2,37,53,32,0.7111111111111111,0.9667210622045124,0.21937806219378062
20170706_03_04_03,visible,second,P3,100,140,74,0.6166666666666667,-1.3437490283263092,0.9416058394160584
20170706_05_06_03,visible,original,P1,25,20,19,0.8444444444444444,1.3115597745403107,0.21927807219278073
20170706_05_06_03,visible,original,P2,59,46,43,0.819047619047619,1.7016663691167446,0.0871912808719128
20170706_05_06_03,visible,original,P3,152,147,110,0.7357859531772575,-1.2733277257372753,0.9265073492650735
20170706_05_06_03,visible,second,P1,23,21,18,0.8181818181818182,0.434827218353554,0.46335366463353667
