label,condition,tolerance,n_events_a,n_events_b,n_matched,precision,recall,f1,median_abs_dt,p95_abs_dt,mean_dt_signed,median_dt_signed,offset_applied
20170706_01_02_03_A,visible,0.05,236,262,37,0.14122137404580154,0.15677966101694915,0.14859437751004018,0.0,0.0,0.0,0.0,0.0
20170706_01_02_03_A,visible,0.1,236,262,116,0.44274809160305345,0.4915254237288136,0.46586345381526106,0.09999999999999432,0.10000000000000853,0.016379310344827785,0.0,0.0
20170706_01_02_03_A,visible,0.15,236,262,116,0.44274809160305345,0.4915254237288136,0.46586345381526106,0.09999999999999432,0.10000000000000853,0.016379310344827785,0.0,0.0
20170706_01_02_03_A,visible,0.2,236,262,186,0.7099236641221374,0.788135593220339,0.7469879518072289,0.10000000000000142,0.20000000000000284,0.04731182795698946,0.09999999999999432,0.0
20170706_01_02_03_A,visible,0.3,236,262,219,0.8358778625954199,0.9279661016949152,0.8795180722891566,0.10000000000002274,0.30000000000000426,0.05981735159817424,0.09999999999999432,0.0
20170706_01_02_03_A,visible,0.5,236,262,231,0.8816793893129771,0.9788135593220338,0.927710843373494,0.19999999999998863,0.5,-0.020779220779220224,0.0,0.0
20170706_03_04_02_A,visible,0.05,229,226,45,0.19911504424778761,0.1965065502183406,0.1978021978021978,0.0,0.0,0.0,0.0,0.09999999999999432
20170706_03_04_02_A,visible,0.1,229,226,132,0.584070796460177,0.5764192139737991,0.5802197802197803,0.09999999999999432,0.10000000000000853,0.03560606060606083,0.09999999999999432,0.09999999999999432
20170706_03_04_02_A,visible,0.15,229,226,132,0.584070796460177,0.5764192139737991,0.5802197802197803,0.09999999999999432,0.10000000000000853,0.03560606060606083,0.09999999999999432,0.09999999999999432
20170706_03_04_02_A,visible,0.2,229,226,191,0.8451327433628318,0.834061135371179,0.8395604395604396,0.10000000000000142,0.20000000000000284,0.05916230366492169,0.09999999999999432,0.09999999999999432
20170706_03_04_02_A,visible,0.3,229,226,208,0.9203539823008849,0.9082969432314411,0.9142857142857144,0.10000000000000142,0.2999999999999995,0.06730769230769229,0.09999999999999432,0.09999999999999432
20170706_03_04_02_A,visible,0.5,229,226,218,0.9646017699115044,0.9519650655021834,0.9582417582417583,0.10000000000000497,0.41500000000000253,0.058256880733945124,0.09999999999999432,0.09999999999999432
20170706_05_06_03_A,visible,0.05,237,265,50,0.18867924528301888,0.2109704641350211,0.19920318725099603,0.0,0.0,0.0,0.0,-0.19999999999998863
20170706_05_06_03_A,visible,0.1,237,265,139,0.5245283018867924,0.5864978902953587,0.5537848605577689,0.09999999999999432,0.10000000000000853,0.02374100719424452,0.0,-0.19999999999998863
20170706_05_06_03_A,visible,0.15,237,265,139,0.5245283018867924,0.5864978902953587,0.5537848605577689,0.09999999999999432,0.10000000000000853,0.02374100719424452,0.0,-0.19999999999998863
20170706_05_06_03_A,visible,0.2,237,265,202,0.7622641509433963,0.8523206751054853,0.804780876494024,0.09999999999999964,0.20000000000000284,0.04108910891089132,0.09999999999999432,-0.19999999999998863
20170706_05_06_03_A,visible,0.3,237,265,218,0.8226415094339623,0.919831223628692,0.8685258964143426,0.10000000000000142,0.29999999999999716,0.018348623853211392,0.0,-0.19999999999998863
20170706_05_06_03_A,visible,0.5,237,265,228,0.8603773584905661,0.9620253164556962,0.9083665338645419,0.20000000000000995,0.5,-0.1513157894736839,-0.19999999999998863,-0.19999999999998863
20170710_01_02_01_A,visible,0.05,242,263,45,0.17110266159695817,0.1859504132231405,0.1782178217821782,0.0,0.0,0.0,0.0,-0.19999999999998863
20170710_01_02_01_A,visible,0.1,242,263,135,0.5133079847908745,0.5578512396694215,0.5346534653465347,0.09999999999999432,0.10000000000000853,-0.007407407407406815,0.0,-0.19999999999998863
20170710_01_02_01_A,visible,0.15,242,263,135,0.5133079847908745,0.5578512396694215,0.5346534653465347,0.09999999999999432,0.10000000000000853,-0.007407407407406815,0.0,-0.19999999999998863
20170710_01_02_01_A,visible,0.2,242,263,210,0.7984790874524715,0.8677685950413223,0.8316831683168319,0.10000000000000142,0.20000000000001705,-0.03142857142857088,0.0,-0.19999999999998863
20170710_01_02_01_A,visible,0.3,242,263,226,0.8593155893536122,0.9338842975206612,0.8950495049504951,0.10000000000000853,0.3000000000000007,-0.061504424778760634,-0.09999999999999432,-0.19999999999998863
20170710_01_02_01_A,visible,0.5,242,263,236,0.8973384030418251,0.9752066115702479,0.9346534653465346,0.1999999999999993,0.5,-0.16694915254237241,-0.19999999999998863,-0.19999999999998863
20170710_07_08_01_A,visible,0.05,118,131,16,0.12213740458015267,0.13559322033898305,0.1285140562248996,0.0,0.0,0.0,0.0,-0.10000000000000853
20170710_07_08_01_A,visible,0.1,118,131,47,0.35877862595419846,0.3983050847457627,0.3775100401606426,0.09999999999999432,0.10000000000000853,-0.0021276595744687955,0.0,-0.10000000000000853
20170710_07_08_01_A,visible,0.15,118,131,47,0.35877862595419846,0.3983050847457627,0.3775100401606426,0.09999999999999432,0.10000000000000853,-0.0021276595744687955,0.0,-0.10000000000000853
20170710_07_08_01_A,visible,0.2,118,131,81,0.6183206106870229,0.6864406779661016,0.6506024096385542,0.10000000000000853,0.20000000000001705,-0.016049382716049436,0.0,-0.10000000000000853
20170710_07_08_01_A,visible,0.3,118,131,92,0.7022900763358778,0.7796610169491526,0.7389558232931727,0.19999999999999218,0.3000000000000007,-0.03804347826086918,-0.04999999999999716,-0.10000000000000853
20170710_07_08_01_A,visible,0.5,118,131,101,0.7709923664122137,0.8559322033898306,0.8112449799196787,0.20000000000000284,0.5,-0.11386138613861366,-0.10000000000000853,-0.10000000000000853
20170714_01_02_02_A,visible,0.05,246,245,48,0.19591836734693877,0.1951219512195122,0.1955193482688391,0.0,0.0,0.0,0.0,0.0
20170714_01_02_02_A,visible,0.1,246,245,152,0.6204081632653061,0.6178861788617886,0.6191446028513238,0.09999999999999432,0.10000000000000853,0.013157894736841818,0.0,0.0
20170714_01_02_02_A,visible,0.15,246,245,152,0.6204081632653061,0.6178861788617886,0.6191446028513238,0.09999999999999432,0.10000000000000853,0.013157894736841818,0.0,0.0
20170714_01_02_02_A,visible,0.2,246,245,202,0.8244897959183674,0.8211382113821138,0.8228105906313646,0.09999999999999964,0.20000000000000284,0.021287128712871164,0.0,0.0
20170714_01_02_02_A,visible,0.3,246,245,218,0.889795918367347,0.8861788617886179,0.8879837067209776,0.10000000000000098,0.29999999999999716,0.022477064220183265,0.0,0.0
20170714_01_02_02_A,visible,0.5,246,245,226,0.9224489795918367,0.9186991869918699,0.9205702647657841,0.10000000000000142,0.4000000000000057,-0.01150442477876123,0.0,0.0
20170706_01_02_03_B,visible,0.05,168,183,27,0.14754098360655737,0.16071428571428573,0.15384615384615385,0.0,0.0,0.0,0.0,-0.09999999999999432
20170706_01_02_03_B,visible,0.1,168,183,85,0.4644808743169399,0.5059523809523809,0.4843304843304843,0.09999999999999432,0.10000000000000853,-0.00705882352941197,0.0,-0.09999999999999432
20170706_01_02_03_B,visible,0.15,168,183,85,0.4644808743169399,0.5059523809523809,0.4843304843304843,0.09999999999999432,0.10000000000000853,-0.00705882352941197,0.0,-0.09999999999999432
20170706_01_02_03_B,visible,0.2,168,183,130,0.7103825136612022,0.7738095238095238,0.7407407407407407,0.10000000000000142,0.20000000000000284,-0.015384615384615481,0.0,-0.09999999999999432
20170706_01_02_03_B,visible,0.3,168,183,151,0.825136612021858,0.8988095238095238,0.8603988603988604,0.10000000000000853,0.30000000000000204,-0.014569536423841414,0.0,-0.09999999999999432
20170706_01_02_03_B,visible,0.5,168,183,157,0.8579234972677595,0.9345238095238095,0.8945868945868946,0.10000000000002274,0.5,-0.05095541401273893,-0.09999999999999432,-0.09999999999999432
20170706_03_04_02_B,visible,0.05,231,239,46,0.19246861924686193,0.19913419913419914,0.19574468085106383,0.0,0.0,0.0,0.0,-0.09999999999999432
